"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","01-Jan-2015","29-Jan-2015","893.4","898.35","890.2","893.95","893.6","893.95","7140","15955","32980500","121250","        887.90"
"RELIANCE","01-Jan-2015","26-Feb-2015","900","904.05","898.6","901.65","902.15","901.65","81","182.54","313750","9000","        887.90"
"RELIANCE","01-Jan-2015","26-Mar-2015","906","907.75","906","907.65","907.75","907.65","4","9.07","37750","500","        887.90"
"RELIANCE","02-Jan-2015","29-Jan-2015","895.05","903.9","893","893.9","893.3","893.9","11693","26255.99","33528000","547500","        885.55"
"RELIANCE","02-Jan-2015","26-Feb-2015","901.25","911","901","901.7","901","901.7","305","691.13","349250","35500","        885.55"
"RELIANCE","02-Jan-2015","26-Mar-2015","915","917","907.7","908.1","908.15","908.1","25","57","42000","4250","        885.55"
"RELIANCE","05-Jan-2015","29-Jan-2015","889.9","898","881.45","882.9","883","882.9","14861","33027.81","33799500","271500","        875.85"
"RELIANCE","05-Jan-2015","26-Feb-2015","898","905.2","889.8","890.85","890.85","890.85","483","1083.1","412750","63500","        875.85"
"RELIANCE","05-Jan-2015","26-Mar-2015","905.9","909.6","896","896.35","896","896.35","75","169.13","58750","16750","        875.85"
"RELIANCE","06-Jan-2015","29-Jan-2015","878.7","879.85","835.25","840","836","840","32557","69565.27","33917250","117750","        836.10"
"RELIANCE","06-Jan-2015","26-Feb-2015","885.1","888","843.15","847.8","843.2","847.8","1971","4251.27","612750","200000","        836.10"
"RELIANCE","06-Jan-2015","26-Mar-2015","891","895","851","854.3","851","854.3","144","314.62","78500","19750","        836.10"
"RELIANCE","07-Jan-2015","29-Jan-2015","840.7","862.3","840.4","858.3","861.25","858.3","29382","62660.64","32636750","-1280500","        854.30"
"RELIANCE","07-Jan-2015","26-Feb-2015","850","869.5","849.1","864.7","867.8","864.7","764","1641.66","614000","1250","        854.30"
"RELIANCE","07-Jan-2015","26-Mar-2015","858","875","858","869.9","869.9","869.9","26","56.38","81000","2500","        854.30"
"RELIANCE","08-Jan-2015","29-Jan-2015","865.25","866.45","845.05","847.1","848.7","847.1","26694","56787.19","33393000","756250","        842.05"
"RELIANCE","08-Jan-2015","26-Feb-2015","871.45","872.25","852.05","854.75","855.7","854.75","1086","2328.91","710250","96250","        842.05"
"RELIANCE","08-Jan-2015","26-Mar-2015","875.25","875.25","860","861.95","863.1","861.95","21","45.34","82000","1000","        842.05"
"RELIANCE","09-Jan-2015","29-Jan-2015","853","864.8","848","863.2","864.45","863.2","25503","54542.58","32555750","-837250","        860.30"
"RELIANCE","09-Jan-2015","26-Feb-2015","860.4","872.05","855.7","869.9","871.6","869.9","582","1255.6","734500","24250","        860.30"
"RELIANCE","09-Jan-2015","26-Mar-2015","866.45","877.6","864.3","877.55","877.5","877.55","12","26.17","81000","-1000","        860.30"
"RELIANCE","12-Jan-2015","29-Jan-2015","860.75","862.5","845","854.55","855.05","854.55","16290","34704.08","32798500","242750","        850.30"
"RELIANCE","12-Jan-2015","26-Feb-2015","865.15","867.8","852.15","861","861.6","861","1682","3610.29","926750","192250","        850.30"
"RELIANCE","12-Jan-2015","26-Mar-2015","872.7","872.7","860","867.4","868","867.4","45","97.45","82500","1500","        850.30"
"RELIANCE","13-Jan-2015","29-Jan-2015","857","858.3","842.45","846.05","847.85","846.05","16354","34662.94","32769750","-28750","        843.15"
"RELIANCE","13-Jan-2015","26-Feb-2015","861.8","863","849.4","852.6","853.9","852.6","868","1853.46","1007250","80500","        843.15"
