"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","03-Jul-2006","27-Jul-2006","1062.75","1078.9","1056.05","1073.1","1072","1073.1","17212","110343.48","10429200","635400","       1071.10"
"RELIANCE","03-Jul-2006","31-Aug-2006","1067.4","1082.8","1065","1074.1","1074.1","1083.5","14","90.24","7200","-600","       1071.10"
"RELIANCE","03-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1089.45","0","0","0","0","       1071.10"
"RELIANCE","04-Jul-2006","27-Jul-2006","1076.9","1083.4","1066.55","1073.2","1075","1073.2","13645","88033.23","9807600","-621600","       1074.70"
"RELIANCE","04-Jul-2006","31-Aug-2006","1080","1081.55","1077.1","1078.85","1078.85","1087","5","32.39","9000","1800","       1074.70"
"RELIANCE","04-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1093","0","0","0","0","       1074.70"
"RELIANCE","05-Jul-2006","27-Jul-2006","1068.5","1098","1068","1093.25","1095.75","1093.25","17549","114409.82","9952800","145200","       1094.15"
"RELIANCE","05-Jul-2006","31-Aug-2006","1149.85","1149.85","1084","1097.2","1097.65","1097.2","28","184.42","16800","7800","       1094.15"
"RELIANCE","05-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1112.5","0","0","0","0","       1094.15"
"RELIANCE","06-Jul-2006","27-Jul-2006","1085","1091.9","1074.05","1085.4","1085.9","1085.4","18173","118131","10417200","464400","       1083.25"
"RELIANCE","06-Jul-2006","31-Aug-2006","1095","1095","1080.6","1089.4","1089","1089.4","26","169.9","24600","7800","       1083.25"
"RELIANCE","06-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1101.15","0","0","0","0","       1083.25"
"RELIANCE","07-Jul-2006","27-Jul-2006","1092.7","1093","1029.25","1034.85","1038.3","1034.85","26108","165802.47","10648200","231000","       1031.60"
"RELIANCE","07-Jul-2006","31-Aug-2006","1109.9","1109.9","1035","1041.35","1044.9","1041.35","36","229.53","30000","5400","       1031.60"
"RELIANCE","07-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1048.35","0","0","0","0","       1031.60"
"RELIANCE","10-Jul-2006","27-Jul-2006","1042.65","1052.95","1026.25","1047.15","1047.3","1047.15","20975","131066.18","10926600","278400","       1043.30"
"RELIANCE","10-Jul-2006","31-Aug-2006","1045.5","1056.9","1034","1053.75","1051.1","1053.75","41","257.02","33600","3600","       1043.30"
"RELIANCE","10-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1059.85","0","0","0","0","       1043.30"
"RELIANCE","11-Jul-2006","27-Jul-2006","1043.8","1055.9","1038.05","1049.85","1050.15","1049.85","17407","109417.15","10935600","9000","       1049.20"
"RELIANCE","11-Jul-2006","31-Aug-2006","1055","1061","1044","1056.15","1056","1056.15","53","335.37","41400","7800","       1049.20"
"RELIANCE","11-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1065.55","0","0","0","0","       1049.20"
"RELIANCE","12-Jul-2006","27-Jul-2006","1040.1","1096","1040.1","1093.85","1093.6","1093.85","27381","176255.8","10273200","-662400","       1098.05"
"RELIANCE","12-Jul-2006","31-Aug-2006","1054","1101","1054","1098.35","1100","1098.35","73","474.82","55800","14400","       1098.05"
"RELIANCE","12-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1115","0","0","0","0","       1098.05"
"RELIANCE","13-Jul-2006","27-Jul-2006","1086.6","1091.8","1068.55","1076","1073.7","1076","18583","120091.46","10699200","426000","       1075.45"
"RELIANCE","13-Jul-2006","31-Aug-2006","1096","1096","1075","1080.45","1080","1080.45","157","1018.72","83400","27600","       1075.45"
"RELIANCE","13-Jul-2006","28-Sep-2006","0","0","0","1026.35","0","1091.75","0","0","0","0","       1075.45"
"RELIANCE","14-Jul-2006","27-Jul-2006","1060","1074","1050","1066.75","1074","1066.75","17894","113861.6","10781400","82200","       1069.10"
"RELIANCE","14-Jul-2006","31-Aug-2006","1099.85","1099.85","1058","1073.3","1079","1073.3","90","576.13","106800","23400","       1069.10"
"RELIANCE","14-Jul-2006","28-Sep-2006","1127.7","1127.7","1127.7","1127.7","1127.7","1085.25","1","6.77","600","600","       1069.10"
"RELIANCE","17-Jul-2006","27-Jul-2006","1062.6","1068","1029.2","1033.6","1034.9","1033.6","14187","89342.42","10939800","158400","       1031.40"
"RELIANCE","17-Jul-2006","31-Aug-2006","1072","1073.9","1035","1038.55","1041","1038.55","195","1231.25","146400","39600","       1031.40"
"RELIANCE","17-Jul-2006","28-Sep-2006","0","0","0","1127.7","1127.7","1046.3","0","0","600","0","       1031.40"
"RELIANCE","18-Jul-2006","27-Jul-2006","1033.3","1041.7","991.1","1007.45","1005.2","1007.45","25160","152286.9","11208000","268200","       1004.40"
"RELIANCE","18-Jul-2006","31-Aug-2006","1042.9","1047","997","1013","1012","1013","405","2458.41","233400","87000","       1004.40"
"RELIANCE","18-Jul-2006","28-Sep-2006","0","0","0","1127.7","1127.7","1018.75","0","0","600","0","       1004.40"
"RELIANCE","19-Jul-2006","27-Jul-2006","1015.1","1020","975.15","982.5","981","982.5","25331","150546.77","10727400","-480600","        983.05"
"RELIANCE","19-Jul-2006","31-Aug-2006","1024.9","1024.9","982.3","987.9","988","987.9","506","3020.21","348000","114600","        983.05"
"RELIANCE","19-Jul-2006","28-Sep-2006","0","0","0","1127.7","1127.7","996.95","0","0","600","0","        983.05"
"RELIANCE","20-Jul-2006","27-Jul-2006","1004.85","1015","983.6","997.65","998","997.65","28577","171181.99","10211400","-516000","        995.40"
"RELIANCE","20-Jul-2006","31-Aug-2006","1019","1019","990","1001.75","1002.4","1001.75","1141","6872.89","599400","251400","        995.40"
"RELIANCE","20-Jul-2006","28-Sep-2006","1005","1024.1","1005","1024.1","1024.1","1009.3","2","12.17","1200","600","        995.40"
"RELIANCE","21-Jul-2006","27-Jul-2006","994","994","952.65","963.25","962.35","963.25","21763","126350.35","9422400","-789000","        967.55"
"RELIANCE","21-Jul-2006","31-Aug-2006","990","993.7","954","963.35","964","963.35","2382","13810.39","1297800","698400","        967.55"
"RELIANCE","21-Jul-2006","28-Sep-2006","959","964","946.25","964","964","980.85","3","17.22","1800","600","        967.55"
"RELIANCE","24-Jul-2006","27-Jul-2006","956.9","975.8","938.3","973.3","974.05","973.3","18334","105585.59","7914000","-1508400","        971.50"
"RELIANCE","24-Jul-2006","31-Aug-2006","958","979.7","940","976.2","978.45","976.2","3317","19169","2001600","703800","        971.50"
"RELIANCE","24-Jul-2006","28-Sep-2006","963","980","963","971.15","971.15","984.2","4","23.3","3000","1200","        971.50"
"RELIANCE","25-Jul-2006","27-Jul-2006","982.45","991","975.75","988.15","986.75","988.15","13727","81046.3","6933000","-981000","        987.80"
"RELIANCE","25-Jul-2006","31-Aug-2006","986","995","980","992.5","991","992.5","3844","22785.42","2895600","894000","        987.80"
"RELIANCE","25-Jul-2006","28-Sep-2006","0","0","0","971.15","971.15","1000.45","0","0","3000","0","        987.80"
"RELIANCE","26-Jul-2006","27-Jul-2006","988","1004.7","982.1","999.45","995","999.45","13731","82026.96","5262600","-1670400","        999.90"
"RELIANCE","26-Jul-2006","31-Aug-2006","993","1011.45","986.5","1006.55","1003","1006.55","7206","43311.93","4859400","1963800","        999.90"
"RELIANCE","26-Jul-2006","28-Sep-2006","1004.4","1004.4","1004.4","1004.4","1004.4","1012.8","1","6.03","3000","0","        999.90"
