"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","01-Mar-2016","31-Mar-2016","969.95","989.8","969.95","983.95","986.1","983.95","13488","66312.66","22881000","-264500","        981.30"
"RELIANCE","01-Mar-2016","28-Apr-2016","977","993.25","977","989.2","990.9","989.2","144","711.83","179000","18500","        981.30"
"RELIANCE","01-Mar-2016","26-May-2016","982","989.4","981.1","986.25","989.4","986.25","87","428.42","60000","29500","        981.30"
"RELIANCE","02-Mar-2016","31-Mar-2016","995","1005","989","1002.3","1002","1002.3","16666","83233.12","23070000","189000","       1001.50"
"RELIANCE","02-Mar-2016","28-Apr-2016","997.35","1009","994","1006.7","1006.75","1006.7","242","1214.14","211000","32000","       1001.50"
"RELIANCE","02-Mar-2016","26-May-2016","996.15","1008.35","992.5","1006.3","1003.9","1006.3","56","280.02","79500","19500","       1001.50"
"RELIANCE","03-Mar-2016","31-Mar-2016","1007","1014.65","997.05","1010.95","1009.5","1010.95","17646","88877.04","23397000","327000","       1012.85"
"RELIANCE","03-Mar-2016","28-Apr-2016","1012.95","1019.25","1002.75","1016.95","1014.35","1016.95","191","966.98","227500","16500","       1012.85"
"RELIANCE","03-Mar-2016","26-May-2016","1010.9","1019.3","1001.8","1017.1","1015.65","1017.1","110","557.93","124000","44500","       1012.85"
"RELIANCE","04-Mar-2016","31-Mar-2016","1012.2","1012.2","1002","1004.4","1004.5","1004.4","8367","42078.97","23282500","-114500","       1006.40"
"RELIANCE","04-Mar-2016","28-Apr-2016","1009","1014.25","1007.7","1009.1","1009.25","1009.1","136","687.4","244000","16500","       1006.40"
"RELIANCE","04-Mar-2016","26-May-2016","1014.5","1014.5","1009.95","1009.95","1009.95","1025.2","14","70.84","125500","1500","       1006.40"
"RELIANCE","08-Mar-2016","31-Mar-2016","1006.25","1022.75","1004.55","1018.95","1018","1018.95","15928","80943.23","22517500","-765000","       1027.00"
"RELIANCE","08-Mar-2016","28-Apr-2016","1014.75","1027.35","1011.75","1023.8","1021.9","1023.8","289","1474.71","247000","3000","       1027.00"
"RELIANCE","08-Mar-2016","26-May-2016","1015.1","1028","1013.3","1024.45","1023.65","1024.45","72","367.28","134000","8500","       1027.00"
"RELIANCE","09-Mar-2016","31-Mar-2016","1014.85","1039.5","1014.85","1037.55","1037.8","1037.55","15547","79973.43","22177500","-340000","       1041.70"
"RELIANCE","09-Mar-2016","28-Apr-2016","1020.3","1045","1020.3","1043","1043.65","1043","432","2233.29","342000","95000","       1041.70"
"RELIANCE","09-Mar-2016","26-May-2016","1026.9","1048.85","1026.9","1046","1046","1046","73","378.88","134000","0","       1041.70"
"RELIANCE","10-Mar-2016","31-Mar-2016","1038.15","1040.5","1007.05","1009.7","1008.4","1009.7","17842","90787.46","22925500","748000","       1011.75"
"RELIANCE","10-Mar-2016","28-Apr-2016","1046.3","1046.3","1012.55","1015.1","1014.25","1015.1","571","2923.61","451000","109000","       1011.75"
"RELIANCE","10-Mar-2016","26-May-2016","1045.35","1045.35","1018.5","1018.5","1018.5","1018.5","13","66.96","135500","1500","       1011.75"
"RELIANCE","11-Mar-2016","31-Mar-2016","1011","1023.5","1005.05","1010.35","1011.6","1010.35","14073","71354.37","22473500","-452000","       1014.50"
"RELIANCE","11-Mar-2016","28-Apr-2016","1022.15","1028.75","1011.5","1016.4","1017.5","1016.4","458","2336.22","524500","73500","       1014.50"
"RELIANCE","11-Mar-2016","26-May-2016","1028","1028.95","1018","1020.2","1020.2","1020.2","13","66.56","134000","-1500","       1014.50"
"RELIANCE","14-Mar-2016","31-Mar-2016","1015.65","1020.9","1008.4","1013.5","1013.55","1013.5","9597","48667.26","22320000","-153500","       1019.75"
"RELIANCE","14-Mar-2016","28-Apr-2016","1023.95","1025.45","1015","1019.6","1019.9","1019.6","225","1147.65","537000","12500","       1019.75"
"RELIANCE","14-Mar-2016","26-May-2016","1029.75","1031","1021.5","1025.65","1025.9","1025.65","27","138.48","127500","-6500","       1019.75"
"RELIANCE","15-Mar-2016","31-Mar-2016","1015.55","1022","1010.3","1015.7","1014.8","1015.7","10149","51600.14","22121500","-198500","       1020.50"
"RELIANCE","15-Mar-2016","28-Apr-2016","1021","1027.5","1017","1021.75","1021.35","1021.75","266","1359.87","584000","47000","       1020.50"
"RELIANCE","15-Mar-2016","26-May-2016","1026.6","1032.5","1026.2","1026.3","1026.3","1037.2","8","41.13","127000","-500","       1020.50"
"RELIANCE","16-Mar-2016","31-Mar-2016","1015.2","1020.9","1000","1016.8","1018.4","1016.8","13094","66178.39","22255500","134000","       1021.75"
"RELIANCE","16-Mar-2016","28-Apr-2016","1020","1026.8","1007","1023.1","1024.15","1023.1","767","3901.4","713000","129000","       1021.75"
"RELIANCE","16-Mar-2016","26-May-2016","1027.7","1029.9","1015","1029.25","1028.6","1029.25","13","66.54","128000","1000","       1021.75"
"RELIANCE","17-Mar-2016","31-Mar-2016","1027.35","1040","1014","1017.15","1015","1017.15","16079","82713.62","21649500","-606000","       1016.00"
"RELIANCE","17-Mar-2016","28-Apr-2016","1036","1045","1020.75","1023.6","1020.9","1023.6","690","3568.53","787500","74500","       1016.00"
"RELIANCE","17-Mar-2016","26-May-2016","1041.15","1050.15","1027.85","1028.45","1027.85","1028.45","19","98.61","130500","2500","       1016.00"
"RELIANCE","18-Mar-2016","31-Mar-2016","1019.95","1032.2","1018.6","1028.35","1028.8","1028.35","10600","54340.62","21325000","-324500","       1027.20"
"RELIANCE","18-Mar-2016","28-Apr-2016","1026","1038.1","1026","1034.95","1033.25","1034.95","696","3584.61","947500","160000","       1027.20"
"RELIANCE","18-Mar-2016","26-May-2016","1029.8","1041.35","1029.8","1040.25","1039.15","1040.25","13","67.26","131000","500","       1027.20"
"RELIANCE","21-Mar-2016","31-Mar-2016","1024.55","1041.25","1023.65","1037.75","1040.9","1037.75","10346","53332.9","21139000","-186000","       1037.30"
"RELIANCE","21-Mar-2016","28-Apr-2016","1031.1","1047.4","1029.65","1043.8","1046.6","1043.8","929","4811.13","1130500","183000","       1037.30"
