"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","01-Oct-2019","31-Oct-2019","1339.9","1350.1","1300.65","1314.9","1314","1314.9","34709","230165.68","52819500","-268000","       1304.90"
"RELIANCE","01-Oct-2019","28-Nov-2019","1351.05","1352.15","1308","1323.1","1319.95","1323.1","763","5083.65","441500","27000","       1304.90"
"RELIANCE","01-Oct-2019","26-Dec-2019","1358.3","1358.3","1315.05","1332.95","1331.25","1332.95","50","335.72","31000","11500","       1304.90"
"RELIANCE","03-Oct-2019","31-Oct-2019","1294.4","1318.8","1289.6","1315.5","1316.4","1315.5","18175","119084.33","52335500","-484000","       1311.05"
"RELIANCE","03-Oct-2019","28-Nov-2019","1309","1324","1297.05","1321.4","1322","1321.4","479","3151.31","456000","14500","       1311.05"
"RELIANCE","03-Oct-2019","26-Dec-2019","1316","1328.55","1311.2","1328.15","1328.55","1328.15","38","251.67","33000","2000","       1311.05"
"RELIANCE","04-Oct-2019","31-Oct-2019","1321.65","1332","1307.6","1312.15","1312.3","1312.15","22073","145978.58","51323000","-1012500","       1308.10"
"RELIANCE","04-Oct-2019","28-Nov-2019","1329.95","1337.4","1314.85","1318.5","1318","1318.5","416","2763.81","466500","10500","       1308.10"
"RELIANCE","04-Oct-2019","26-Dec-2019","1339.65","1343","1323.5","1324.35","1324.15","1324.35","49","326.81","44000","11000","       1308.10"
"RELIANCE","07-Oct-2019","31-Oct-2019","1314","1324.5","1305.65","1314.15","1312.5","1314.15","15537","102254.79","51878000","555000","       1310.10"
"RELIANCE","07-Oct-2019","28-Nov-2019","1314.1","1330","1311.65","1318.95","1318.15","1318.95","334","2206.59","468000","1500","       1310.10"
"RELIANCE","07-Oct-2019","26-Dec-2019","1322.05","1334.2","1322.05","1326.2","1326.4","1326.2","23","152.46","47000","3000","       1310.10"
"RELIANCE","09-Oct-2019","31-Oct-2019","1312.3","1337.4","1297.15","1332.55","1336.5","1332.55","25838","169964.6","52224500","346500","       1324.75"
"RELIANCE","09-Oct-2019","28-Nov-2019","1311.5","1343.15","1303.25","1337","1342.45","1337","1217","8073.2","701500","233500","       1324.75"
"RELIANCE","09-Oct-2019","26-Dec-2019","1319","1348.55","1312.75","1344.5","1348.55","1344.5","78","518.12","58500","11500","       1324.75"
"RELIANCE","10-Oct-2019","31-Oct-2019","1329.95","1369.75","1327.4","1364.3","1362.7","1364.3","38253","259764.82","51679000","-545500","       1362.75"
"RELIANCE","10-Oct-2019","28-Nov-2019","1343.15","1375.15","1341","1370.55","1369","1370.55","1264","8626.75","855500","154000","       1362.75"
"RELIANCE","10-Oct-2019","26-Dec-2019","1350.5","1380.95","1349","1376.05","1375.7","1376.05","98","671.54","65500","7000","       1362.75"
"RELIANCE","11-Oct-2019","31-Oct-2019","1367.95","1368.75","1339.1","1354.05","1353.7","1354.05","27282","184860.38","52012000","333000","       1352.60"
"RELIANCE","11-Oct-2019","28-Nov-2019","1373","1373","1346","1360.25","1359.35","1360.25","874","5946.86","891500","36000","       1352.60"
"RELIANCE","11-Oct-2019","26-Dec-2019","1372.8","1378","1354.65","1368","1368","1368","54","368.43","63500","-2000","       1352.60"
"RELIANCE","14-Oct-2019","31-Oct-2019","1361.35","1364.95","1352.1","1358.75","1357.6","1358.75","19322","131316.58","52278500","266500","       1358.00"
"RELIANCE","14-Oct-2019","28-Nov-2019","1364.5","1371","1358.8","1364.7","1363","1364.7","381","2601.84","906000","14500","       1358.00"
