"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","01-Sep-2008","25-Sep-2008","2130","2181","2121","2155.65","2159.8","2155.65","62392","100853.2","6007575","115950","       2141.65"
"RELIANCE","01-Sep-2008","29-Oct-2008","2152.1","2192.1","2140","2166.8","2172.35","2166.8","300","487.41","43950","1950","       2141.65"
"RELIANCE","01-Sep-2008","27-Nov-2008","2164","2164","2163","2163","2163","2199.5","2","3.25","75","0","       2141.65"
"RELIANCE","02-Sep-2008","25-Sep-2008","2165","2238","2138.35","2228.95","2229.8","2228.95","69119","113831.03","5818725","-188850","       2212.75"
"RELIANCE","02-Sep-2008","29-Oct-2008","2100","2250.1","2098","2238.75","2240.3","2238.75","771","1287.78","77250","33300","       2212.75"
"RELIANCE","02-Sep-2008","27-Nov-2008","2267.9","2267.9","2267.9","2267.9","2267.9","2271.95","1","1.7","150","75","       2212.75"
"RELIANCE","04-Sep-2008","25-Sep-2008","2200.1","2209.7","2149.4","2168.2","2173","2168.2","58542","95489.69","6038475","219750","       2152.25"
"RELIANCE","04-Sep-2008","29-Oct-2008","2209.05","2214","2161.05","2179.75","2184","2179.75","619","1016.25","85050","7800","       2152.25"
"RELIANCE","04-Sep-2008","27-Nov-2008","2171.05","2171.05","2171.05","2171.05","2171.05","2208.3","1","1.63","150","0","       2152.25"
"RELIANCE","05-Sep-2008","25-Sep-2008","2120","2139","2084.1","2098.1","2100","2098.1","57581","90684.33","6783600","745125","       2080.90"
"RELIANCE","05-Sep-2008","29-Oct-2008","2098.65","2129","2097","2110.25","2109.95","2110.25","669","1058.37","103875","18825","       2080.90"
"RELIANCE","05-Sep-2008","27-Nov-2008","2171.15","2171.15","2171.15","2171.15","2171.15","2134.5","10","16.28","900","750","       2080.90"
"RELIANCE","08-Sep-2008","25-Sep-2008","2165.55","2190","2138","2146.35","2142","2146.35","47168","76415.96","6876825","93225","       2133.20"
"RELIANCE","08-Sep-2008","29-Oct-2008","2200","2200","2151","2158.5","2155","2158.5","487","793.28","112875","9000","       2133.20"
"RELIANCE","08-Sep-2008","27-Nov-2008","2176","2176","2170","2170","2170","2170","6","9.77","1350","450","       2133.20"
"RELIANCE","09-Sep-2008","25-Sep-2008","2132.5","2173.5","2100","2152.45","2142.5","2152.45","58517","93816.28","6881250","4425","       2142.55"
"RELIANCE","09-Sep-2008","29-Oct-2008","2125","2184.95","2113.1","2163.65","2152.15","2163.65","438","704.26","118575","5700","       2142.55"
"RELIANCE","09-Sep-2008","27-Nov-2008","0","0","0","2170","2170","2195.35","0","0","1350","0","       2142.55"
"RELIANCE","10-Sep-2008","25-Sep-2008","2122.05","2149","2088.3","2098.85","2098","2098.85","67016","106278.18","7649400","768150","       2082.65"
"RELIANCE","10-Sep-2008","29-Oct-2008","2196","2196","2102.3","2111.05","2111.9","2111.05","727","1160.45","129450","10875","       2082.65"
"RELIANCE","10-Sep-2008","27-Nov-2008","2150","2152","2130","2130","2130","2133.3","8","12.85","1875","525","       2082.65"
"RELIANCE","11-Sep-2008","25-Sep-2008","2079","2082","1997","2011.55","2014","2011.55","77308","117421.82","8241075","591675","       1997.40"
"RELIANCE","11-Sep-2008","29-Oct-2008","2085","2085","2011","2024.15","2024.9","2024.15","2206","3363.69","231675","102225","       1997.40"
"RELIANCE","11-Sep-2008","27-Nov-2008","2113","2113","2020","2068.15","2095","2068.15","8","12.35","2475","600","       1997.40"
