"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SBIN","01-Jan-2019","31-Jan-2019","298.6","302.2","295.2","301.25","302.1","301.25","10533","94322.21","74301000","2127000","        299.60"
"SBIN","01-Jan-2019","28-Feb-2019","298.3","303.55","296.5","302.55","303.55","302.55","113","1016.48","1200000","51000","        299.60"
"SBIN","01-Jan-2019","28-Mar-2019","302.35","302.35","302.35","302.35","302.35","304.95","1","9.07","6000","3000","        299.60"
"SBIN","02-Jan-2019","31-Jan-2019","300","303.4","294.2","295.45","295.2","295.45","19310","173145.7","74406000","105000","        293.90"
"SBIN","02-Jan-2019","28-Feb-2019","300.75","304.5","295.55","296.5","296.8","296.5","278","2499.78","1341000","141000","        293.90"
"SBIN","02-Jan-2019","28-Mar-2019","302.55","302.55","297.65","297.65","297.65","299.1","4","35.95","12000","6000","        293.90"
"SBIN","03-Jan-2019","31-Jan-2019","296.45","297","291.85","292.95","292.95","292.95","12230","108099.53","75894000","1488000","        291.10"
"SBIN","03-Jan-2019","28-Feb-2019","296.65","297.9","293","294.1","294","294.1","184","1630.32","1539000","198000","        291.10"
"SBIN","03-Jan-2019","28-Mar-2019","297","297.95","295.65","292.9","295.65","292.9","6","53.32","27000","15000","        291.10"
"SBIN","04-Jan-2019","31-Jan-2019","294","300.85","292.8","299.3","299.35","299.3","17440","155678.5","78813000","2919000","        297.65"
"SBIN","04-Jan-2019","28-Feb-2019","295.25","301.45","294","300.3","300.3","300.3","295","2643.05","1761000","222000","        297.65"
"SBIN","04-Jan-2019","28-Mar-2019","297.35","302.5","296.9","301.3","301.3","301.3","8","71.95","39000","12000","        297.65"
"SBIN","07-Jan-2019","31-Jan-2019","302.2","302.8","296","297.1","297.5","297.1","11123","99828.93","76893000","-1920000","        296.30"
"SBIN","07-Jan-2019","28-Feb-2019","303.4","303.7","297.4","298.2","298.9","298.2","232","2089.75","1839000","78000","        296.30"
"SBIN","07-Jan-2019","28-Mar-2019","303.2","303.65","300.15","300.15","300.15","301.25","10","90.59","36000","-3000","        296.30"
"SBIN","08-Jan-2019","31-Jan-2019","297.55","306.85","296.1","306.2","306.4","306.2","18946","171971.03","77976000","1083000","        305.30"
"SBIN","08-Jan-2019","28-Feb-2019","297.95","307.95","297.3","307.3","307.55","307.3","362","3299.22","2154000","315000","        305.30"
"SBIN","08-Jan-2019","28-Mar-2019","301","308.65","301","308.6","308.45","308.6","9","82.65","45000","9000","        305.30"
"SBIN","09-Jan-2019","31-Jan-2019","307.75","307.75","301.5","305.9","305.35","305.9","18233","166853.06","76575000","-1401000","        305.30"
"SBIN","09-Jan-2019","28-Feb-2019","308.5","308.55","302.85","306.85","306.7","306.85","297","2725.98","2184000","30000","        305.30"
"SBIN","09-Jan-2019","28-Mar-2019","308.6","308.6","305","308.25","308","308.25","11","101.41","54000","9000","        305.30"
"SBIN","10-Jan-2019","31-Jan-2019","305.4","308.4","304.35","306.3","306","306.3","14636","134574.16","75288000","-1287000","        305.55"
