"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SBIN","02-Jul-2012","26-Jul-2012","2169","2178.4","2141","2158.45","2157.4","2158.45","28530","76968.13","6015375","110125","       2181.95"
"SBIN","02-Jul-2012","30-Aug-2012","2135","2171","2135","2152.25","2151.8","2152.25","891","2397.1","235250","45000","       2181.95"
"SBIN","02-Jul-2012","27-Sep-2012","2152.65","2165","2141.1","2149.5","2151.5","2149.5","20","53.8","14500","1375","       2181.95"
"SBIN","03-Jul-2012","26-Jul-2012","2172.7","2184.8","2157.1","2170.05","2166.55","2170.05","29008","78724.81","6202750","187375","       2187.35"
"SBIN","03-Jul-2012","30-Aug-2012","2166","2175","2152","2162.45","2158.9","2162.45","526","1422.68","246125","10875","       2187.35"
"SBIN","03-Jul-2012","27-Sep-2012","2163.45","2163.45","2152","2161.25","2160.8","2161.25","11","29.69","14875","375","       2187.35"
"SBIN","04-Jul-2012","26-Jul-2012","2178.05","2221.9","2172","2211.4","2211","2211.4","37055","101825.91","6527250","324500","       2224.80"
"SBIN","04-Jul-2012","30-Aug-2012","2178.15","2213","2166","2204.15","2205","2204.15","627","1718.03","257625","11500","       2224.80"
"SBIN","04-Jul-2012","27-Sep-2012","2170","2205.85","2170","2202.5","2202.5","2274.1","12","32.81","15375","500","       2224.80"
"SBIN","05-Jul-2012","26-Jul-2012","2185.6","2234.9","2185.6","2225.25","2221","2225.25","24693","68528.91","6505250","-22000","       2233.45"
"SBIN","05-Jul-2012","30-Aug-2012","2202.85","2226.9","2193","2219.15","2215.85","2219.15","617","1707.9","269250","11625","       2233.45"
"SBIN","05-Jul-2012","27-Sep-2012","2112.75","2225","2112.75","2218.8","2214.85","2218.8","36","99.53","18000","2625","       2233.45"
"SBIN","06-Jul-2012","26-Jul-2012","2221","2226.2","2187.5","2208.95","2208.9","2208.95","28751","79291.53","6533500","28250","       2222.65"
"SBIN","06-Jul-2012","30-Aug-2012","2214.9","2218.2","2182","2203.2","2201","2203.2","773","2123.25","297500","28250","       2222.65"
"SBIN","06-Jul-2012","27-Sep-2012","2214.7","2215.5","2186.5","2199.05","2199.05","2270.7","35","96.18","20625","2625","       2222.65"
"SBIN","09-Jul-2012","26-Jul-2012","2188.05","2202.35","2175","2190.75","2190","2190.75","21289","58244.35","6473750","-59750","       2209.45"
"SBIN","09-Jul-2012","30-Aug-2012","2188.1","2195.35","2169","2183.3","2184","2183.3","932","2540.77","366875","69375","       2209.45"
"SBIN","09-Jul-2012","27-Sep-2012","2181","2183.35","2170","2183.35","2183.35","2183.35","14","38.11","21750","1125","       2209.45"
"SBIN","10-Jul-2012","26-Jul-2012","2211.95","2222","2192.6","2211.45","2210.5","2211.45","28546","78760.41","6792000","318250","       2229.00"
"SBIN","10-Jul-2012","30-Aug-2012","2197.5","2213.7","2186.6","2203.85","2203","2203.85","1228","3373.97","428750","61875","       2229.00"
"SBIN","10-Jul-2012","27-Sep-2012","2191.95","2211.55","2190.2","2203.75","2198.85","2203.75","99","272.53","32500","10750","       2229.00"
"SBIN","11-Jul-2012","26-Jul-2012","2193.8","2238.5","2193.75","2206.45","2202","2206.45","33298","92391.08","6847000","55000","       2218.70"
"SBIN","11-Jul-2012","30-Aug-2012","2191","2229","2191","2199.65","2194.65","2199.65","930","2570.3","438875","10125","       2218.70"
"SBIN","11-Jul-2012","27-Sep-2012","2220.5","2225.35","2195","2195","2195","2263.55","38","105.31","35625","3125","       2218.70"
"SBIN","12-Jul-2012","26-Jul-2012","2196","2220","2177.1","2200.35","2199.55","2200.35","32363","88998.41","7001500","154500","       2221.20"
