"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SBIN","01-Nov-2010","25-Nov-2010","3182.3","3232.3","3170","3213","3211","3213","14930","59826.32","2874875","161000","       3198.45"
"SBIN","01-Nov-2010","30-Dec-2010","3176.65","3225.95","3169.35","3211.8","3208","3211.8","643","2569.01","91500","55625","       3198.45"
"SBIN","01-Nov-2010","27-Jan-2011","0","0","0","3251.2","0","3259.25","0","0","0","0","       3198.45"
"SBIN","02-Nov-2010","25-Nov-2010","3215","3258","3194.9","3221.85","3220","3221.85","21374","86210.16","2949750","74875","       3201.85"
"SBIN","02-Nov-2010","30-Dec-2010","3194.7","3250","3192","3218.2","3222","3218.2","277","1115.54","102000","10500","       3201.85"
"SBIN","02-Nov-2010","27-Jan-2011","0","0","0","3251.2","0","3262.2","0","0","0","0","       3201.85"
"SBIN","03-Nov-2010","25-Nov-2010","3208.1","3294","3208.1","3279","3278.35","3279","21815","89019.53","2971250","21500","       3272.60"
"SBIN","03-Nov-2010","30-Dec-2010","3222.45","3286.65","3219.55","3275.1","3275","3275.1","222","903.91","107750","5750","       3272.60"
"SBIN","03-Nov-2010","27-Jan-2011","0","0","0","3251.2","0","3333.55","0","0","0","0","       3272.60"
"SBIN","04-Nov-2010","25-Nov-2010","3288","3442.7","3288","3431.65","3433","3431.65","38475","162628.07","3239875","268625","       3433.45"
"SBIN","04-Nov-2010","30-Dec-2010","3299.85","3434.2","3289.15","3423.05","3425","3423.05","645","2716.41","136875","29125","       3433.45"
"SBIN","04-Nov-2010","27-Jan-2011","3214.65","3403.45","3214.65","3401.75","3403.45","3401.75","4","16.67","250","250","       3433.45"
"SBIN","05-Nov-2010","25-Nov-2010","3441","3485.6","3421","3476.9","3474.5","3476.9","14158","61402.95","3411375","171500","       3489.95"
"SBIN","05-Nov-2010","30-Dec-2010","3454.85","3476.7","3430.15","3467.05","3464.5","3467.05","107","463.02","138125","1250","       3489.95"
"SBIN","05-Nov-2010","27-Jan-2011","3509","3509","3509","3509","3509","3553.45","1","4.39","250","0","       3489.95"
"SBIN","08-Nov-2010","25-Nov-2010","3499","3499","3403","3418.95","3425","3418.95","30920","132688.67","3350000","-61375","       3425.15"
"SBIN","08-Nov-2010","30-Dec-2010","3484.1","3484.1","3395.55","3409.05","3415.5","3409.05","658","2816.69","174750","36625","       3425.15"
"SBIN","08-Nov-2010","27-Jan-2011","3401","3432.8","3401","3420","3420","3485.45","4","17.09","500","250","       3425.15"
"SBIN","09-Nov-2010","25-Nov-2010","3348","3360","3281.5","3295.65","3301.4","3295.65","52216","216297.53","3807625","457625","       3272.55"
"SBIN","09-Nov-2010","30-Dec-2010","3360","3360","3276","3285.6","3294.05","3285.6","881","3640.58","208750","34000","       3272.55"
"SBIN","09-Nov-2010","27-Jan-2011","3330","3332.25","3270.2","3288.85","3292.9","3288.85","36","148.54","3875","3375","       3272.55"
"SBIN","10-Nov-2010","25-Nov-2010","3293.8","3308.5","3235.1","3239.6","3237","3239.6","26420","107778.56","4307750","500125","       3214.60"
"SBIN","10-Nov-2010","30-Dec-2010","3273.15","3300","3234","3238.6","3234","3238.6","1209","4917.81","273625","64875","       3214.60"
"SBIN","10-Nov-2010","27-Jan-2011","3216","3287.55","3216","3236.5","3240.2","3236.5","16","65.01","4250","375","       3214.60"
"SBIN","11-Nov-2010","25-Nov-2010","3241","3276.9","3190","3199.6","3192.55","3199.6","30343","122833.98","4501750","194000","       3175.95"
"SBIN","11-Nov-2010","30-Dec-2010","3243.35","3275","3197.8","3203.55","3199","3203.55","1545","6262.75","270125","-3500","       3175.95"
"SBIN","11-Nov-2010","27-Jan-2011","3239","3264.7","3200","3222.95","3250.1","3222.95","14","56.49","5250","1000","       3175.95"
"SBIN","12-Nov-2010","25-Nov-2010","3194.8","3198.95","3020","3042.5","3021","3042.5","40341","156946.09","4836875","335125","       3026.80"
"SBIN","12-Nov-2010","30-Dec-2010","3190","3190","3030","3049.05","3032.15","3049.05","1771","6890.96","296875","26750","       3026.80"
"SBIN","12-Nov-2010","27-Jan-2011","3200","3200","3030.15","3054","3043.85","3054","29","112.98","6875","1625","       3026.80"
"SBIN","15-Nov-2010","25-Nov-2010","3038.85","3174.7","3025","3164.15","3162","3164.15","46975","182351.28","4223500","-613375","       3163.50"
"SBIN","15-Nov-2010","30-Dec-2010","3049.6","3176","3036.5","3167.05","3161.7","3167.05","2105","8195.76","341125","44250","       3163.50"
"SBIN","15-Nov-2010","27-Jan-2011","3062","3173.95","3050","3170.65","3170","3170.65","23","89.72","7625","750","       3163.50"
"SBIN","16-Nov-2010","25-Nov-2010","3168.6","3189.5","3065","3083.2","3078.1","3083.2","42824","167112.62","3994375","-229125","       3080.60"
"SBIN","16-Nov-2010","30-Dec-2010","3160","3191.7","3068.9","3087.8","3086.6","3087.8","2018","7870.03","395125","54000","       3080.60"
"SBIN","16-Nov-2010","27-Jan-2011","3130","3130","3082.1","3082.1","3082.1","3129.7","8","31.06","7625","0","       3080.60"
"SBIN","18-Nov-2010","25-Nov-2010","3085.1","3123","2972.1","3081.9","3077","3081.9","48654","186266.52","3761625","-232750","       3065.05"
"SBIN","18-Nov-2010","30-Dec-2010","3110.35","3124","2977.15","3085.7","3081.85","3085.7","4142","15862.15","570375","175250","       3065.05"
"SBIN","18-Nov-2010","27-Jan-2011","3101","3101","2990","3094.5","3094.5","3112.65","29","110.91","8125","500","       3065.05"
"SBIN","19-Nov-2010","25-Nov-2010","3074.65","3075","2980.2","2995.4","2997.9","2995.4","31483","119471.27","3447000","-314625","       2990.95"
"SBIN","19-Nov-2010","30-Dec-2010","3071.65","3072.9","2985.15","2999.2","3005","2999.2","4984","18948.14","845250","274875","       2990.95"
"SBIN","19-Nov-2010","27-Jan-2011","3063","3068","2992","2999","3000.8","2999","34","129.31","10875","2750","       2990.95"
"SBIN","22-Nov-2010","25-Nov-2010","3011","3054.35","2982","3041.8","3036","3041.8","32492","122687.96","2991250","-455750","       3039.85"
"SBIN","22-Nov-2010","30-Dec-2010","3021.6","3049","2985","3037.55","3028.55","3037.55","11245","42403.1","1508500","663250","       3039.85"
"SBIN","22-Nov-2010","27-Jan-2011","3040","3049","2986.1","3045.75","3043.2","3045.75","26","98.2","11750","875","       3039.85"
"SBIN","23-Nov-2010","25-Nov-2010","3019","3022.5","2881.95","2962.2","2950","2962.2","39575","146397.25","2493375","-497875","       2953.40"
"SBIN","23-Nov-2010","30-Dec-2010","3005.2","3010.8","2880","2961.5","2948","2961.5","15136","56029.74","2232875","724375","       2953.40"
"SBIN","23-Nov-2010","27-Jan-2011","3001.95","3014.5","2885.7","2961.2","2949","2961.2","131","485.35","17125","5375","       2953.40"
"SBIN","24-Nov-2010","25-Nov-2010","2974.5","2983","2825","2860.25","2852.2","2860.25","36620","134006.61","1831375","-662000","       2851.00"
"SBIN","24-Nov-2010","30-Dec-2010","2964.5","2997","2825","2865.05","2860.3","2865.05","21425","78610.57","3275500","1042625","       2851.00"
"SBIN","24-Nov-2010","27-Jan-2011","2991.8","2991.8","2830.05","2874.25","2865","2874.25","99","362.63","21750","4625","       2851.00"
"SBIN","25-Nov-2010","25-Nov-2010","2872.6","2887.1","2779.05","2821.55","2821.55","2821.9","35031","123792.21","1098000","-733375","       2821.90"
"SBIN","25-Nov-2010","30-Dec-2010","2885","2893","2790.2","2848.4","2859","2848.4","30827","109721.95","4399250","1123750","       2821.90"
"SBIN","25-Nov-2010","27-Jan-2011","2880.05","3083.6","2815","2853.25","2860","2853.25","245","872.47","32250","10500","       2821.90"
"SBIN","26-Nov-2010","30-Dec-2010","2860","2916.9","2807.45","2864.4","2868","2864.4","42672","152760.18","4071500","-327750","       2862.75"
"SBIN","26-Nov-2010","27-Jan-2011","2843","2919","2812.9","2867.05","2870.3","2867.05","507","1815.33","46500","14250","       2862.75"
"SBIN","26-Nov-2010","24-Feb-2011","0","0","0","2879.9","0","2921.55","0","0","0","0","       2862.75"
"SBIN","29-Nov-2010","30-Dec-2010","2870","2908","2850.1","2886.75","2893.1","2886.75","21276","76689.56","4040750","-30750","       2879.75"
"SBIN","29-Nov-2010","27-Jan-2011","2861","2912.7","2856.65","2888.95","2895.65","2888.95","348","1255.15","53375","6875","       2879.75"
"SBIN","29-Nov-2010","24-Feb-2011","0","0","0","2879.9","0","2936.8","0","0","0","0","       2879.75"
"SBIN","30-Nov-2010","30-Dec-2010","2883.65","2992","2863","2986.5","2988.1","2986.5","34847","127994.81","3810625","-230125","       2992.20"
"SBIN","30-Nov-2010","27-Jan-2011","2877.95","2995.5","2870.3","2988.85","2991.95","2988.85","450","1649.41","47250","-6125","       2992.20"
"SBIN","30-Nov-2010","24-Feb-2011","2900","2900","2900","2900","2900","3050.5","1","3.63","125","125","       2992.20"
"SBIN","01-Dec-2010","30-Dec-2010","3005","3124.7","2971","3107.65","3101.2","3107.65","37241","143421.16","3400000","-410625","       3100.15"
"SBIN","01-Dec-2010","27-Jan-2011","2983.55","3127.4","2976.1","3110.75","3101.6","3110.75","584","2250.06","55375","8125","       3100.15"
"SBIN","01-Dec-2010","24-Feb-2011","3300.75","3300.75","3172.45","3172.45","3172.45","3160.6","2","8.09","375","250","       3100.15"
"SBIN","02-Dec-2010","30-Dec-2010","3144","3167.8","3100.55","3114.05","3112","3114.05","25845","101008.9","3575750","175750","       3099.20"
"SBIN","02-Dec-2010","27-Jan-2011","3144.85","3168","3104.5","3116.8","3115.95","3116.8","376","1471.98","55250","-125","       3099.20"
"SBIN","02-Dec-2010","24-Feb-2011","0","0","0","3172.45","3172.45","3158.75","0","0","375","0","       3099.20"
"SBIN","03-Dec-2010","30-Dec-2010","3107.8","3116","3060","3086.65","3089.25","3086.65","23409","90252.29","3547125","-28625","       3070.75"
"SBIN","03-Dec-2010","27-Jan-2011","3100.8","3112.2","3060.55","3088.1","3090","3088.1","728","2808.4","85625","30375","       3070.75"
"SBIN","03-Dec-2010","24-Feb-2011","0","0","0","3172.45","3172.45","3130.05","0","0","375","0","       3070.75"
"SBIN","06-Dec-2010","30-Dec-2010","3086.65","3099.75","2955","2972.3","2960.05","2972.3","29673","112223.28","3956625","409500","       2952.35"
"SBIN","06-Dec-2010","27-Jan-2011","3114.4","3114.4","2960","2978.55","2962.05","2978.55","586","2220.72","98750","13125","       2952.35"
"SBIN","06-Dec-2010","24-Feb-2011","3013.9","3013.9","2989.75","2989.75","2989.75","2989.75","2","7.5","500","125","       2952.35"
"SBIN","07-Dec-2010","30-Dec-2010","2975","2980","2868.6","2889.25","2899","2889.25","42111","152758.5","4236500","279875","       2864.50"
"SBIN","07-Dec-2010","27-Jan-2011","2957","2957","2873.15","2892.1","2905","2892.1","1046","3794.52","129125","30375","       2864.50"
"SBIN","07-Dec-2010","24-Feb-2011","2900","2901","2880","2895.95","2895.95","2916.95","9","32.53","1375","875","       2864.50"
"SBIN","08-Dec-2010","30-Dec-2010","2890","2894.7","2815.25","2827.3","2827.05","2827.3","32163","114500.13","4629000","392500","       2805.00"
"SBIN","08-Dec-2010","27-Jan-2011","2874.95","2960","2822","2834.8","2833.8","2834.8","899","3210.36","159250","30125","       2805.00"
"SBIN","08-Dec-2010","24-Feb-2011","2861","2865","2835","2835","2835","2835","9","32.08","2500","1125","       2805.00"
"SBIN","09-Dec-2010","30-Dec-2010","2830","2839","2689.25","2705.95","2709","2705.95","43604","150134.71","4825000","196000","       2686.90"
"SBIN","09-Dec-2010","27-Jan-2011","2836.7","2836.7","2695","2713.9","2718","2713.9","1110","3826.1","198875","39625","       2686.90"
"SBIN","09-Dec-2010","24-Feb-2011","2800","2840.45","2699.8","2711.6","2719","2711.6","43","148.53","6625","4125","       2686.90"
"SBIN","10-Dec-2010","30-Dec-2010","2680","2766.95","2675","2754.15","2755.1","2754.15","49522","168880.12","5182875","357875","       2732.45"
"SBIN","10-Dec-2010","27-Jan-2011","2695.1","2775","2687.05","2759.95","2763.6","2759.95","1142","3906.33","207500","8625","       2732.45"
"SBIN","10-Dec-2010","24-Feb-2011","2234.25","2864.05","2234.25","2727.3","2727.3","2781.85","21","70.66","6875","250","       2732.45"
"SBIN","13-Dec-2010","30-Dec-2010","2758","2794.3","2702","2760.35","2763","2760.35","41923","144082.14","5062875","-120000","       2744.85"
"SBIN","13-Dec-2010","27-Jan-2011","2775.35","2802.6","2712.1","2769.9","2772","2769.9","1139","3922.74","217375","9875","       2744.85"
"SBIN","13-Dec-2010","24-Feb-2011","2750.85","2813","2715","2768","2768","2768","40","138.16","10000","3125","       2744.85"
"SBIN","14-Dec-2010","30-Dec-2010","2761.3","2815.9","2752.1","2803.5","2795","2803.5","32320","112554.4","5030000","-32875","       2792.70"
"SBIN","14-Dec-2010","27-Jan-2011","2781","2823.5","2758","2809.9","2804","2809.9","1308","4549.93","228875","11500","       2792.70"
"SBIN","14-Dec-2010","24-Feb-2011","2776.2","2820","2776.2","2816.55","2811.35","2816.55","5","17.52","10375","375","       2792.70"
"SBIN","15-Dec-2010","30-Dec-2010","2794","2794.95","2685.9","2711.2","2717","2711.2","35441","120930.14","4995500","-34500","       2698.05"
"SBIN","15-Dec-2010","27-Jan-2011","2782.3","2799.5","2694.95","2718.5","2722.85","2718.5","2606","8930.4","438000","209125","       2698.05"
"SBIN","15-Dec-2010","24-Feb-2011","2800","2806.6","2700","2722.35","2722.35","2722.35","25","85.55","12125","1750","       2698.05"
"SBIN","16-Dec-2010","30-Dec-2010","2722.6","2789","2691","2772","2764.3","2772","49024","168120.58","4803875","-191625","       2762.95"
"SBIN","16-Dec-2010","27-Jan-2011","2730","2795","2700","2778.25","2773.85","2778.25","1580","5425.73","453750","15750","       2762.95"
"SBIN","16-Dec-2010","24-Feb-2011","2715","2780","2701.9","2778.7","2778.05","2778.7","18","61.61","12250","125","       2762.95"
"SBIN","20-Dec-2010","30-Dec-2010","2749.9","2755","2707.3","2715","2710.8","2715","25006","85267.52","4961000","157125","       2700.45"
"SBIN","20-Dec-2010","27-Jan-2011","2725.55","2751.65","2716","2722.5","2720","2722.5","2040","6973.24","581125","127375","       2700.45"
"SBIN","20-Dec-2010","24-Feb-2011","2820","2820","2725","2730","2730","2743.85","15","51.56","12625","375","       2700.45"
"SBIN","21-Dec-2010","30-Dec-2010","2729","2779","2727.2","2757.85","2753.65","2757.85","27716","95640.02","4807750","-153250","       2743.75"
"SBIN","21-Dec-2010","27-Jan-2011","2738","2785","2738","2766.6","2761","2766.6","3501","12117.55","774500","193375","       2743.75"
"SBIN","21-Dec-2010","24-Feb-2011","2760","2775.85","2758.75","2763.05","2763.35","2763.05","13","44.92","12875","250","       2743.75"
"SBIN","22-Dec-2010","30-Dec-2010","2763","2797.8","2740","2755.85","2753","2755.85","28667","99313.44","4458375","-349375","       2744.95"
"SBIN","22-Dec-2010","27-Jan-2011","2774","2807.3","2750.2","2765.2","2764.45","2765.2","4334","15078.65","1092750","318250","       2744.95"
"SBIN","22-Dec-2010","24-Feb-2011","2789.35","2801.3","2750","2763.5","2763","2763.5","24","83.26","14000","1125","       2744.95"
"SBIN","23-Dec-2010","30-Dec-2010","2762.25","2776.7","2746.2","2758.6","2755.5","2758.6","16554","57140.1","4347875","-110500","       2746.25"
"SBIN","23-Dec-2010","27-Jan-2011","2778","2786.25","2758","2770.3","2768.3","2770.3","2204","7632.56","1211375","118625","       2746.25"
"SBIN","23-Dec-2010","24-Feb-2011","2775","2782.25","2759.9","2767","2767","2789.05","18","62.28","15250","1250","       2746.25"
"SBIN","24-Dec-2010","30-Dec-2010","2760","2783.8","2735","2768.9","2767.5","2768.9","19245","66661.52","4090750","-257125","       2755.35"
"SBIN","24-Dec-2010","27-Jan-2011","2767.55","2795","2756.85","2781.95","2781.5","2781.95","3803","13230.45","1477500","266125","       2755.35"
"SBIN","24-Dec-2010","24-Feb-2011","2782.3","2790","2765.1","2782.2","2780","2782.2","27","93.85","16625","1375","       2755.35"
"SBIN","27-Dec-2010","30-Dec-2010","2770","2779","2751.35","2756.15","2753.95","2756.15","15838","54702.51","3737250","-353500","       2751.20"
