"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SBIN","03-Sep-2012","27-Sep-2012","1860","1878","1855","1860.25","1858.85","1860.25","21416","49946.41","6959250","-625","       1850.70"
"SBIN","03-Sep-2012","25-Oct-2012","1869.1","1883.85","1862.8","1865.85","1866.35","1865.85","305","713.6","143125","2375","       1850.70"
"SBIN","03-Sep-2012","29-Nov-2012","1884.95","1888","1870","1870.45","1870","1870.45","22","51.6","7125","1625","       1850.70"
"SBIN","04-Sep-2012","27-Sep-2012","1867.95","1890.65","1859.4","1884.45","1887","1884.45","24463","57348.67","6958500","-750","       1875.00"
"SBIN","04-Sep-2012","25-Oct-2012","1871","1896.7","1866.4","1891.2","1893.25","1891.2","325","763.9","138875","-4250","       1875.00"
"SBIN","04-Sep-2012","29-Nov-2012","1874.9","1899.75","1873.65","1895.05","1899.75","1895.05","13","30.64","7500","375","       1875.00"
"SBIN","05-Sep-2012","27-Sep-2012","1870","1876.2","1838.25","1841.85","1842.95","1841.85","29267","67882.16","7150125","191625","       1830.25"
"SBIN","05-Sep-2012","25-Oct-2012","1879.05","1882","1845","1848.65","1849","1848.65","440","1024.06","149500","10625","       1830.25"
"SBIN","05-Sep-2012","29-Nov-2012","1885.5","1885.5","1853.05","1853.8","1854","1853.8","60","140.03","11125","3625","       1830.25"
"SBIN","06-Sep-2012","27-Sep-2012","1835.1","1874.8","1835.1","1861","1862.7","1861","23813","55286.55","6882625","-267500","       1853.95"
"SBIN","06-Sep-2012","25-Oct-2012","1846.25","1881.55","1846.25","1867.65","1869","1867.65","460","1072.06","145875","-3625","       1853.95"
"SBIN","06-Sep-2012","29-Nov-2012","1852.65","1879.5","1850.25","1875.75","1875.75","1875.75","22","51.27","11125","0","       1853.95"
"SBIN","07-Sep-2012","27-Sep-2012","1898","1907","1887.3","1897.4","1896","1897.4","30328","71928.63","6469875","-412750","       1892.05"
"SBIN","07-Sep-2012","25-Oct-2012","1909.45","1911.9","1893.1","1903.25","1902","1903.25","540","1284.74","145125","-750","       1892.05"
