"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SHREECEM","02-May-2018","31-May-2018","16999.95","17045.8","16545","16660.25","16670","16660.25","573","4797.77","79550","-2250","      16603.70"
"SHREECEM","02-May-2018","28-Jun-2018","0","0","0","16491.2","0","16786.2","0","0","0","0","      16603.70"
"SHREECEM","02-May-2018","26-Jul-2018","0","0","0","17528.05","0","16876.6","0","0","0","0","      16603.70"
"SHREECEM","03-May-2018","31-May-2018","16749.8","16979.9","16613.9","16778.75","16740","16778.75","496","4168.33","77700","-1850","      16701.05"
"SHREECEM","03-May-2018","28-Jun-2018","0","0","0","16491.2","0","16881.9","0","0","0","0","      16701.05"
"SHREECEM","03-May-2018","26-Jul-2018","0","0","0","17528.05","0","16973.1","0","0","0","0","      16701.05"
"SHREECEM","04-May-2018","31-May-2018","16776","16776","16381.4","16417.7","16402","16417.7","329","2715.08","79600","1900","      16333.65"
"SHREECEM","04-May-2018","28-Jun-2018","16500","16500","16500","16500","16500","16507.6","1","8.25","50","50","      16333.65"
"SHREECEM","04-May-2018","26-Jul-2018","0","0","0","17528.05","0","16596.9","0","0","0","0","      16333.65"
"SHREECEM","07-May-2018","31-May-2018","16419.95","16733.95","16330","16651.35","16710","16651.35","340","2819.63","78550","-1050","      16555.85"
"SHREECEM","07-May-2018","28-Jun-2018","16500.05","16500.05","16500","16500","16500","16723.45","2","16.5","150","100","      16555.85"
"SHREECEM","07-May-2018","26-Jul-2018","0","0","0","17528.05","0","16814.4","0","0","0","0","      16555.85"
"SHREECEM","08-May-2018","31-May-2018","16599.95","17064.95","16520","16630.75","16640","16630.75","333","2788.75","77050","-1500","      16527.60"
"SHREECEM","08-May-2018","28-Jun-2018","0","0","0","16500","16500","16692.4","0","0","150","0","      16527.60"
"SHREECEM","08-May-2018","26-Jul-2018","0","0","0","17528.05","0","16783.55","0","0","0","0","      16527.60"
"SHREECEM","09-May-2018","31-May-2018","16739.95","16739.95","16427.75","16458.55","16450","16458.55","214","1767.8","78050","1000","      16352.90"
"SHREECEM","09-May-2018","28-Jun-2018","16600","16600","16600","16600","16600","16513.4","1","8.3","200","50","      16352.90"
"SHREECEM","09-May-2018","26-Jul-2018","0","0","0","17528.05","0","16604","0","0","0","0","      16352.90"
"SHREECEM","10-May-2018","31-May-2018","16548.75","16548.75","16150","16187.55","16160","16187.55","336","2738.99","79350","1300","      16105.40"
"SHREECEM","10-May-2018","28-Jun-2018","16389.95","16424.4","16371.9","16371.9","16371.9","16261.4","3","24.59","200","0","      16105.40"
"SHREECEM","10-May-2018","26-Jul-2018","0","0","0","17528.05","0","16351.2","0","0","0","0","      16105.40"
"SHREECEM","11-May-2018","31-May-2018","16244.95","16349.75","16110","16284.85","16345","16284.85","301","2444.94","79600","250","      16207.20"
"SHREECEM","11-May-2018","28-Jun-2018","0","0","0","16371.9","16371.9","16361.6","0","0","200","0","      16207.20"
"SHREECEM","11-May-2018","26-Jul-2018","0","0","0","17528.05","0","16452.35","0","0","0","0","      16207.20"
"SHREECEM","14-May-2018","31-May-2018","16344.05","16344.05","16117","16225.2","16180","16225.2","190","1540.74","78550","-1050","      16184.50"
"SHREECEM","14-May-2018","28-Jun-2018","0","0","0","16371.9","16371.9","16330.45","0","0","200","0","      16184.50"
"SHREECEM","14-May-2018","26-Jul-2018","0","0","0","17528.05","0","16421.9","0","0","0","0","      16184.50"
"SHREECEM","15-May-2018","31-May-2018","15923.85","16550","15923.85","16439.65","16420","16439.65","486","3977.77","73350","-5200","      16444.50"
"SHREECEM","15-May-2018","28-Jun-2018","0","0","0","16371.9","16371.9","16590.45","0","0","200","0","      16444.50"
"SHREECEM","15-May-2018","26-Jul-2018","0","0","0","17528.05","0","16684","0","0","0","0","      16444.50"
"SHREECEM","16-May-2018","31-May-2018","16249.95","16549.95","16200.05","16480.15","16475","16480.15","269","2202.61","71300","-2050","      16474.95"
"SHREECEM","16-May-2018","28-Jun-2018","0","0","0","16371.9","16371.9","16618.65","0","0","200","0","      16474.95"
"SHREECEM","16-May-2018","26-Jul-2018","0","0","0","17528.05","0","16712.85","0","0","0","0","      16474.95"
"SHREECEM","17-May-2018","31-May-2018","16400","16539.85","16255.05","16432.7","16424","16432.7","403","3313.33","69450","-1850","      16419.05"
"SHREECEM","17-May-2018","28-Jun-2018","0","0","0","16371.9","16371.9","16559.85","0","0","200","0","      16419.05"
"SHREECEM","17-May-2018","26-Jul-2018","0","0","0","17528.05","0","16654.4","0","0","0","0","      16419.05"
"SHREECEM","18-May-2018","31-May-2018","16290.65","16489.8","16255.5","16362.3","16280","16362.3","327","2680.29","66500","-2950","      16390.20"
"SHREECEM","18-May-2018","28-Jun-2018","0","0","0","16371.9","16371.9","16528.7","0","0","200","0","      16390.20"
"SHREECEM","18-May-2018","26-Jul-2018","0","0","0","17528.05","0","16623.95","0","0","0","0","      16390.20"
"SHREECEM","21-May-2018","31-May-2018","16204.95","16351","16025.3","16115.9","16075.55","16115.9","282","2280.41","66050","-450","      16074.80"
"SHREECEM","21-May-2018","28-Jun-2018","0","0","0","16371.9","16371.9","16201.5","0","0","200","0","      16074.80"
"SHREECEM","21-May-2018","26-Jul-2018","0","0","0","17528.05","0","16295.5","0","0","0","0","      16074.80"
"SHREECEM","22-May-2018","31-May-2018","16000","16401","15751.05","16349.55","16378.95","16349.55","328","2645.69","66850","800","      16360.25"
"SHREECEM","22-May-2018","28-Jun-2018","15837","16462.85","15830","16462.85","16462.85","16462.85","28","224.27","1100","900","      16360.25"
"SHREECEM","22-May-2018","26-Jul-2018","0","0","0","17528.05","0","16582.6","0","0","0","0","      16360.25"
"SHREECEM","23-May-2018","31-May-2018","16300","16479.5","15919.65","16058.2","16031.8","16058.2","424","3444.88","65450","-1400","      16044.00"
"SHREECEM","23-May-2018","28-Jun-2018","16011.1","16125.6","16000","16025.8","16068.85","16025.8","21","168.69","1950","850","      16044.00"
"SHREECEM","23-May-2018","26-Jul-2018","0","0","0","17528.05","0","16259.55","0","0","0","0","      16044.00"
"SHREECEM","24-May-2018","31-May-2018","15999.95","16250","15999.95","16167.4","16080","16167.4","348","2811","64150","-1300","      16172.85"
"SHREECEM","24-May-2018","28-Jun-2018","16199.95","16296.5","15979.35","16179.9","16179.9","16179.9","67","543.01","4000","2050","      16172.85"
"SHREECEM","24-May-2018","26-Jul-2018","0","0","0","17528.05","0","16387.55","0","0","0","0","      16172.85"
"SHREECEM","25-May-2018","31-May-2018","16150.05","16300","16080","16217.5","16222.25","16217.5","216","1749.2","65000","850","      16250.30"
"SHREECEM","25-May-2018","28-Jun-2018","16225","16340","16150","16281.35","16340","16281.35","37","299.91","4900","900","      16250.30"
