"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SUNPHARMA","01-Jan-2014","30-Jan-2014","573.95","579.25","573","577.3","577.45","577.3","1784","5142.04","8316000","-109500","        572.35"
"SUNPHARMA","01-Jan-2014","26-Feb-2014","580.45","583.25","579","581.55","581.05","581.55","24","69.72","204000","1500","        572.35"
"SUNPHARMA","01-Jan-2014","27-Mar-2014","0","0","0","583","0","584.55","0","0","0","0","        572.35"
"SUNPHARMA","02-Jan-2014","30-Jan-2014","579","589.25","575.05","577.15","578.4","577.15","5236","15242.7","8039000","-277000","        573.85"
"SUNPHARMA","02-Jan-2014","26-Feb-2014","583.15","593","580.45","581.5","581.1","581.5","120","351.19","225500","21500","        573.85"
"SUNPHARMA","02-Jan-2014","27-Mar-2014","0","0","0","583","0","585.95","0","0","0","0","        573.85"
"SUNPHARMA","03-Jan-2014","30-Jan-2014","576.5","586.1","572.9","584.35","585","584.35","4066","11782.45","7945000","-94000","        579.70"
"SUNPHARMA","03-Jan-2014","26-Feb-2014","581.55","590","579","588.8","589.1","588.8","75","218.92","222500","-3000","        579.70"
"SUNPHARMA","03-Jan-2014","27-Mar-2014","0","0","0","583","0","591.75","0","0","0","0","        579.70"
"SUNPHARMA","06-Jan-2014","30-Jan-2014","586.1","594.9","582.6","591.9","592.25","591.9","6276","18533.07","7857500","-87500","        588.25"
"SUNPHARMA","06-Jan-2014","26-Feb-2014","592","599","588.05","596.75","597.2","596.75","103","306.94","234000","11500","        588.25"
"SUNPHARMA","06-Jan-2014","27-Mar-2014","600","600","600","600","600","600.05","1","3","500","500","        588.25"
"SUNPHARMA","07-Jan-2014","30-Jan-2014","594.35","601.95","592.05","596.85","597.5","596.85","7779","23261.7","7364500","-493000","        594.20"
"SUNPHARMA","07-Jan-2014","26-Feb-2014","601.85","606","598","601.45","601.75","601.45","141","425.25","253500","19500","        594.20"
"SUNPHARMA","07-Jan-2014","27-Mar-2014","0","0","0","600","600","606","0","0","500","0","        594.20"
"SUNPHARMA","08-Jan-2014","30-Jan-2014","605.05","612.5","600.95","604.5","604.05","604.5","8163","24775.59","7080000","-284500","        600.90"
"SUNPHARMA","08-Jan-2014","26-Feb-2014","608.85","616.45","606.75","608.45","608.75","608.45","227","694.16","301000","47500","        600.90"
"SUNPHARMA","08-Jan-2014","27-Mar-2014","0","0","0","600","600","612.75","0","0","500","0","        600.90"
"SUNPHARMA","09-Jan-2014","30-Jan-2014","605","610.6","601.4","608.05","609.45","608.05","4306","13043.6","6986500","-93500","        607.00"
"SUNPHARMA","09-Jan-2014","26-Feb-2014","609","614","606.35","612.4","613","612.4","95","289.71","310500","9500","        607.00"
"SUNPHARMA","09-Jan-2014","27-Mar-2014","0","0","0","600","600","618.85","0","0","500","0","        607.00"
"SUNPHARMA","10-Jan-2014","30-Jan-2014","608.85","618.55","607.2","610.2","611.4","610.2","5718","17519.14","6430500","-556000","        609.40"
"SUNPHARMA","10-Jan-2014","26-Feb-2014","616","622","612.05","613.95","614.8","613.95","118","363.74","309000","-1500","        609.40"
