"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SUNPHARMA","01-Nov-2007","29-Nov-2007","1050.5","1065","1040","1058.5","1054","1058.5","805","1899.07","1215225","46350","       1067.60"
"SUNPHARMA","01-Nov-2007","27-Dec-2007","1045","1057","1037.5","1057","1057","1080.55","27","63.69","6075","4500","       1067.60"
"SUNPHARMA","01-Nov-2007","31-Jan-2008","0","0","0","1037","0","1088.75","0","0","0","0","       1067.60"
"SUNPHARMA","02-Nov-2007","29-Nov-2007","1062","1065","1031","1059.05","1061","1059.05","1284","3033.22","1289925","74700","       1070.75"
"SUNPHARMA","02-Nov-2007","27-Dec-2007","1038","1062.15","1038","1062.15","1062.15","1062.15","69","162.73","19350","13275","       1070.75"
"SUNPHARMA","02-Nov-2007","31-Jan-2008","0","0","0","1037","0","1091.85","0","0","0","0","       1070.75"
"SUNPHARMA","05-Nov-2007","29-Nov-2007","1053.5","1060","1036.6","1050.9","1055","1050.9","746","1755.19","1329300","39375","       1058.70"
"SUNPHARMA","05-Nov-2007","27-Dec-2007","1053.7","1070","1040.5","1055.15","1070","1055.15","46","108.31","28575","9225","       1058.70"
"SUNPHARMA","05-Nov-2007","31-Jan-2008","0","0","0","1037","0","1079.35","0","0","0","0","       1058.70"
"SUNPHARMA","06-Nov-2007","29-Nov-2007","1054","1068.9","1054","1062.75","1063.4","1062.75","508","1214.89","1287000","-42300","       1054.95"
"SUNPHARMA","06-Nov-2007","27-Dec-2007","1055.65","1064","1055.65","1064","1064","1067.2","4","9.54","28575","0","       1054.95"
"SUNPHARMA","06-Nov-2007","31-Jan-2008","0","0","0","1037","0","1075.65","0","0","0","0","       1054.95"
"SUNPHARMA","07-Nov-2007","29-Nov-2007","1080","1084.7","1047.1","1059.05","1059.95","1059.05","397","952.47","1287450","450","       1059.55"
"SUNPHARMA","07-Nov-2007","27-Dec-2007","1063.8","1063.8","1063.8","1063.8","1063.8","1071.7","1","2.39","28575","0","       1059.55"
"SUNPHARMA","07-Nov-2007","31-Jan-2008","0","0","0","1037","0","1080.25","0","0","0","0","       1059.55"
"SUNPHARMA","08-Nov-2007","29-Nov-2007","1052","1057.5","1038.9","1053.65","1052.1","1053.65","390","917.75","1322550","35100","       1061.65"
"SUNPHARMA","08-Nov-2007","27-Dec-2007","1048","1057.95","1040","1057.95","1057.95","1057.95","15","35.33","31950","3375","       1061.65"
"SUNPHARMA","08-Nov-2007","31-Jan-2008","0","0","0","1037","0","1081.75","0","0","0","0","       1061.65"
"SUNPHARMA","09-Nov-2007","29-Nov-2007","1050.1","1050.1","915.05","1024.55","1027","1024.55","132","304.11","1338300","15750","       1037.45"
"SUNPHARMA","09-Nov-2007","27-Dec-2007","0","0","0","1057.95","1057.95","1048.65","0","0","31950","0","       1037.45"
"SUNPHARMA","09-Nov-2007","31-Jan-2008","0","0","0","1037","0","1056.85","0","0","0","0","       1037.45"
"SUNPHARMA","12-Nov-2007","29-Nov-2007","1038","1064.7","1020.1","1055","1055","1055","439","1036.36","1318950","-19350","       1048.30"
"SUNPHARMA","12-Nov-2007","27-Dec-2007","1038","1057.95","1038","1050","1050","1050","4","9.41","32625","675","       1048.30"
"SUNPHARMA","12-Nov-2007","31-Jan-2008","0","0","0","1037","0","1066.9","0","0","0","0","       1048.30"
"SUNPHARMA","13-Nov-2007","29-Nov-2007","1045.15","1097","1025","1064.95","1077","1064.95","966","2295.8","1332225","13275","       1072.45"
"SUNPHARMA","13-Nov-2007","27-Dec-2007","1031","1065","1031","1065","1065","1065","6","14.21","32400","-225","       1072.45"
"SUNPHARMA","13-Nov-2007","31-Jan-2008","0","0","0","1037","0","1091.95","0","0","0","0","       1072.45"
"SUNPHARMA","14-Nov-2007","29-Nov-2007","1081","1155","1070","1146.75","1139.7","1146.75","998","2507.53","1323675","-8550","       1137.90"
"SUNPHARMA","14-Nov-2007","27-Dec-2007","1105","1145","1103","1144.2","1143.35","1144.2","77","193.39","35325","2925","       1137.90"
"SUNPHARMA","14-Nov-2007","31-Jan-2008","0","0","0","1037","0","1158.25","0","0","0","0","       1137.90"
"SUNPHARMA","15-Nov-2007","29-Nov-2007","1120.65","1139","1110","1127.7","1128.45","1127.7","379","956.69","1324800","1125","       1125.65"
"SUNPHARMA","15-Nov-2007","27-Dec-2007","1120","1130","1106","1127.25","1124.5","1127.25","29","72.75","37350","2025","       1125.65"
"SUNPHARMA","15-Nov-2007","31-Jan-2008","0","0","0","1037","0","1145.4","0","0","0","0","       1125.65"
"SUNPHARMA","16-Nov-2007","29-Nov-2007","1126","1126","1088.45","1096.9","1100.15","1096.9","458","1136.01","1321875","-2925","       1105.90"
"SUNPHARMA","16-Nov-2007","27-Dec-2007","1107.9","1114","1090","1096.6","1102","1096.6","31","76.77","41175","3825","       1105.90"
"SUNPHARMA","16-Nov-2007","31-Jan-2008","0","0","0","1037","0","1125.4","0","0","0","0","       1105.90"
"SUNPHARMA","19-Nov-2007","29-Nov-2007","1102","1158.9","1093","1146.1","1139.9","1146.1","429","1086.32","1323225","1350","       1146.10"
"SUNPHARMA","19-Nov-2007","27-Dec-2007","1104","1151","1097","1148.75","1151","1148.75","64","161.12","51525","10350","       1146.10"
"SUNPHARMA","19-Nov-2007","31-Jan-2008","0","0","0","1037","0","1165.75","0","0","0","0","       1146.10"
"SUNPHARMA","20-Nov-2007","29-Nov-2007","1128","1128","1076.5","1083.4","1090.8","1083.4","498","1238.33","1356750","33525","       1100.25"
"SUNPHARMA","20-Nov-2007","27-Dec-2007","1105","1119.95","1072.4","1080.1","1081.5","1080.1","138","340.93","68175","16650","       1100.25"
"SUNPHARMA","20-Nov-2007","31-Jan-2008","0","0","0","1037","0","1118.6","0","0","0","0","       1100.25"
"SUNPHARMA","21-Nov-2007","29-Nov-2007","1075","1082.4","1048.6","1066.2","1054","1066.2","1083","2593.21","1270350","-86400","       1080.05"
"SUNPHARMA","21-Nov-2007","27-Dec-2007","1011.25","1150","1011.25","1062.65","1052.5","1062.65","586","1399.07","183150","114975","       1080.05"
"SUNPHARMA","21-Nov-2007","31-Jan-2008","0","0","0","1037","0","1098","0","0","0","0","       1080.05"
"SUNPHARMA","22-Nov-2007","29-Nov-2007","1050","1101","1045","1078.9","1080","1078.9","1021","2478.43","1115325","-155025","       1095.70"
"SUNPHARMA","22-Nov-2007","27-Dec-2007","1077","1083","1053","1071.7","1079.5","1071.7","682","1649.44","311175","128025","       1095.70"
"SUNPHARMA","22-Nov-2007","31-Jan-2008","0","0","0","1037","0","1113.45","0","0","0","0","       1095.70"
"SUNPHARMA","23-Nov-2007","29-Nov-2007","1081","1104","1052","1087.4","1084.1","1087.4","585","1414.43","1068975","-46350","       1101.10"
"SUNPHARMA","23-Nov-2007","27-Dec-2007","1051.15","1095.15","1045","1079.45","1080","1079.45","334","800.57","364275","53100","       1101.10"
"SUNPHARMA","23-Nov-2007","31-Jan-2008","0","0","0","1037","0","1118.85","0","0","0","0","       1101.10"
"SUNPHARMA","26-Nov-2007","29-Nov-2007","1098","1129.7","1095","1113.8","1111.3","1113.8","1279","3225.02","892800","-176175","       1109.70"
"SUNPHARMA","26-Nov-2007","27-Dec-2007","1115","1125","1099.45","1108.3","1105.5","1108.3","950","2391","537075","172800","       1109.70"
"SUNPHARMA","26-Nov-2007","31-Jan-2008","0","0","0","1037","0","1126.7","0","0","0","0","       1109.70"
"SUNPHARMA","27-Nov-2007","29-Nov-2007","1110","1126.9","1097","1121.25","1120","1121.25","2611","6515.63","366300","-526500","       1114.00"
"SUNPHARMA","27-Nov-2007","27-Dec-2007","1106","1122","1090.45","1115.55","1110","1115.55","2400","5964.69","1014975","477900","       1114.00"
"SUNPHARMA","27-Nov-2007","31-Jan-2008","0","0","0","1037","0","1130.85","0","0","0","0","       1114.00"
"SUNPHARMA","28-Nov-2007","29-Nov-2007","1095.1","1124","1090","1105.95","1106.8","1105.95","1102","2738.34","182250","-184050","       1104.30"
"SUNPHARMA","28-Nov-2007","27-Dec-2007","1106","1110.5","1092","1099.7","1096.9","1099.7","975","2410.75","1197000","182025","       1104.30"
"SUNPHARMA","28-Nov-2007","31-Jan-2008","0","0","0","1037","0","1120.75","0","0","0","0","       1104.30"
"SUNPHARMA","29-Nov-2007","29-Nov-2007","1106","1128","1100","1111.15","1109.7","1105.35","918","2296.31","109800","-72450","       1105.35"
"SUNPHARMA","29-Nov-2007","27-Dec-2007","1050","1119.9","1050","1108.05","1109.9","1108.05","711","1769.85","1283400","86400","       1105.35"
"SUNPHARMA","29-Nov-2007","31-Jan-2008","0","0","0","1037","0","1121.55","0","0","0","0","       1105.35"
"SUNPHARMA","30-Nov-2007","27-Dec-2007","1100","1120","1095","1116.2","1113","1116.2","430","1076.75","1274400","-9000","       1102.60"
"SUNPHARMA","30-Nov-2007","31-Jan-2008","1106","1111","1105","1110","1110","1118.65","9","22.43","225","225","       1102.60"
"SUNPHARMA","30-Nov-2007","28-Feb-2008","0","0","0","1128.85","0","1125.95","0","0","0","0","       1102.60"
"SUNPHARMA","03-Dec-2007","27-Dec-2007","1095","1118.5","1092.1","1102.4","1105","1102.4","307","763.63","1285200","10800","       1099.95"
"SUNPHARMA","03-Dec-2007","31-Jan-2008","1110","1110","1105","1105","1105","1115.05","4","9.96","450","225","       1099.95"
"SUNPHARMA","03-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1122.25","0","0","0","0","       1099.95"
"SUNPHARMA","04-Dec-2007","27-Dec-2007","1106.05","1108.95","1090.05","1092.35","1090.05","1092.35","238","587.78","1298700","13500","       1093.00"
"SUNPHARMA","04-Dec-2007","31-Jan-2008","1097","1100","1097","1100","1100","1107.85","2","4.94","675","225","       1093.00"
"SUNPHARMA","04-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1115.1","0","0","0","0","       1093.00"
"SUNPHARMA","05-Dec-2007","27-Dec-2007","1092","1126","1072.25","1122.55","1121","1122.55","432","1075.85","1285425","-13275","       1118.30"
"SUNPHARMA","05-Dec-2007","31-Jan-2008","1100","1110","1100","1110","1110","1132.8","11","27.36","1800","1125","       1118.30"
"SUNPHARMA","05-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1140","0","0","0","0","       1118.30"
"SUNPHARMA","06-Dec-2007","27-Dec-2007","1129.95","1130","1076","1089.25","1091.1","1089.25","829","2064.1","1292175","6750","       1087.00"
"SUNPHARMA","06-Dec-2007","31-Jan-2008","1112","1113","1098.9","1098.9","1098.9","1098.9","10","24.84","1800","0","       1087.00"
"SUNPHARMA","06-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1108.7","0","0","0","0","       1087.00"
"SUNPHARMA","07-Dec-2007","27-Dec-2007","1100","1116","1080","1108.05","1108","1108.05","589","1461.31","1278000","-14175","       1113.40"
"SUNPHARMA","07-Dec-2007","31-Jan-2008","1099","1105.5","1095","1095","1095","1127.95","5","12.37","1575","-225","       1113.40"
"SUNPHARMA","07-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1135.4","0","0","0","0","       1113.40"
"SUNPHARMA","10-Dec-2007","27-Dec-2007","1095","1108.8","1070","1100.7","1097","1100.7","473","1170.11","1325700","47700","       1121.15"
"SUNPHARMA","10-Dec-2007","31-Jan-2008","1100","1105","1091.1","1105","1105","1105","59","146.02","14625","13050","       1121.15"
"SUNPHARMA","10-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1142.3","0","0","0","0","       1121.15"
"SUNPHARMA","11-Dec-2007","27-Dec-2007","1101","1131","1097","1123.65","1125","1123.65","634","1596.11","1310400","-15300","       1135.85"
"SUNPHARMA","11-Dec-2007","31-Jan-2008","1104","1129","1104","1124.8","1124.8","1124.8","5","12.56","14850","225","       1135.85"
"SUNPHARMA","11-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1157.45","0","0","0","0","       1135.85"
"SUNPHARMA","12-Dec-2007","27-Dec-2007","1122","1191.6","1122","1178.25","1187","1178.25","691","1788.6","1327950","17550","       1173.90"
"SUNPHARMA","12-Dec-2007","31-Jan-2008","1144","1152","1126","1152","1152","1187.7","5","12.85","14850","0","       1173.90"
"SUNPHARMA","12-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1195.5","0","0","0","0","       1173.90"
"SUNPHARMA","13-Dec-2007","27-Dec-2007","1179","1179","1099.9","1118.45","1114","1118.45","678","1745.4","1389375","61425","       1119.90"
"SUNPHARMA","13-Dec-2007","31-Jan-2008","1140.95","1148.6","1115","1126.2","1115","1126.2","19","48.51","16875","2025","       1119.90"
"SUNPHARMA","13-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1140.55","0","0","0","0","       1119.90"
"SUNPHARMA","14-Dec-2007","27-Dec-2007","1127","1144.5","1091.05","1133.25","1129.3","1133.25","675","1709.93","1404450","15075","       1138.50"
"SUNPHARMA","14-Dec-2007","31-Jan-2008","1101","1145","1101","1126.7","1130","1126.7","61","154.33","19125","2250","       1138.50"
"SUNPHARMA","14-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1159.1","0","0","0","0","       1138.50"
"SUNPHARMA","17-Dec-2007","27-Dec-2007","1144","1144","1085.15","1095.35","1098","1095.35","1657","4126.3","1196775","-207675","       1091.40"
"SUNPHARMA","17-Dec-2007","31-Jan-2008","1135.05","1135.05","1080","1089.85","1087","1089.85","1168","2893.65","265275","246150","       1091.40"
"SUNPHARMA","17-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1110.3","0","0","0","0","       1091.40"
"SUNPHARMA","18-Dec-2007","27-Dec-2007","1114.6","1158.8","1100.1","1144.8","1148.9","1144.8","1047","2673.61","1128150","-68625","       1138.20"
"SUNPHARMA","18-Dec-2007","31-Jan-2008","1103.55","1148.9","1096","1132.05","1132.1","1132.05","280","708.99","300150","34875","       1138.20"
"SUNPHARMA","18-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1157.9","0","0","0","0","       1138.20"
"SUNPHARMA","19-Dec-2007","27-Dec-2007","1148","1170","1103","1148.15","1166.05","1148.15","2925","7331.36","618300","-509850","       1150.05"
"SUNPHARMA","19-Dec-2007","31-Jan-2008","1126","1159","1090","1134.95","1152.15","1134.95","2410","5984.34","765675","465525","       1150.05"
"SUNPHARMA","19-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1169.35","0","0","0","0","       1150.05"
"SUNPHARMA","20-Dec-2007","27-Dec-2007","1175","1188.9","1149","1178.8","1168","1178.8","1062","2780.24","504900","-113400","       1181.90"
"SUNPHARMA","20-Dec-2007","31-Jan-2008","1135","1176.8","1135","1167.6","1153.05","1167.6","738","1913.14","868950","103275","       1181.90"
"SUNPHARMA","20-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1201.6","0","0","0","0","       1181.90"
"SUNPHARMA","24-Dec-2007","27-Dec-2007","1175","1275","1172","1243.2","1240.3","1243.2","1175","3280.25","403200","-101700","       1238.50"
"SUNPHARMA","24-Dec-2007","31-Jan-2008","1166","1263.9","1164","1230.95","1232.8","1230.95","603","1674.01","936000","67050","       1238.50"
"SUNPHARMA","24-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1258.05","0","0","0","0","       1238.50"
"SUNPHARMA","26-Dec-2007","27-Dec-2007","1240","1240","1200","1218.65","1215.4","1218.65","1448","3960.05","188325","-214875","       1209.10"
"SUNPHARMA","26-Dec-2007","31-Jan-2008","1230","1230","1195.6","1210.8","1209.3","1210.8","1480","4018.1","1168875","232875","       1209.10"
"SUNPHARMA","26-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1227.6","0","0","0","0","       1209.10"
"SUNPHARMA","27-Dec-2007","27-Dec-2007","1229.75","1229.75","1183","1187.8","1183.6","1186.75","823","2209.97","97875","-90450","       1186.75"
"SUNPHARMA","27-Dec-2007","31-Jan-2008","1219","1222","1184.6","1191.7","1190","1191.7","959","2577.65","1272150","103275","       1186.75"
"SUNPHARMA","27-Dec-2007","28-Feb-2008","0","0","0","1128.85","0","1204.65","0","0","0","0","       1186.75"
"SUNPHARMA","28-Dec-2007","31-Jan-2008","1171","1239","1167.5","1230.3","1224","1230.3","1041","2814.99","1305900","33750","       1214.75"
"SUNPHARMA","28-Dec-2007","28-Feb-2008","1175","1189.95","1175","1189.95","1189.95","1232.75","2","5.32","0","0","       1214.75"
"SUNPHARMA","28-Dec-2007","27-Mar-2008","0","0","0","1212.65","0","1240.95","0","0","0","0","       1214.75"
"SUNPHARMA","31-Dec-2007","31-Jan-2008","1232.05","1233.95","1208","1222.15","1221","1222.15","562","1544.55","1336275","30375","       1203.75"
"SUNPHARMA","31-Dec-2007","28-Feb-2008","0","0","0","1189.95","1189.95","1220.55","0","0","0","0","       1203.75"
"SUNPHARMA","31-Dec-2007","27-Mar-2008","0","0","0","1212.65","0","1228.6","0","0","0","0","       1203.75"
