"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SUNPHARMA","01-Sep-2015","24-Sep-2015","885.7","917.65","883.05","903.05","902.7","903.05","18733","42401.53","11500000","-473750","        901.95"
"SUNPHARMA","01-Sep-2015","29-Oct-2015","894.95","920","894.95","906.1","903.35","906.1","315","716","135750","8750","        901.95"
"SUNPHARMA","01-Sep-2015","26-Nov-2015","920","920","909.5","909.5","909.5","918.65","4","21.97","7200","1200","        901.95"
"SUNPHARMA","02-Sep-2015","24-Sep-2015","913.85","918.5","890.5","893.55","895.3","893.55","13613","30677.52","11452750","-47250","        890.15"
"SUNPHARMA","02-Sep-2015","29-Oct-2015","919.45","920.2","894.45","898.2","899.95","898.2","267","604","146750","11000","        890.15"
"SUNPHARMA","02-Sep-2015","26-Nov-2015","912","912","908","908","908","908","3","16.37","9000","1800","        890.15"
"SUNPHARMA","03-Sep-2015","24-Sep-2015","895.55","902.85","882","887.8","890","887.8","10659","23778.86","11439000","-13750","        884.95"
"SUNPHARMA","03-Sep-2015","29-Oct-2015","905.9","905.9","886.5","891.6","893","891.6","236","528.29","157250","10500","        884.95"
"SUNPHARMA","03-Sep-2015","26-Nov-2015","903","903","892","900.45","900.45","900.45","13","69.87","16800","7800","        884.95"
"SUNPHARMA","04-Sep-2015","24-Sep-2015","889.9","892.8","855","860.75","861.7","860.75","11998","26090.52","11323750","-115250","        857.70"
"SUNPHARMA","04-Sep-2015","29-Oct-2015","890.5","894","856.7","864.55","864.7","864.55","638","1389.25","205750","48500","        857.70"
"SUNPHARMA","04-Sep-2015","26-Nov-2015","892","892","858.25","872.35","872.35","872.35","22","115.93","21000","4200","        857.70"
"SUNPHARMA","07-Sep-2015","24-Sep-2015","864.8","867.45","835.85","840.35","839.25","840.35","10308","21933.29","11197750","-126000","        836.50"
"SUNPHARMA","07-Sep-2015","29-Oct-2015","863","870","840.1","843.85","843","843.85","460","983.38","243000","37250","        836.50"
"SUNPHARMA","07-Sep-2015","26-Nov-2015","860","864.3","860","862","862","850.75","5","25.88","24000","3000","        836.50"
"SUNPHARMA","08-Sep-2015","24-Sep-2015","846","854.25","818.55","848.9","854","848.9","13223","27657.4","11377500","179750","        844.60"
"SUNPHARMA","08-Sep-2015","29-Oct-2015","845.5","884.8","822.5","861.05","856","861.05","509","1072.05","271500","28500","        844.60"
"SUNPHARMA","08-Sep-2015","26-Nov-2015","840","844.45","829.5","844.45","844.45","858.85","9","45.18","27000","3000","        844.60"
"SUNPHARMA","09-Sep-2015","24-Sep-2015","861.25","862.7","839.3","842.65","842.5","842.65","11506","24449.76","11533750","156250","        839.05"
"SUNPHARMA","09-Sep-2015","29-Oct-2015","865","866","843.25","846.15","845.45","846.15","551","1176.18","323250","51750","        839.05"
"SUNPHARMA","09-Sep-2015","26-Nov-2015","856","859.05","851","853","853.95","853","9","46.16","31200","4200","        839.05"
"SUNPHARMA","10-Sep-2015","24-Sep-2015","835.75","847.3","827.5","843.9","847","843.9","10245","21518.9","11589000","55250","        839.70"
"SUNPHARMA","10-Sep-2015","29-Oct-2015","835.85","850.1","831.55","847.45","850","847.45","416","878.25","352250","29000","        839.70"
"SUNPHARMA","10-Sep-2015","26-Nov-2015","843","854","843","854","854","854","3","15.29","30600","-600","        839.70"
"SUNPHARMA","11-Sep-2015","24-Sep-2015","846.9","854.5","843","846.25","846.1","846.25","8317","17626.61","11341000","-248000","        846.05"
"SUNPHARMA","11-Sep-2015","29-Oct-2015","852.9","858","846.9","850.45","849.5","850.45","429","913.31","368250","16000","        846.05"
"SUNPHARMA","11-Sep-2015","26-Nov-2015","861.95","861.95","855.7","855.7","855.7","859.85","2","10.31","30600","0","        846.05"
"SUNPHARMA","14-Sep-2015","24-Sep-2015","854.5","862","847.25","859.45","858.55","859.45","11104","23784.04","11057500","-283500","        857.05"
"SUNPHARMA","14-Sep-2015","29-Oct-2015","857","864.95","851.95","863","860.75","863","870","1871.77","438250","70000","        857.05"
"SUNPHARMA","14-Sep-2015","26-Nov-2015","866","867.95","866","867.95","867.95","870.55","2","10.4","30000","-600","        857.05"
"SUNPHARMA","15-Sep-2015","24-Sep-2015","858.9","873.95","855.5","868.3","867.05","868.3","12281","26639.12","10922500","-135000","        866.60"
"SUNPHARMA","15-Sep-2015","29-Oct-2015","863.25","877.1","863","871.75","871","871.75","982","2138.97","563000","124750","        866.60"
"SUNPHARMA","15-Sep-2015","26-Nov-2015","868.85","880","868.85","880","880","880.05","8","42.08","26400","-3600","        866.60"
"SUNPHARMA","16-Sep-2015","24-Sep-2015","877.05","891.5","876.3","887","886.8","887","14491","32078.19","10772750","-149750","        887.20"
"SUNPHARMA","16-Sep-2015","29-Oct-2015","885.5","894.1","880.45","890.1","888.85","890.1","1088","2417.45","686000","123000","        887.20"
"SUNPHARMA","16-Sep-2015","26-Nov-2015","895.95","896.95","892.25","896.95","896.95","896.95","4","21.48","26400","0","        887.20"
"SUNPHARMA","18-Sep-2015","24-Sep-2015","890","912.9","887.6","905.75","911.95","905.75","13305","29942.37","10262250","-510500","        905.20"
"SUNPHARMA","18-Sep-2015","29-Oct-2015","899.65","916.45","891.95","907.45","913.2","907.45","2125","4788.29","992750","306750","        905.20"
"SUNPHARMA","18-Sep-2015","26-Nov-2015","904.95","918","896","912.15","918","912.15","14","76.25","25200","-1200","        905.20"
"SUNPHARMA","21-Sep-2015","24-Sep-2015","911.8","911.8","895.25","900.55","901.2","900.55","13428","30219.17","8938000","-1324250","        899.95"
"SUNPHARMA","21-Sep-2015","29-Oct-2015","913.55","914","898.6","903.9","905","903.9","6951","15688.14","2158000","1165250","        899.95"
"SUNPHARMA","21-Sep-2015","26-Nov-2015","914.45","914.45","905.45","906.5","906.5","912.75","6","32.71","28200","3000","        899.95"
"SUNPHARMA","22-Sep-2015","24-Sep-2015","906.2","909.45","890.65","898.7","897.5","898.7","24211","54537.36","7015250","-1922750","        900.60"
"SUNPHARMA","22-Sep-2015","29-Oct-2015","909.7","911.15","892.85","900.5","899","900.5","15217","34379.16","4392000","2234000","        900.60"
"SUNPHARMA","22-Sep-2015","26-Nov-2015","907","915","898","898","898","913.2","29","157.94","34800","6600","        900.60"
"SUNPHARMA","23-Sep-2015","24-Sep-2015","895.1","906.65","887.7","898.25","899.5","898.25","21089","47319.94","4083500","-2931750","        896.75"
"SUNPHARMA","23-Sep-2015","29-Oct-2015","898.3","909","890.25","901.05","902.55","901.05","18575","41785.49","7172750","2780750","        896.75"
"SUNPHARMA","23-Sep-2015","26-Nov-2015","902.35","910","902","905","905","905","7","38.03","36600","1800","        896.75"
"SUNPHARMA","24-Sep-2015","24-Sep-2015","898.2","899.05","888.25","891.7","891.8","891.9","12417","27723.89","2885500","-1198000","        891.90"
"SUNPHARMA","24-Sep-2015","29-Oct-2015","903.85","903.85","892.15","895.05","893.6","895.05","12856","28812.09","8570000","1397250","        891.90"
"SUNPHARMA","24-Sep-2015","26-Nov-2015","902.8","904.95","896.15","899.9","901","899.9","22","118.96","48600","12000","        891.90"
"SUNPHARMA","28-Sep-2015","29-Oct-2015","892","894.15","858.05","864.15","866.95","864.15","13270","28792.08","9043750","473750","        861.00"
"SUNPHARMA","28-Sep-2015","26-Nov-2015","879.95","880","864.5","870.1","870.25","870.1","109","570.33","82800","34200","        861.00"
"SUNPHARMA","28-Sep-2015","31-Dec-2015","0","0","0","910","0","878.25","0","0","0","0","        861.00"
"SUNPHARMA","29-Sep-2015","29-Oct-2015","860.8","862.5","841.2","851.15","851","851.15","11420","24292.14","9148250","104500","        848.25"
"SUNPHARMA","29-Sep-2015","26-Nov-2015","862.7","866.3","845.5","856.85","856","856.85","128","658.12","110400","27600","        848.25"
"SUNPHARMA","29-Sep-2015","31-Dec-2015","0","0","0","910","0","864.6","0","0","0","0","        848.25"
"SUNPHARMA","30-Sep-2015","29-Oct-2015","859.5","874.5","858.8","871.65","874","871.65","8996","19494.8","9175250","27000","        868.40"
"SUNPHARMA","30-Sep-2015","26-Nov-2015","865.55","877.95","863.25","876.05","877.95","876.05","83","433.08","103800","-6600","        868.40"
"SUNPHARMA","30-Sep-2015","31-Dec-2015","0","0","0","910","0","884.7","0","0","0","0","        868.40"
"SUNPHARMA","01-Oct-2015","29-Oct-2015","876.45","897","876.45","891.1","888.05","891.1","10680","23775.42","9145250","-30000","        891.00"
"SUNPHARMA","01-Oct-2015","26-Nov-2015","888","900.85","887.1","895.45","893.25","895.45","87","466.77","109800","6000","        891.00"
"SUNPHARMA","01-Oct-2015","31-Dec-2015","0","0","0","910","0","907.35","0","0","0","0","        891.00"
