"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TATAMOTORS","03-Jan-2005","27-Jan-2005","512","526.95","512","524.6","525.9","524.6","15409","66233.39","8360550","670725","        520.45"
"TATAMOTORS","03-Jan-2005","24-Feb-2005","518.4","528.15","518.4","525","525","524.65","9","38.94","7425","3300","        520.45"
"TATAMOTORS","03-Jan-2005","31-Mar-2005","545.1","545.1","545.1","545.1","545.1","527.5","1","4.5","825","825","        520.45"
"TATAMOTORS","04-Jan-2005","27-Jan-2005","526.5","529.85","520.1","522.1","523.05","522.1","9562","41394.21","8205450","-155100","        519.80"
"TATAMOTORS","04-Jan-2005","24-Feb-2005","523","525.5","523","525","525","523.85","3","12.98","9900","2475","        519.80"
"TATAMOTORS","04-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","526.6","0","0","825","0","        519.80"
"TATAMOTORS","05-Jan-2005","27-Jan-2005","520","521.6","478.55","502.95","501","502.95","18629","77206.62","7705500","-499950","        503.70"
"TATAMOTORS","05-Jan-2005","24-Feb-2005","525","525","487","502.65","502.65","507.6","15","63.52","17325","7425","        503.70"
"TATAMOTORS","05-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","510.35","0","0","825","0","        503.70"
"TATAMOTORS","06-Jan-2005","27-Jan-2005","503","509.9","490","494","492.5","494","14608","60301.63","6986925","-718575","        493.20"
"TATAMOTORS","06-Jan-2005","24-Feb-2005","503.3","511","490.35","499.9","499.9","499.9","18","74.55","22275","4950","        493.20"
"TATAMOTORS","06-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","499.55","0","0","825","0","        493.20"
"TATAMOTORS","07-Jan-2005","27-Jan-2005","492","499.25","486.1","495.7","494.05","495.7","7859","31986.6","7075200","88275","        492.75"
"TATAMOTORS","07-Jan-2005","24-Feb-2005","492.5","502.5","490.15","502.5","502.5","496.35","15","61.6","25575","3300","        492.75"
"TATAMOTORS","07-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","499","0","0","825","0","        492.75"
"TATAMOTORS","10-Jan-2005","27-Jan-2005","500","500","472.5","475.7","472.5","475.7","6533","26162.73","7194825","119625","        475.00"
"TATAMOTORS","10-Jan-2005","24-Feb-2005","494.2","494.2","479.85","479.85","479.85","479.85","7","28.12","27225","1650","        475.00"
"TATAMOTORS","10-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","480.85","0","0","825","0","        475.00"
"TATAMOTORS","11-Jan-2005","27-Jan-2005","475","485.7","472","479.8","477","479.8","8289","32872","6490275","-704550","        480.15"
"TATAMOTORS","11-Jan-2005","24-Feb-2005","481","487","478","480.45","480","480.45","11","43.68","28875","1650","        480.15"
"TATAMOTORS","11-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","485.95","0","0","825","0","        480.15"
"TATAMOTORS","12-Jan-2005","27-Jan-2005","480","495","469.8","473.4","476","473.4","12139","48284.11","6114900","-375375","        473.65"
"TATAMOTORS","12-Jan-2005","24-Feb-2005","485","495","472.2","476","476","476","56","223.5","33000","4125","        473.65"
"TATAMOTORS","12-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","479.3","0","0","825","0","        473.65"
"TATAMOTORS","13-Jan-2005","27-Jan-2005","475","492.5","475","486.5","488.25","486.5","7592","30389.69","6057975","-56925","        487.30"
"TATAMOTORS","13-Jan-2005","24-Feb-2005","488","494.5","482.3","489.5","490","489.5","29","117.08","38775","5775","        487.30"
"TATAMOTORS","13-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","493.05","0","0","825","0","        487.30"
"TATAMOTORS","14-Jan-2005","27-Jan-2005","488.45","488.75","475.1","480.3","483.8","480.3","5863","23246.52","5883075","-174900","        483.10"
"TATAMOTORS","14-Jan-2005","24-Feb-2005","480.5","486","478","481.45","486","481.45","10","39.68","37950","-825","        483.10"
"TATAMOTORS","14-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","488.7","0","0","825","0","        483.10"
"TATAMOTORS","17-Jan-2005","27-Jan-2005","485","485","464","473.9","475.95","473.9","7719","30054.98","5790675","-92400","        472.85"
"TATAMOTORS","17-Jan-2005","24-Feb-2005","478","478","468","474.95","474.7","474.95","36","140.29","52800","14850","        472.85"
"TATAMOTORS","17-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","478.2","0","0","825","0","        472.85"
"TATAMOTORS","18-Jan-2005","27-Jan-2005","473","477.85","467.25","469.65","467.4","469.65","9563","37255.83","5958150","167475","        468.20"
"TATAMOTORS","18-Jan-2005","24-Feb-2005","478.75","480.9","470.3","470.95","471.05","470.95","121","473.27","89925","37125","        468.20"
"TATAMOTORS","18-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","473.4","0","0","825","0","        468.20"
"TATAMOTORS","19-Jan-2005","27-Jan-2005","470.65","475.4","459.1","461.8","462.05","461.8","6805","26309.46","5930925","-27225","        461.25"
"TATAMOTORS","19-Jan-2005","24-Feb-2005","474.45","477.75","462","463.95","463.9","463.95","310","1203.52","254100","164175","        461.25"
"TATAMOTORS","19-Jan-2005","31-Mar-2005","0","0","0","545.1","545.1","466.3","0","0","825","0","        461.25"
"TATAMOTORS","20-Jan-2005","27-Jan-2005","459","471.7","453.5","469.4","468.5","469.4","8015","30517.44","5116650","-814275","        472.55"
"TATAMOTORS","20-Jan-2005","24-Feb-2005","460","473","455","471.1","471","471.1","1065","4062.05","749100","495000","        472.55"
