"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TATAMOTORS","01-Mar-2012","29-Mar-2012","271","275.95","267.6","269.9","269","269.9","13398","72775.86","39464000","-244000","        267.20"
"TATAMOTORS","01-Mar-2012","26-Apr-2012","272.3","277.2","269.45","270.9","270.05","270.9","279","1522.57","726000","-12000","        267.20"
"TATAMOTORS","01-Mar-2012","31-May-2012","275","275","274.75","274.75","274.75","274.3","3","16.5","62000","2000","        267.20"
"TATAMOTORS","02-Mar-2012","29-Mar-2012","271.35","273.45","266","268.65","268.15","268.65","11131","60035.2","37566000","-1898000","        267.65"
"TATAMOTORS","02-Mar-2012","26-Apr-2012","274","274","267.65","269.75","269.55","269.75","170","921","754000","28000","        267.65"
"TATAMOTORS","02-Mar-2012","31-May-2012","274.7","274.7","271","271.5","271.5","271.5","13","71.15","72000","10000","        267.65"
"TATAMOTORS","03-Mar-2012","29-Mar-2012","268.55","270.3","267.9","269.85","270.1","269.85","1014","5465.61","37306000","-260000","        267.95"
"TATAMOTORS","03-Mar-2012","26-Apr-2012","269.85","271.45","269.85","271.4","271.45","271.4","14","75.86","760000","6000","        267.95"
"TATAMOTORS","03-Mar-2012","31-May-2012","0","0","0","271.5","271.5","274.85","0","0","72000","0","        267.95"
"TATAMOTORS","05-Mar-2012","29-Mar-2012","268.65","275.3","267.4","274.4","274.75","274.4","13234","71963.1","37840000","534000","        274.15"
"TATAMOTORS","05-Mar-2012","26-Apr-2012","269.75","276.5","268.6","275.7","276","275.7","246","1344.58","810000","50000","        274.15"
"TATAMOTORS","05-Mar-2012","31-May-2012","0","0","0","271.5","271.5","281.25","0","0","72000","0","        274.15"
"TATAMOTORS","06-Mar-2012","29-Mar-2012","274","279.85","263.9","266.85","264.7","266.85","16515","90350.62","35210000","-2630000","        267.00"
"TATAMOTORS","06-Mar-2012","26-Apr-2012","274.3","281.55","265.75","269.1","266.5","269.1","380","2079.21","706000","-104000","        267.00"
"TATAMOTORS","06-Mar-2012","31-May-2012","281","281","268.25","270.4","268.25","270.4","31","170.24","116000","44000","        267.00"
"TATAMOTORS","07-Mar-2012","29-Mar-2012","265.25","270.85","263.05","269.55","268.7","269.55","10872","58205.17","34176000","-1034000","        267.95"
"TATAMOTORS","07-Mar-2012","26-Apr-2012","267.2","272.25","264.9","271.05","269.7","271.05","240","1291.71","630000","-76000","        267.95"
"TATAMOTORS","07-Mar-2012","31-May-2012","266.8","273.6","266.5","273.35","272.75","273.35","16","86.51","122000","6000","        267.95"
"TATAMOTORS","09-Mar-2012","29-Mar-2012","273.35","281.8","272.9","280.45","281","280.45","12011","66918.34","35394000","1218000","        280.65"
"TATAMOTORS","09-Mar-2012","26-Apr-2012","276.1","283","276","281.65","282.15","281.65","235","1315.64","712000","82000","        280.65"
"TATAMOTORS","09-Mar-2012","31-May-2012","278.5","284.15","278.25","283.5","282.5","283.5","12","67.53","124000","2000","        280.65"
"TATAMOTORS","12-Mar-2012","29-Mar-2012","283.2","285.35","277.3","284.15","285.3","284.15","10957","61686.84","36192000","798000","        284.20"
"TATAMOTORS","12-Mar-2012","26-Apr-2012","284","286.5","279","285.3","286.5","285.3","239","1349.97","852000","140000","        284.20"
"TATAMOTORS","12-Mar-2012","31-May-2012","283.65","287","281.25","286.5","286.5","286.5","7","39.78","128000","4000","        284.20"
"TATAMOTORS","13-Mar-2012","29-Mar-2012","286","287.2","283.1","284.5","284.15","284.5","7824","44587.39","35792000","-400000","        283.00"
"TATAMOTORS","13-Mar-2012","26-Apr-2012","287","288.3","284.55","286","285.45","286","146","835.58","898000","46000","        283.00"
"TATAMOTORS","13-Mar-2012","31-May-2012","289.55","289.55","286.2","288","288","289.8","6","34.54","136000","8000","        283.00"
"TATAMOTORS","14-Mar-2012","29-Mar-2012","287","292","286.6","290.35","290.45","290.35","13006","75315.22","37412000","1620000","        290.00"
"TATAMOTORS","14-Mar-2012","26-Apr-2012","289.1","293.4","288.3","292","291.6","292","454","2645.27","1066000","168000","        290.00"
"TATAMOTORS","14-Mar-2012","31-May-2012","292","293.7","290.05","293.6","293.6","297.05","18","105.08","146000","10000","        290.00"
"TATAMOTORS","15-Mar-2012","29-Mar-2012","289.5","293.75","285.05","290.4","289.5","290.4","14576","84365.64","37354000","-58000","        290.45"
"TATAMOTORS","15-Mar-2012","26-Apr-2012","289.6","295.35","287","292","291.5","292","851","4952.31","1646000","580000","        290.45"
"TATAMOTORS","15-Mar-2012","31-May-2012","290.45","295.15","289.05","293.2","293.2","293.2","24","139.69","158000","12000","        290.45"
"TATAMOTORS","16-Mar-2012","29-Mar-2012","289.15","298.2","283.1","287.95","288","287.95","25138","145578.35","37990000","636000","        286.70"
"TATAMOTORS","16-Mar-2012","26-Apr-2012","290","299.7","285.1","289.55","289.6","289.55","708","4120.1","1674000","28000","        286.70"
"TATAMOTORS","16-Mar-2012","31-May-2012","290.25","300.45","289.55","299.75","299.75","293.55","10","58.67","158000","0","        286.70"
"TATAMOTORS","19-Mar-2012","29-Mar-2012","287.1","292.4","282.1","283.75","283.15","283.75","10857","62315.89","36946000","-1044000","        283.45"
"TATAMOTORS","19-Mar-2012","26-Apr-2012","290","294","283.85","285.55","285.25","285.55","835","4803.62","2330000","656000","        283.45"
"TATAMOTORS","19-Mar-2012","31-May-2012","292","293.6","283.95","283.95","283.95","289.95","10","57.75","174000","16000","        283.45"
"TATAMOTORS","20-Mar-2012","29-Mar-2012","284.5","286.4","271.1","272.9","273.15","272.9","19168","106243.78","33926000","-3020000","        271.40"
"TATAMOTORS","20-Mar-2012","26-Apr-2012","284.6","288","273.2","274.75","275.15","274.75","1258","7024.8","3452000","1122000","        271.40"
"TATAMOTORS","20-Mar-2012","31-May-2012","287.9","289.25","276.85","277","277","277","13","73.6","180000","6000","        271.40"
"TATAMOTORS","21-Mar-2012","29-Mar-2012","273.15","279.1","265.7","277.75","276.6","277.75","22106","120371.88","34454000","528000","        276.10"
"TATAMOTORS","21-Mar-2012","26-Apr-2012","274","280.8","267.5","279.45","278.4","279.45","2073","11302.29","4200000","748000","        276.10"
"TATAMOTORS","21-Mar-2012","31-May-2012","278.4","279.35","269.1","279.35","279.35","279.35","17","92.8","188000","8000","        276.10"
