"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TATAMOTORS","01-Sep-2006","28-Sep-2006","850","872.85","846.5","868.25","872.3","868.25","8391","59695.67","3787575","551100","        862.85"
"TATAMOTORS","01-Sep-2006","26-Oct-2006","855","860.35","855","860.35","860.35","872.3","2","7.07","824","824","        862.85"
"TATAMOTORS","01-Sep-2006","30-Nov-2006","0","0","0","861.2","0","878.35","0","0","0","0","        862.85"
"TATAMOTORS","04-Sep-2006","28-Sep-2006","876","897.4","874","895.65","895.5","895.65","8369","61193.5","3604425","-183150","        897.20"
"TATAMOTORS","04-Sep-2006","26-Oct-2006","888","912.75","888","903.25","897","903.25","7","25.87","2472","1648","        897.20"
"TATAMOTORS","04-Sep-2006","30-Nov-2006","0","0","0","861.2","0","912.75","0","0","0","0","        897.20"
"TATAMOTORS","05-Sep-2006","28-Sep-2006","897.4","899.5","885.05","891.65","892","891.65","5626","41323.17","3813150","208725","        886.60"
"TATAMOTORS","05-Sep-2006","26-Oct-2006","886","899.95","886","899.95","899.95","895.6","15","55.14","3296","824","        886.60"
"TATAMOTORS","05-Sep-2006","30-Nov-2006","0","0","0","861.2","0","901.85","0","0","0","0","        886.60"
"TATAMOTORS","06-Sep-2006","28-Sep-2006","895","899.2","887","889.3","890.45","889.3","5439","40061.95","3942675","129525","        885.85"
"TATAMOTORS","06-Sep-2006","26-Oct-2006","891.9","899.75","890","890.5","890","890.5","11","40.54","4120","824","        885.85"
"TATAMOTORS","06-Sep-2006","30-Nov-2006","0","0","0","861.2","0","900.85","0","0","0","0","        885.85"
"TATAMOTORS","07-Sep-2006","28-Sep-2006","884","904.8","883","902.9","903.3","902.9","10977","81143.95","4188525","245850","        897.65"
"TATAMOTORS","07-Sep-2006","26-Oct-2006","891","908.8","891","906.65","906","906.65","38","141.62","14420","10300","        897.65"
"TATAMOTORS","07-Sep-2006","30-Nov-2006","0","0","0","861.2","0","912.75","0","0","0","0","        897.65"
"TATAMOTORS","08-Sep-2006","28-Sep-2006","903.3","910.45","897.4","904.5","901","904.5","9925","74188.21","4630725","442200","        899.50"
"TATAMOTORS","08-Sep-2006","26-Oct-2006","911","911.25","900.05","905.35","904","905.35","13","48.55","14832","412","        899.50"
"TATAMOTORS","08-Sep-2006","30-Nov-2006","0","0","0","861.2","0","914.4","0","0","0","0","        899.50"
"TATAMOTORS","11-Sep-2006","28-Sep-2006","903","905","838.2","851.8","843.8","851.8","9571","69259.3","4506150","-124575","        847.50"
"TATAMOTORS","11-Sep-2006","26-Oct-2006","900.15","900.15","807.7","851.5","807.7","851.5","34","122.52","21836","7004","        847.50"
"TATAMOTORS","11-Sep-2006","30-Nov-2006","0","0","0","861.2","0","861.05","0","0","0","0","        847.50"
