"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TISCO","01-Jul-2002","25-Jul-2002","142.7","146","142.2","145.3","145.05","145.3","2833","7367.41","5862600","113400","        144.40"
"TISCO","01-Jul-2002","29-Aug-2002","143.75","147","143.75","146.4","146.1","146.4","74","193.9","136800","50400","        144.40"
"TISCO","01-Jul-2002","26-Sep-2002","0","0","0","140.55","0","148.15","0","0","0","0","        144.40"
"TISCO","02-Jul-2002","25-Jul-2002","145","145.95","142.5","143","143.6","143","1711","4423.78","5954400","91800","        142.35"
"TISCO","02-Jul-2002","29-Aug-2002","145.15","146","143.65","144.2","144.75","144.2","66","172.06","163800","27000","        142.35"
"TISCO","02-Jul-2002","26-Sep-2002","0","0","0","140.55","0","146","0","0","0","0","        142.35"
"TISCO","03-Jul-2002","25-Jul-2002","142.5","144","141.05","141.85","141.7","141.85","1482","3802.55","6451200","496800","        141.15"
"TISCO","03-Jul-2002","29-Aug-2002","145","145","142.4","143.05","142.9","143.05","64","165.51","212400","48600","        141.15"
"TISCO","03-Jul-2002","26-Sep-2002","0","0","0","140.55","0","144.75","0","0","0","0","        141.15"
"TISCO","04-Jul-2002","25-Jul-2002","142.5","146.25","140.25","145.4","146.1","145.4","2986","7743.64","6949800","498600","        144.65"
"TISCO","04-Jul-2002","29-Aug-2002","142.95","147","141.6","146.35","147","146.35","77","200.77","228600","16200","        144.65"
"TISCO","04-Jul-2002","26-Sep-2002","0","0","0","140.55","0","148.25","0","0","0","0","        144.65"
"TISCO","05-Jul-2002","25-Jul-2002","146.1","147.5","144.15","145.15","145.3","145.15","2047","5373.86","6669000","-280800","        144.45"
"TISCO","05-Jul-2002","29-Aug-2002","147.5","148.25","145.5","146.4","146.7","146.4","84","222.19","280800","52200","        144.45"
"TISCO","05-Jul-2002","26-Sep-2002","0","0","0","140.55","0","147.95","0","0","0","0","        144.45"
"TISCO","08-Jul-2002","25-Jul-2002","145.5","147.5","143.65","144.15","144.3","144.15","1462","3826.24","6597000","-72000","        143.40"
"TISCO","08-Jul-2002","29-Aug-2002","147.3","149","145","145.2","145.4","145.2","131","345.85","378000","97200","        143.40"
"TISCO","08-Jul-2002","26-Sep-2002","0","0","0","140.55","0","146.7","0","0","0","0","        143.40"
"TISCO","09-Jul-2002","25-Jul-2002","144.25","146","142.75","143.65","143.55","143.65","1844","4792.34","6642000","45000","        142.80"
"TISCO","09-Jul-2002","29-Aug-2002","145.05","147","144","145","145.25","145","107","279.81","412200","34200","        142.80"
"TISCO","09-Jul-2002","26-Sep-2002","0","0","0","140.55","0","146.05","0","0","0","0","        142.80"
"TISCO","10-Jul-2002","25-Jul-2002","143.75","144.2","141.95","142.6","142.5","142.6","963","2472.74","6600600","-41400","        141.80"
"TISCO","10-Jul-2002","29-Aug-2002","144.5","145","143.2","143.8","143.5","143.8","46","119.13","444600","32400","        141.80"
"TISCO","10-Jul-2002","26-Sep-2002","0","0","0","140.55","0","144.9","0","0","0","0","        141.80"
"TISCO","11-Jul-2002","25-Jul-2002","141.8","144.75","141.35","142.5","142.05","142.5","1877","4847.5","6827400","226800","        141.60"
"TISCO","11-Jul-2002","29-Aug-2002","143.05","146","143.05","144.05","143.5","144.05","74","192.69","487800","43200","        141.60"
"TISCO","11-Jul-2002","26-Sep-2002","0","0","0","140.55","0","144.65","0","0","0","0","        141.60"
"TISCO","12-Jul-2002","25-Jul-2002","143.3","145.8","142.6","144.3","144.65","144.3","2392","6231.52","6658200","-169200","        143.50"
"TISCO","12-Jul-2002","29-Aug-2002","145","146.9","144.8","145.6","145.9","145.6","180","473.7","653400","165600","        143.50"
"TISCO","12-Jul-2002","26-Sep-2002","0","0","0","140.55","0","146.55","0","0","0","0","        143.50"
"TISCO","15-Jul-2002","25-Jul-2002","144","144","137.3","138","137.5","138","2376","5969.54","6255000","-403200","        137.30"
"TISCO","15-Jul-2002","29-Aug-2002","145","145","138.25","139.25","138.75","139.25","284","719.85","847800","194400","        137.30"
"TISCO","15-Jul-2002","26-Sep-2002","0","0","0","140.55","0","140.15","0","0","0","0","        137.30"
"TISCO","16-Jul-2002","25-Jul-2002","138","138.9","135.8","136.2","136.15","136.2","1437","3550.07","6102000","-153000","        135.75"
"TISCO","16-Jul-2002","29-Aug-2002","137.5","140.2","137.25","137.5","137.4","137.5","174","433.83","914400","66600","        135.75"
"TISCO","16-Jul-2002","26-Sep-2002","0","0","0","140.55","0","138.5","0","0","0","0","        135.75"
"TISCO","17-Jul-2002","25-Jul-2002","136","139.3","135.8","138.7","139.3","138.7","1404","3469.81","5859000","-243000","        138.05"
"TISCO","17-Jul-2002","29-Aug-2002","137.4","140.7","137","140.05","140.5","140.05","202","504.18","1009800","95400","        138.05"
"TISCO","17-Jul-2002","26-Sep-2002","0","0","0","140.55","0","140.8","0","0","0","0","        138.05"
"TISCO","18-Jul-2002","25-Jul-2002","139.5","139.8","136.25","137.4","137.65","137.4","1240","3078.5","5733000","-126000","        136.95"
"TISCO","18-Jul-2002","29-Aug-2002","140.6","140.95","137.6","138.45","138.5","138.45","219","548.77","1153800","144000","        136.95"
"TISCO","18-Jul-2002","26-Sep-2002","0","0","0","140.55","0","139.6","0","0","0","0","        136.95"
"TISCO","19-Jul-2002","25-Jul-2002","137.4","137.5","136.05","136.65","136.3","136.65","767","1887.82","5459400","-273600","        136.25"
"TISCO","19-Jul-2002","29-Aug-2002","138","138.9","137.45","138","138.15","138","277","688.06","1492200","338400","        136.25"
"TISCO","19-Jul-2002","26-Sep-2002","0","0","0","140.55","0","138.85","0","0","0","0","        136.25"
"TISCO","22-Jul-2002","25-Jul-2002","135.3","135.3","132.4","134.15","134.5","134.15","1385","3331.38","4748400","-711000","        134.00"
"TISCO","22-Jul-2002","29-Aug-2002","135","136.1","133.7","135.5","135.75","135.5","627","1520.7","1909800","417600","        134.00"
"TISCO","22-Jul-2002","26-Sep-2002","0","0","0","140.55","0","136.45","0","0","0","0","        134.00"
"TISCO","23-Jul-2002","25-Jul-2002","132.75","136.25","129.7","130.7","130.35","130.7","2520","6012.61","3819600","-928800","        130.45"
"TISCO","23-Jul-2002","29-Aug-2002","134.5","137.5","131","132.1","131.6","132.1","1374","3314.9","2768400","858600","        130.45"
"TISCO","23-Jul-2002","26-Sep-2002","135","135","135","135","135","132.75","1","2.43","1800","1800","        130.45"
"TISCO","24-Jul-2002","25-Jul-2002","130","134","130","131.7","131.6","131.7","1529","3637.25","2572200","-1247400","        131.60"
"TISCO","24-Jul-2002","29-Aug-2002","132.5","135","132","132.9","132.75","132.9","1175","2819.22","3490200","721800","        131.60"
"TISCO","24-Jul-2002","26-Sep-2002","133","133","133","133","133","133.9","1","2.39","3600","1800","        131.60"
"TISCO","25-Jul-2002","25-Jul-2002","133.7","135.1","131.55","132.2","131.9","131.95","1392","3347.34","1121400","-1450800","        131.95"
"TISCO","25-Jul-2002","29-Aug-2002","135","136","132.5","133.25","132.75","133.25","1916","4643.9","5248800","1758600","        131.95"
