"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TCS","01-Jul-2015","30-Jul-2015","2570.35","2604.95","2561.3","2597.8","2601","2597.8","7658","24739.48","2500250","37500","       2593.10"
"TCS","01-Jul-2015","27-Aug-2015","2584.75","2615","2578","2611.7","2615","2611.7","69","224.2","15000","1750","       2593.10"
"TCS","01-Jul-2015","24-Sep-2015","2610","2615.55","2605","2615.55","2615.55","2615.55","6","19.56","875","375","       2593.10"
"TCS","02-Jul-2015","30-Jul-2015","2608","2608","2576.4","2586.4","2590.85","2586.4","8802","28475.82","2509250","9000","       2577.75"
"TCS","02-Jul-2015","27-Aug-2015","2610","2612.1","2590","2597.65","2597.95","2597.65","96","311.54","22125","7125","       2577.75"
"TCS","02-Jul-2015","24-Sep-2015","0","0","0","2615.55","2615.55","2626.1","0","0","875","0","       2577.75"
"TCS","03-Jul-2015","30-Jul-2015","2580.1","2614.9","2572.75","2611.1","2611.5","2611.1","6700","21779.72","2584000","74750","       2603.90"
"TCS","03-Jul-2015","27-Aug-2015","2587.55","2625","2587.55","2622.65","2624","2622.65","91","297.14","25875","3750","       2603.90"
"TCS","03-Jul-2015","24-Sep-2015","0","0","0","2615.55","2615.55","2652.1","0","0","875","0","       2603.90"
"TCS","06-Jul-2015","30-Jul-2015","2596","2651.55","2585.95","2640.2","2638.85","2640.2","12252","40114.98","2721500","137500","       2633.30"
"TCS","06-Jul-2015","27-Aug-2015","2607","2661.3","2601.3","2652.3","2646.55","2652.3","123","404.29","25500","-375","       2633.30"
"TCS","06-Jul-2015","24-Sep-2015","2666","2670.8","2666","2670.8","2670.8","2679.85","2","6.67","875","0","       2633.30"
"TCS","07-Jul-2015","30-Jul-2015","2639.5","2651.85","2609.5","2624.55","2628","2624.55","9763","32132.63","2781875","60375","       2616.25"
"TCS","07-Jul-2015","27-Aug-2015","2653.15","2661.6","2626.05","2638.75","2639.3","2638.75","49","161.81","25500","0","       2616.25"
