"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TCS","03-Nov-2008","27-Nov-2008","563","575","528","549.4","554","549.4","5376","7368.19","2141500","-14000","        547.40"
"TCS","03-Nov-2008","25-Dec-2008","586.95","586.95","530.1","547.15","547","547.15","27","37.06","2500","750","        547.40"
"TCS","03-Nov-2008","29-Jan-2009","0","0","0","557.35","0","563.15","0","0","0","0","        547.40"
"TCS","04-Nov-2008","27-Nov-2008","548","554.7","492.3","512.35","508","512.35","10633","13680.99","2715250","573750","        508.50"
"TCS","04-Nov-2008","25-Dec-2008","550","550","497.1","513.6","510.3","513.6","40","51.76","5000","2500","        508.50"
"TCS","04-Nov-2008","29-Jan-2009","516.1","516.1","516","516","516","522.95","2","2.58","250","250","        508.50"
"TCS","05-Nov-2008","27-Nov-2008","515","549.35","500","506.85","503.55","506.85","7651","10101.77","2641250","-74000","        506.40"
"TCS","05-Nov-2008","25-Dec-2008","512.4","549.7","503","511.85","503","511.85","70","91.97","14250","9250","        506.40"
"TCS","05-Nov-2008","29-Jan-2009","0","0","0","516","516","520.7","0","0","250","0","        506.40"
"TCS","06-Nov-2008","27-Nov-2008","492","522","489.85","500.05","498","500.05","7959","10066.92","2494500","-146750","        500.20"
"TCS","06-Nov-2008","25-Dec-2008","498.75","520.4","492","500.25","498","500.25","103","130.59","19750","5500","        500.20"
"TCS","06-Nov-2008","29-Jan-2009","0","0","0","516","516","513.85","0","0","250","0","        500.20"
"TCS","07-Nov-2008","27-Nov-2008","492","536.65","488","527.25","531.65","527.25","5951","7657.7","2562250","67750","        525.15"
"TCS","07-Nov-2008","25-Dec-2008","498","536","498","529.25","532.1","529.25","55","71.08","21000","1250","        525.15"
"TCS","07-Nov-2008","29-Jan-2009","0","0","0","516","516","539","0","0","250","0","        525.15"
"TCS","10-Nov-2008","27-Nov-2008","534","555","515.2","548.6","550.3","548.6","4810","6417.37","2684250","122000","        546.45"
"TCS","10-Nov-2008","25-Dec-2008","537.7","552","520.6","548.65","552","548.65","34","45.76","23000","2000","        546.45"
"TCS","10-Nov-2008","29-Jan-2009","0","0","0","516","516","560.4","0","0","250","0","        546.45"
"TCS","11-Nov-2008","27-Nov-2008","540.1","548.65","518","525.45","522.2","525.45","6036","8052.28","2673750","-10500","        528.85"
"TCS","11-Nov-2008","25-Dec-2008","545.05","545.05","521","526.4","522","526.4","39","52.11","25250","2250","        528.85"
"TCS","11-Nov-2008","29-Jan-2009","0","0","0","516","516","542.1","0","0","250","0","        528.85"
"TCS","12-Nov-2008","27-Nov-2008","518.05","556","518.05","532.5","530","532.5","7231","9716.79","2805000","131250","        534.90"
"TCS","12-Nov-2008","25-Dec-2008","533","554.75","527.1","530.65","527.1","530.65","57","77.18","26250","1000","        534.90"
"TCS","12-Nov-2008","29-Jan-2009","0","0","0","516","516","548.25","0","0","250","0","        534.90"
"TCS","14-Nov-2008","27-Nov-2008","536.1","549.45","521.65","530.5","534.9","530.5","6541","8687.83","2902250","97250","        530.85"
"TCS","14-Nov-2008","25-Dec-2008","527.65","542.65","523.7","530.7","534","530.7","49","65.01","29250","3000","        530.85"
"TCS","14-Nov-2008","29-Jan-2009","0","0","0","516","516","543.8","0","0","250","0","        530.85"
"TCS","17-Nov-2008","27-Nov-2008","532.8","540","506","521.65","519.75","521.65","6547","8508.55","3029250","127000","        519.00"
"TCS","17-Nov-2008","25-Dec-2008","530","530","508","520.95","519","520.95","103","133.61","33750","4500","        519.00"
"TCS","17-Nov-2008","29-Jan-2009","0","0","0","516","516","531","0","0","250","0","        519.00"
"TCS","18-Nov-2008","27-Nov-2008","514","516.05","480.1","482.25","482","482.25","7434","9194.81","2778250","-251000","        483.15"
"TCS","18-Nov-2008","25-Dec-2008","505.05","512","481","482.8","481.3","482.8","350","425.44","103250","69500","        483.15"
"TCS","18-Nov-2008","29-Jan-2009","498","498","498","498","498","494.45","1","1.25","250","0","        483.15"
"TCS","19-Nov-2008","27-Nov-2008","486","495.5","473.1","482.2","481.3","482.2","6525","7892.73","2889750","111500","        482.65"
"TCS","19-Nov-2008","25-Dec-2008","483.85","494.3","474","482.4","481.4","482.4","128","154.9","115000","11750","        482.65"
"TCS","19-Nov-2008","29-Jan-2009","0","0","0","498","498","493.7","0","0","250","0","        482.65"
"TCS","20-Nov-2008","27-Nov-2008","470.2","483.85","458.65","470.75","475","470.75","4254","4954.56","2746000","-143750","        469.25"
"TCS","20-Nov-2008","25-Dec-2008","462.15","483.45","460","471.85","483.45","471.85","161","187.7","117250","2250","        469.25"
"TCS","20-Nov-2008","29-Jan-2009","0","0","0","498","498","479.7","0","0","250","0","        469.25"
"TCS","21-Nov-2008","27-Nov-2008","484","518.7","468","507.7","506.4","507.7","9466","11791.58","2636250","-109750","        506.45"
"TCS","21-Nov-2008","25-Dec-2008","482","519","477.85","509.95","508.75","509.95","2615","3255.35","636750","519500","        506.45"
"TCS","21-Nov-2008","29-Jan-2009","498","498","498","498","498","517.45","1","1.25","500","250","        506.45"
"TCS","24-Nov-2008","27-Nov-2008","500","531","496.25","521.35","520.7","521.35","8222","10681.82","2485750","-150500","        519.90"
"TCS","24-Nov-2008","25-Dec-2008","499","532.95","499","523.15","523","523.15","2415","3143.09","1012500","375750","        519.90"
"TCS","24-Nov-2008","29-Jan-2009","509.9","509.9","509.9","509.9","509.9","530.3","1","1.27","750","250","        519.90"
"TCS","25-Nov-2008","27-Nov-2008","533","544.9","500.35","503.55","503.05","503.55","6263","8099.31","2079500","-406250","        504.00"
"TCS","25-Nov-2008","25-Dec-2008","536","544","503","505.75","505","505.75","4010","5217.75","1373000","360500","        504.00"
"TCS","25-Nov-2008","29-Jan-2009","0","0","0","509.9","509.9","513.6","0","0","750","0","        504.00"
"TCS","26-Nov-2008","27-Nov-2008","507.5","532.45","496.2","529.5","527","529.5","6113","7838.28","1767000","-312500","        527.45"
"TCS","26-Nov-2008","25-Dec-2008","511","534.65","499.1","530.2","527","530.2","5253","6744.48","1998750","625750","        527.45"
"TCS","26-Nov-2008","29-Jan-2009","510","524","504","523","523","537.2","10","12.79","2750","2000","        527.45"
"TCS","28-Nov-2008","27-Nov-2008","520.15","563.8","520.15","558.8","559.25","559.4","6893","9481.79","1217000","-550000","        559.40"
"TCS","28-Nov-2008","25-Dec-2008","525","565","525","557.9","561","557.9","7820","10764.68","2947250","948500","        559.40"
"TCS","28-Nov-2008","29-Jan-2009","549","558.3","549","558.3","558.3","569.55","4","5.52","3500","750","        559.40"
"TCS","01-Dec-2008","25-Dec-2008","567.8","592.2","558.35","562.6","563","562.6","8283","11916.82","3256000","308750","        564.15"
"TCS","01-Dec-2008","29-Jan-2009","575","590.3","560","563.35","561.9","563.35","28","40.29","6000","2500","        564.15"
"TCS","01-Dec-2008","26-Feb-2009","0","0","0","573.85","0","578.3","0","0","0","0","        564.15"
"TCS","02-Dec-2008","25-Dec-2008","545.1","548","523.65","533.6","536.9","533.6","7966","10709.97","3121000","-135000","        532.85"
"TCS","02-Dec-2008","29-Jan-2009","545","546.8","525","534.05","535","534.05","47","63.06","11750","5750","        532.85"
"TCS","02-Dec-2008","26-Feb-2009","502.6","502.6","502.6","502.6","502.6","546.15","1","1.26","0","0","        532.85"
"TCS","03-Dec-2008","25-Dec-2008","537.25","549.7","521.05","531.15","523.5","531.15","9140","12154.66","3203500","82500","        534.80"
"TCS","03-Dec-2008","29-Jan-2009","528.45","547.25","522","532.35","525","532.35","54","71.95","17250","5500","        534.80"
"TCS","03-Dec-2008","26-Feb-2009","0","0","0","502.6","502.6","547.9","0","0","0","0","        534.80"
"TCS","04-Dec-2008","25-Dec-2008","529","554.45","527","551.3","552.8","551.3","5754","7832.17","3505500","302000","        549.40"
"TCS","04-Dec-2008","29-Jan-2009","535.95","552","533.3","552","552","552","38","51.45","21750","4500","        549.40"
"TCS","04-Dec-2008","26-Feb-2009","0","0","0","502.6","502.6","562.2","0","0","0","0","        549.40"
"TCS","05-Dec-2008","25-Dec-2008","550","552","520.1","523.25","522.5","523.25","6040","7998.79","3386500","-119000","        521.80"
"TCS","05-Dec-2008","29-Jan-2009","531.7","531.7","520.15","524.9","524","524.9","28","36.78","25250","3500","        521.80"
"TCS","05-Dec-2008","26-Feb-2009","0","0","0","502.6","502.6","533.7","0","0","0","0","        521.80"
"TCS","08-Dec-2008","25-Dec-2008","535","549.7","515.25","524","529.5","524","8176","10976.75","3567750","181250","        522.25"
"TCS","08-Dec-2008","29-Jan-2009","546","546","517.6","522.3","528","522.3","72","95.56","34750","9500","        522.25"
"TCS","08-Dec-2008","26-Feb-2009","0","0","0","502.6","502.6","533.55","0","0","0","0","        522.25"
"TCS","10-Dec-2008","25-Dec-2008","532","559","532","544.1","540","544.1","6368","8666.87","3633500","65750","        541.05"
"TCS","10-Dec-2008","29-Jan-2009","533","555","532","541.45","538.1","541.45","88","119.31","41500","6750","        541.05"
"TCS","10-Dec-2008","26-Feb-2009","0","0","0","502.6","502.6","551.95","0","0","0","0","        541.05"
"TCS","11-Dec-2008","25-Dec-2008","540.35","544","505","510.85","510.05","510.85","6882","8937.03","3682750","49250","        507.65"
"TCS","11-Dec-2008","29-Jan-2009","537.4","537.4","504.05","512","509.5","512","91","118.33","45750","4250","        507.65"
"TCS","11-Dec-2008","26-Feb-2009","0","0","0","502.6","502.6","517.7","0","0","0","0","        507.65"
