"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TECHM","02-Jan-2012","25-Jan-2012","575.95","575.95","567.45","570.35","573","570.35","156","445.22","340000","-6000","        571.90"
"TECHM","02-Jan-2012","23-Feb-2012","0","0","0","570","570.5","579.95","0","0","2500","0","        571.90"
"TECHM","02-Jan-2012","29-Mar-2012","0","0","0","594.75","0","585.4","0","0","0","0","        571.90"
"TECHM","03-Jan-2012","25-Jan-2012","576.5","609","576.5","602.7","601.5","602.7","702","2096.83","387000","47000","        599.95"
"TECHM","03-Jan-2012","23-Feb-2012","0","0","0","570","570.5","608.2","0","0","2500","0","        599.95"
"TECHM","03-Jan-2012","29-Mar-2012","0","0","0","594.75","0","613.9","0","0","0","0","        599.95"
"TECHM","04-Jan-2012","25-Jan-2012","600.05","612.9","593.75","604.45","604.5","604.45","688","2082.41","382000","-5000","        604.40"
"TECHM","04-Jan-2012","23-Feb-2012","0","0","0","570","570.5","612.65","0","0","2500","0","        604.40"
"TECHM","04-Jan-2012","29-Mar-2012","0","0","0","594.75","0","618.45","0","0","0","0","        604.40"
"TECHM","05-Jan-2012","25-Jan-2012","601","611","593.75","595.75","595.5","595.75","546","1642.19","373500","-8500","        595.35"
"TECHM","05-Jan-2012","23-Feb-2012","0","0","0","570","570.5","603.25","0","0","2500","0","        595.35"
"TECHM","05-Jan-2012","29-Mar-2012","0","0","0","594.75","0","608.95","0","0","0","0","        595.35"
"TECHM","06-Jan-2012","25-Jan-2012","595.8","604.85","593.1","601.2","601.1","601.2","512","1537.36","387500","14000","        598.95"
"TECHM","06-Jan-2012","23-Feb-2012","0","0","0","570","570.5","606.75","0","0","2500","0","        598.95"
"TECHM","06-Jan-2012","29-Mar-2012","0","0","0","594.75","0","612.45","0","0","0","0","        598.95"
"TECHM","07-Jan-2012","25-Jan-2012","602","602.8","600","600.35","600","600.35","13","39.08","388000","500","        599.50"
"TECHM","07-Jan-2012","23-Feb-2012","0","0","0","570","570.5","607.15","0","0","2500","0","        599.50"
"TECHM","07-Jan-2012","29-Mar-2012","0","0","0","594.75","0","612.85","0","0","0","0","        599.50"
"TECHM","09-Jan-2012","25-Jan-2012","598.2","611.5","598.2","605.7","607.9","605.7","476","1442.18","393000","5000","        603.95"
"TECHM","09-Jan-2012","23-Feb-2012","0","0","0","570","570.5","611.35","0","0","2500","0","        603.95"
"TECHM","09-Jan-2012","29-Mar-2012","0","0","0","594.75","0","617.15","0","0","0","0","        603.95"
"TECHM","10-Jan-2012","25-Jan-2012","613.9","617.9","607","615.75","617.25","615.75","442","1355.63","399500","6500","        612.30"
"TECHM","10-Jan-2012","23-Feb-2012","612","614","612","614","614","614","3","9.19","3500","1000","        612.30"
