"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TECHM","01-Mar-2018","28-Mar-2018","616.3","617.35","608.05","614.3","613.5","614.3","2024","14895.68","11070000","-42000","        611.90"
"TECHM","01-Mar-2018","26-Apr-2018","609.55","617.4","609.55","617","617","617","8","59","88800","1200","        611.90"
"TECHM","01-Mar-2018","31-May-2018","0","0","0","614.45","0","623.05","0","0","0","0","        611.90"
"TECHM","05-Mar-2018","28-Mar-2018","610","634.4","608","630.85","633.5","630.85","6904","51649.13","11499600","429600","        630.85"
"TECHM","05-Mar-2018","26-Apr-2018","613.5","635","613.5","632.95","634.95","632.95","44","330.52","108000","19200","        630.85"
"TECHM","05-Mar-2018","31-May-2018","0","0","0","614.45","0","641.85","0","0","0","0","        630.85"
"TECHM","06-Mar-2018","28-Mar-2018","633.45","633.95","615","617.35","616.15","617.35","3509","26310.9","11318400","-181200","        617.25"
"TECHM","06-Mar-2018","26-Apr-2018","635.1","635.5","619.65","620.4","619.65","620.4","54","405.98","105600","-2400","        617.25"
"TECHM","06-Mar-2018","31-May-2018","0","0","0","614.45","0","627.9","0","0","0","0","        617.25"
"TECHM","07-Mar-2018","28-Mar-2018","616.2","626.85","608.3","609.95","611.4","609.95","3297","24427.53","11036400","-282000","        609.05"
"TECHM","07-Mar-2018","26-Apr-2018","626.25","627.95","610.3","611.95","613.15","611.95","43","318.47","99600","-6000","        609.05"
"TECHM","07-Mar-2018","31-May-2018","0","0","0","614.45","0","619.45","0","0","0","0","        609.05"
"TECHM","08-Mar-2018","28-Mar-2018","615.2","617.55","605","608.9","606.1","608.9","3087","22665.29","10920000","-116400","        607.20"
"TECHM","08-Mar-2018","26-Apr-2018","614.85","618.15","608.25","611.1","608.25","611.1","49","360.68","99600","0","        607.20"
"TECHM","08-Mar-2018","31-May-2018","0","0","0","614.45","0","617.5","0","0","0","0","        607.20"
"TECHM","09-Mar-2018","28-Mar-2018","610.5","622.95","606.7","619.85","621.1","619.85","3304","24457.22","10926000","6000","        619.20"
"TECHM","09-Mar-2018","26-Apr-2018","610","624.95","610","621.85","623","621.85","50","371.87","104400","4800","        619.20"
"TECHM","09-Mar-2018","31-May-2018","0","0","0","614.45","0","629.55","0","0","0","0","        619.20"
"TECHM","12-Mar-2018","28-Mar-2018","624.3","636.3","619.25","622.1","622","622.1","5680","42799.8","10983600","57600","        619.55"
"TECHM","12-Mar-2018","26-Apr-2018","630.25","638","624","624.7","624.2","624.7","64","484.92","117600","13200","        619.55"
"TECHM","12-Mar-2018","31-May-2018","0","0","0","614.45","0","629.55","0","0","0","0","        619.55"
