"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TECHM","02-May-2017","25-May-2017","424.75","426.45","418.65","420.8","420.7","420.8","1806","8378.07","11995500","8800","        418.15"
"TECHM","02-May-2017","29-Jun-2017","424.95","425","422","422.05","422.05","422.55","27","125.65","83600","11000","        418.15"
"TECHM","02-May-2017","27-Jul-2017","423","423","419","419","419","424.65","2","9.26","3300","2200","        418.15"
"TECHM","03-May-2017","25-May-2017","420.5","423.7","420.4","422.4","422.2","422.4","2475","11495.93","12295800","300300","        419.85"
"TECHM","03-May-2017","29-Jun-2017","423.45","424.6","423.3","424.35","424.1","424.35","22","102.61","88000","4400","        419.85"
"TECHM","03-May-2017","27-Jul-2017","423.9","423.9","423.9","423.9","423.9","423.9","1","4.66","4400","1100","        419.85"
"TECHM","04-May-2017","25-May-2017","420.4","424.45","418.45","420.2","420.35","420.2","1439","6664.59","12277100","-18700","        419.10"
"TECHM","04-May-2017","29-Jun-2017","423.9","424.7","420.3","420.8","420.8","420.8","26","120.87","99000","11000","        419.10"
"TECHM","04-May-2017","27-Jul-2017","0","0","0","423.9","423.9","425.5","0","0","4400","0","        419.10"
"TECHM","05-May-2017","25-May-2017","418.8","421","412","415.4","414.7","415.4","2225","10192.91","12353000","75900","        413.00"
"TECHM","05-May-2017","29-Jun-2017","420","421.3","414.4","417.25","416.5","417.25","67","308.06","129800","30800","        413.00"
"TECHM","05-May-2017","27-Jul-2017","414","419.7","412.9","416.05","416.55","416.05","34","155.98","37400","33000","        413.00"
"TECHM","08-May-2017","25-May-2017","416.55","424.9","414","423.1","423.5","423.1","3062","14191.52","12326600","-26400","        421.15"
"TECHM","08-May-2017","29-Jun-2017","418.25","426.35","417.95","425.15","425","425.15","56","261","140800","11000","        421.15"
"TECHM","08-May-2017","27-Jul-2017","415.7","423.45","415.7","423.3","423.3","423.3","11","51.07","48400","11000","        421.15"
"TECHM","09-May-2017","25-May-2017","425.15","433.4","422.8","427.05","426.95","427.05","6291","29688.6","12317800","-8800","        426.20"
"TECHM","09-May-2017","29-Jun-2017","427","435","425.5","428.65","428","428.65","89","422.08","165000","24200","        426.20"
"TECHM","09-May-2017","27-Jul-2017","426","432.9","425","428","428","428","43","202.98","52800","4400","        426.20"
"TECHM","10-May-2017","25-May-2017","428.55","435.45","428.45","431.1","430.6","431.1","3632","17245.43","12084600","-233200","        430.40"
"TECHM","10-May-2017","29-Jun-2017","431","437","431","432.9","432.5","432.9","96","457.67","203500","38500","        430.40"
"TECHM","10-May-2017","27-Jul-2017","430.5","433.9","430.5","432.5","432.5","436.5","8","38","50600","-2200","        430.40"
"TECHM","11-May-2017","25-May-2017","435.05","436.4","426.5","435.2","435.15","435.2","3117","14837.79","11603900","-480700","        434.75"
"TECHM","11-May-2017","29-Jun-2017","436.75","437.65","430","437.3","437.1","437.3","53","253.42","214500","11000","        434.75"
"TECHM","11-May-2017","27-Jul-2017","428","433.8","428","433.8","433.8","440.85","5","23.73","50600","0","        434.75"
"TECHM","12-May-2017","25-May-2017","434.75","444.65","434.75","442.55","442","442.55","3661","17761.63","11215600","-388300","        442.25"
"TECHM","12-May-2017","29-Jun-2017","441","445.7","440","444.5","444.2","444.5","90","438.4","227700","13200","        442.25"
"TECHM","12-May-2017","27-Jul-2017","441.85","444","438.95","442.45","441.8","442.45","28","136.1","50600","0","        442.25"
"TECHM","15-May-2017","25-May-2017","444.1","446","438.2","444.65","444.8","444.65","2945","14340.96","11349800","134200","        442.60"
"TECHM","15-May-2017","29-Jun-2017","445.75","447.2","440.7","446.8","447.2","446.8","70","342.12","233200","5500","        442.60"
"TECHM","15-May-2017","27-Jul-2017","444.45","445.5","440.85","445.5","445.5","445.5","7","34.14","56100","5500","        442.60"
"TECHM","16-May-2017","25-May-2017","444.65","448.65","441.8","445.55","445.35","445.55","2378","11638.02","11569800","220000","        443.75"
"TECHM","16-May-2017","29-Jun-2017","446.05","449.8","444","446.15","446.15","447.3","57","279.97","240900","7700","        443.75"
"TECHM","16-May-2017","27-Jul-2017","444.2","446.75","444.2","446.75","446.75","446.75","14","68.58","66000","9900","        443.75"
"TECHM","17-May-2017","25-May-2017","443.25","443.8","430.55","432.45","432.15","432.45","2920","13951.48","11952600","382800","        430.85"
"TECHM","17-May-2017","29-Jun-2017","445","445","432.85","434.35","433.5","434.35","272","1304.42","394900","154000","        430.85"
"TECHM","17-May-2017","27-Jul-2017","442.55","442.55","431.25","433.05","433.4","433.05","72","343.03","126500","60500","        430.85"
"TECHM","18-May-2017","25-May-2017","428.4","443","420.85","422.85","422.35","422.85","6079","28950.44","12316700","364100","        422.30"
"TECHM","18-May-2017","29-Jun-2017","430.5","444.75","423.5","425.1","424.3","425.1","804","3842.77","743600","348700","        422.30"
"TECHM","18-May-2017","27-Jul-2017","431.35","443.5","423","423.95","423.4","423.95","79","377.17","191400","64900","        422.30"
"TECHM","19-May-2017","25-May-2017","425.25","425.3","415.5","417.65","418","417.65","2634","12152.43","12438800","122100","        416.15"
"TECHM","19-May-2017","29-Jun-2017","427","427","417.7","419.7","420.65","419.7","888","4115.12","1106600","363000","        416.15"
"TECHM","19-May-2017","27-Jul-2017","423.45","423.45","418.1","418.55","418.1","418.55","38","175.59","210100","18700","        416.15"
"TECHM","22-May-2017","25-May-2017","418.2","418.55","412.4","413.75","414.5","413.75","5846","26653.62","10793200","-1645600","        412.35"
"TECHM","22-May-2017","29-Jun-2017","420.4","420.5","414","415.4","416","415.4","3742","17126.98","3587100","2480500","        412.35"
