"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TECHM","03-Nov-2008","27-Nov-2008","354","355","329.5","337.5","339","337.5","259","174.85","153200","6800","        334.95"
"TECHM","03-Nov-2008","25-Dec-2008","0","0","0","658.45","0","340.6","0","0","0","0","        334.95"
"TECHM","03-Nov-2008","29-Jan-2009","0","0","0","319.85","0","344.6","0","0","0","0","        334.95"
"TECHM","04-Nov-2008","27-Nov-2008","338.95","339","321.25","324.8","325","324.8","358","233.7","150000","-3200","        323.45"
"TECHM","04-Nov-2008","25-Dec-2008","0","0","0","658.45","0","328.75","0","0","0","0","        323.45"
"TECHM","04-Nov-2008","29-Jan-2009","0","0","0","319.85","0","332.65","0","0","0","0","        323.45"
"TECHM","05-Nov-2008","27-Nov-2008","330","348.8","328.1","338.65","337.25","338.65","503","341.84","132600","-17400","        338.85"
"TECHM","05-Nov-2008","25-Dec-2008","0","0","0","658.45","0","344.35","0","0","0","0","        338.85"
"TECHM","05-Nov-2008","29-Jan-2009","0","0","0","319.85","0","348.4","0","0","0","0","        338.85"
"TECHM","06-Nov-2008","27-Nov-2008","328","337.5","322.25","331.3","329","331.3","120","79.48","130800","-1800","        330.65"
"TECHM","06-Nov-2008","25-Dec-2008","0","0","0","658.45","0","335.8","0","0","0","0","        330.65"
"TECHM","06-Nov-2008","29-Jan-2009","0","0","0","319.85","0","339.7","0","0","0","0","        330.65"
"TECHM","07-Nov-2008","27-Nov-2008","331.95","331.95","319","328.05","328.85","328.05","240","156.15","145400","14600","        325.40"
"TECHM","07-Nov-2008","25-Dec-2008","0","0","0","658.45","0","330.25","0","0","0","0","        325.40"
"TECHM","07-Nov-2008","29-Jan-2009","0","0","0","319.85","0","334","0","0","0","0","        325.40"
"TECHM","10-Nov-2008","27-Nov-2008","333","339.5","328.8","337.8","339.5","337.8","399","267.11","171800","26400","        334.85"
"TECHM","10-Nov-2008","25-Dec-2008","0","0","0","658.45","0","339.55","0","0","0","0","        334.85"
"TECHM","10-Nov-2008","29-Jan-2009","0","0","0","319.85","0","343.4","0","0","0","0","        334.85"
"TECHM","11-Nov-2008","27-Nov-2008","335","335.1","318","319.9","320.85","319.9","325","211.48","150600","-21200","        319.80"
"TECHM","11-Nov-2008","25-Dec-2008","0","0","0","658.45","0","324.15","0","0","0","0","        319.80"
"TECHM","11-Nov-2008","29-Jan-2009","0","0","0","319.85","0","327.8","0","0","0","0","        319.80"
"TECHM","12-Nov-2008","27-Nov-2008","315","326","313","315.15","314.9","315.15","208","132.34","146600","-4000","        313.15"
"TECHM","12-Nov-2008","25-Dec-2008","320","320","320","320","320","317.35","2","1.28","0","0","        313.15"
"TECHM","12-Nov-2008","29-Jan-2009","0","0","0","319.85","0","321","0","0","0","0","        313.15"
"TECHM","14-Nov-2008","27-Nov-2008","320","320","294.95","299.6","297.1","299.6","342","206.82","152400","5800","        298.00"
"TECHM","14-Nov-2008","25-Dec-2008","0","0","0","320","320","301.8","0","0","0","0","        298.00"
"TECHM","14-Nov-2008","29-Jan-2009","0","0","0","319.85","0","305.3","0","0","0","0","        298.00"
"TECHM","17-Nov-2008","27-Nov-2008","295","299.8","284.55","293.65","292.85","293.65","220","129.12","149400","-3000","        292.90"
"TECHM","17-Nov-2008","25-Dec-2008","272.9","285.35","271","282.45","282.45","296.3","7","3.91","1400","1400","        292.90"
"TECHM","17-Nov-2008","29-Jan-2009","0","0","0","319.85","0","299.65","0","0","0","0","        292.90"
"TECHM","18-Nov-2008","27-Nov-2008","286.15","288","278","282.15","280.45","282.15","98","55.7","152200","2800","        280.55"
"TECHM","18-Nov-2008","25-Dec-2008","280.7","283.1","280","281.5","280","281.5","6","3.38","1600","200","        280.55"
"TECHM","18-Nov-2008","29-Jan-2009","0","0","0","319.85","0","287.1","0","0","0","0","        280.55"
"TECHM","19-Nov-2008","27-Nov-2008","285","288.7","255","257.8","256.5","257.8","227","121.67","159600","7400","        255.95"
"TECHM","19-Nov-2008","25-Dec-2008","271.2","271.2","255.95","259","255.95","259","9","4.74","3000","1400","        255.95"
