"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","01-Jan-2018","25-Jan-2018","863.05","867.65","856.3","857.95","858.8","857.95","1208","15620.51","6700500","163500","        852.45"
"TITAN","01-Jan-2018","22-Feb-2018","865","867.7","860.45","861.2","860.45","861.2","11","142.61","60000","3000","        852.45"
"TITAN","01-Jan-2018","28-Mar-2018","868","874","868","874","874","865.55","2","26.13","3000","1500","        852.45"
"TITAN","02-Jan-2018","25-Jan-2018","859.4","862","845.9","850.3","851.7","850.3","2604","33299.94","6828000","127500","        845.15"
"TITAN","02-Jan-2018","22-Feb-2018","863.7","863.7","850.45","855.1","855.4","855.1","98","1258.69","85500","25500","        845.15"
"TITAN","02-Jan-2018","28-Mar-2018","0","0","0","874","874","858","0","0","3000","0","        845.15"
"TITAN","03-Jan-2018","25-Jan-2018","870.1","873.9","857.15","860.25","859.05","860.25","5624","73005.81","7204500","376500","        856.30"
"TITAN","03-Jan-2018","22-Feb-2018","865","876.3","861.25","864.15","863.5","864.15","62","808.75","96000","10500","        856.30"
"TITAN","03-Jan-2018","28-Mar-2018","0","0","0","874","874","869.2","0","0","3000","0","        856.30"
"TITAN","04-Jan-2018","25-Jan-2018","857.35","898.7","855.6","894.45","896.5","894.45","9031","119452.77","7431000","226500","        892.90"
"TITAN","04-Jan-2018","22-Feb-2018","863.5","902","861.2","899.4","901","899.4","91","1208.96","157500","61500","        892.90"
"TITAN","04-Jan-2018","28-Mar-2018","868","900","868","900","900","900","4","53.52","6000","3000","        892.90"
"TITAN","05-Jan-2018","25-Jan-2018","898.05","915","895.1","910.75","909.9","910.75","8686","118372.24","7803000","372000","        909.70"
"TITAN","05-Jan-2018","22-Feb-2018","903.85","918.45","903","914.4","913","914.4","82","1121.22","207000","49500","        909.70"
"TITAN","05-Jan-2018","28-Mar-2018","922","922","922","922","922","923.15","1","13.83","6000","0","        909.70"
"TITAN","08-Jan-2018","25-Jan-2018","912.1","935.05","908.05","930.05","930","930.05","7582","104997.35","8133000","330000","        926.10"
"TITAN","08-Jan-2018","22-Feb-2018","915.15","938","912.35","934.2","932.85","934.2","151","2098.66","259500","52500","        926.10"
"TITAN","08-Jan-2018","28-Mar-2018","922","936","922","936","936","939.35","4","55.86","7500","1500","        926.10"
"TITAN","09-Jan-2018","25-Jan-2018","927.5","942.95","921","936.9","935.7","936.9","9297","130398.36","8671500","538500","        932.95"
"TITAN","09-Jan-2018","22-Feb-2018","925.55","945.85","925.55","941.95","941","941.95","144","2029.65","313500","54000","        932.95"
"TITAN","09-Jan-2018","28-Mar-2018","935.9","949.85","935.9","949.8","949.8","949.8","74","1054.08","112500","105000","        932.95"
"TITAN","10-Jan-2018","25-Jan-2018","936","939.95","915.45","920.7","918","920.7","5290","73652.04","8457000","-214500","        917.60"
"TITAN","10-Jan-2018","22-Feb-2018","939.75","944.05","920.3","927.4","921.85","927.4","203","2842.87","465000","151500","        917.60"
"TITAN","10-Jan-2018","28-Mar-2018","939.3","943.9","939.3","943.9","943.9","930.5","3","42.34","112500","0","        917.60"
"TITAN","11-Jan-2018","25-Jan-2018","919","922.6","907.4","910.65","910","910.65","4100","56265.7","8839500","382500","        906.90"
"TITAN","11-Jan-2018","22-Feb-2018","918.7","924.2","914.35","915.65","914.35","915.65","77","1062.05","474000","9000","        906.90"
"TITAN","11-Jan-2018","28-Mar-2018","925.55","928.4","922","922","922","922","3","41.64","111000","-1500","        906.90"
"TITAN","12-Jan-2018","25-Jan-2018","911.3","921.55","896.15","907.1","905","907.1","5451","74408.39","9298500","459000","        903.80"
"TITAN","12-Jan-2018","22-Feb-2018","918.45","925.5","902","911.1","910.2","911.1","155","2121.86","516000","42000","        903.80"
"TITAN","12-Jan-2018","28-Mar-2018","927.45","927.45","923.55","923.55","923.55","916.4","2","27.77","112500","1500","        903.80"
"TITAN","15-Jan-2018","25-Jan-2018","909.85","925.5","901.7","922.25","922.5","922.25","7200","98913.06","9757500","459000","        918.25"
"TITAN","15-Jan-2018","22-Feb-2018","916","929.95","906.5","926.35","927.1","926.35","663","9147.13","891000","375000","        918.25"
"TITAN","15-Jan-2018","28-Mar-2018","936.95","937","929.1","929.1","929.1","929.1","37","519.92","165000","52500","        918.25"
"TITAN","16-Jan-2018","25-Jan-2018","924.75","927.2","885.2","892.5","896.7","892.5","7839","107083.59","9528000","-229500","        889.40"
"TITAN","16-Jan-2018","22-Feb-2018","931.85","931.85","890.6","897","901.65","897","435","5953.89","981000","90000","        889.40"
