"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","01-Jul-2008","31-Jul-2008","982","997.8","936.4","976.8","968.1","976.8","513","1023.44","150792","-13390","       1001.25"
"TITAN","01-Jul-2008","28-Aug-2008","977.1","977.1","977.1","977.1","977.1","977.1","1","2.01","206","206","       1001.25"
"TITAN","01-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1025","0","0","0","0","       1001.25"
"TITAN","02-Jul-2008","31-Jul-2008","978","1040.45","965.35","1031.35","1038","1031.35","412","849.58","152852","2060","       1044.60"
"TITAN","02-Jul-2008","28-Aug-2008","0","0","0","977.1","977.1","1060.9","0","0","206","0","       1044.60"
"TITAN","02-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1068.95","0","0","0","0","       1044.60"
"TITAN","03-Jul-2008","31-Jul-2008","1005.1","1060","991.35","1019.95","1008","1019.95","430","901.55","169538","16686","       1049.95"
"TITAN","03-Jul-2008","28-Aug-2008","0","0","0","977.1","977.1","1065.75","0","0","206","0","       1049.95"
"TITAN","03-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1073.7","0","0","0","0","       1049.95"
"TITAN","04-Jul-2008","31-Jul-2008","1010.1","1065","995.05","1015.4","1009.45","1015.4","412","870.31","174070","4532","       1024.00"
"TITAN","04-Jul-2008","28-Aug-2008","1048.7","1048.7","1022","1022","1022","1039.25","4","8.53","412","206","       1024.00"
"TITAN","04-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1047.05","0","0","0","0","       1024.00"
"TITAN","07-Jul-2008","31-Jul-2008","1032.65","1049","1023","1028.65","1028.8","1028.65","249","529.05","156354","-17716","       1051.95"
"TITAN","07-Jul-2008","28-Aug-2008","0","0","0","1022","1022","1066.75","0","0","412","0","       1051.95"
"TITAN","07-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1074.75","0","0","0","0","       1051.95"
"TITAN","08-Jul-2008","31-Jul-2008","1011.25","1038.75","991.8","1024.75","1022","1024.75","251","524.37","161298","4944","       1037.95"
"TITAN","08-Jul-2008","28-Aug-2008","0","0","0","1022","1022","1052.55","0","0","412","0","       1037.95"
"TITAN","08-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1060.7","0","0","0","0","       1037.95"
"TITAN","09-Jul-2008","31-Jul-2008","1049","1075","1041.2","1061.15","1062","1061.15","254","555.11","163770","2472","       1071.35"
"TITAN","09-Jul-2008","28-Aug-2008","0","0","0","1022","1022","1086","0","0","412","0","       1071.35"
"TITAN","09-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1094.3","0","0","0","0","       1071.35"
"TITAN","10-Jul-2008","31-Jul-2008","1051.3","1077.8","1051.3","1070.65","1065","1070.65","129","283.41","163770","0","       1080.45"
"TITAN","10-Jul-2008","28-Aug-2008","0","0","0","1022","1022","1094.95","0","0","412","0","       1080.45"
"TITAN","10-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1103.3","0","0","0","0","       1080.45"
"TITAN","11-Jul-2008","31-Jul-2008","1155","1155","1041","1047.7","1044","1047.7","126","275.64","160268","-3502","       1062.85"
"TITAN","11-Jul-2008","28-Aug-2008","1050","1060","1050","1060","1060","1076.8","2","4.35","618","206","       1062.85"
"TITAN","11-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1085.05","0","0","0","0","       1062.85"
"TITAN","14-Jul-2008","31-Jul-2008","1040","1074","1038","1063.15","1062.05","1063.15","181","396.21","158208","-2060","       1068.20"
"TITAN","14-Jul-2008","28-Aug-2008","0","0","0","1060","1060","1081.55","0","0","618","0","       1068.20"
"TITAN","14-Jul-2008","25-Sep-2008","0","0","0","1080.85","0","1089.95","0","0","0","0","       1068.20"
"TITAN","15-Jul-2008","31-Jul-2008","1053","1058.8","1030.4","1045.4","1044","1045.4","139","299.4","156148","-2060","       1054.20"
