"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","03-Mar-2008","27-Mar-2008","1051","1065","1007","1019.85","1028","1019.85","231","491.74","275628","5356","       1018.10"
"TITAN","03-Mar-2008","24-Apr-2008","0","0","0","1159.7","0","1032.35","0","0","0","0","       1018.10"
"TITAN","03-Mar-2008","29-May-2008","0","0","0","1155.65","0","1042","0","0","0","0","       1018.10"
"TITAN","04-Mar-2008","27-Mar-2008","1028","1061","987.95","1039.8","1036.6","1039.8","276","584.81","266976","-8652","       1040.15"
"TITAN","04-Mar-2008","24-Apr-2008","0","0","0","1159.7","0","1054.3","0","0","0","0","       1040.15"
"TITAN","04-Mar-2008","29-May-2008","0","0","0","1155.65","0","1064.1","0","0","0","0","       1040.15"
"TITAN","05-Mar-2008","27-Mar-2008","1040","1058.95","1017.25","1043.65","1045","1043.65","126","269.99","266770","-206","       1047.20"
"TITAN","05-Mar-2008","24-Apr-2008","0","0","0","1159.7","0","1061.15","0","0","0","0","       1047.20"
"TITAN","05-Mar-2008","29-May-2008","0","0","0","1155.65","0","1071.05","0","0","0","0","       1047.20"
"TITAN","07-Mar-2008","27-Mar-2008","1008.5","1011","988.15","1001.4","1002.6","1001.4","114","234.99","261826","-4944","       1001.95"
"TITAN","07-Mar-2008","24-Apr-2008","0","0","0","1159.7","0","1014.75","0","0","0","0","       1001.95"
"TITAN","07-Mar-2008","29-May-2008","0","0","0","1155.65","0","1024.2","0","0","0","0","       1001.95"
"TITAN","10-Mar-2008","27-Mar-2008","998.8","1013.25","920.1","1006.6","1008","1006.6","300","606.68","277070","15244","       1004.45"
"TITAN","10-Mar-2008","24-Apr-2008","0","0","0","1159.7","0","1016.8","0","0","0","0","       1004.45"
"TITAN","10-Mar-2008","29-May-2008","0","0","0","1155.65","0","1026.45","0","0","0","0","       1004.45"
"TITAN","11-Mar-2008","27-Mar-2008","1002.95","1048.95","999","1035.1","1035","1035.1","253","536.39","278924","1854","       1031.15"
"TITAN","11-Mar-2008","24-Apr-2008","0","0","0","1159.7","0","1043.65","0","0","0","0","       1031.15"
"TITAN","11-Mar-2008","29-May-2008","0","0","0","1155.65","0","1053.7","0","0","0","0","       1031.15"
"TITAN","12-Mar-2008","27-Mar-2008","1051.6","1080","1010","1038.95","1028.95","1038.95","239","519.2","263474","-15450","       1043.40"
"TITAN","12-Mar-2008","24-Apr-2008","1134.25","1134.35","995","1080","1080","1055.95","22","47.42","412","412","       1043.40"
"TITAN","12-Mar-2008","29-May-2008","0","0","0","1155.65","0","1066.3","0","0","0","0","       1043.40"
"TITAN","13-Mar-2008","27-Mar-2008","998","1030.3","958","971.2","962","971.2","265","543.92","261208","-2266","        979.70"
"TITAN","13-Mar-2008","24-Apr-2008","995","995","972","972","972","991.35","11","22.23","1030","618","        979.70"
