"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"TITAN","01-Sep-2017","28-Sep-2017","623.1","623.1","614.05","617.4","616.95","617.4","934","8649.44","3855000","40500","        613.50"
"TITAN","01-Sep-2017","26-Oct-2017","619.2","620.55","617.35","617.7","617.7","619.35","10","92.83","31500","10500","        613.50"
"TITAN","01-Sep-2017","30-Nov-2017","0","0","0","626.85","0","623.1","0","0","0","0","        613.50"
"TITAN","04-Sep-2017","28-Sep-2017","614.55","622.55","608.2","615.2","616.3","615.2","1572","14494.09","3846000","-9000","        612.25"
"TITAN","04-Sep-2017","26-Oct-2017","614","619.8","611.7","613.2","613.2","617.75","6","55.31","33000","1500","        612.25"
"TITAN","04-Sep-2017","30-Nov-2017","0","0","0","626.85","0","621.5","0","0","0","0","        612.25"
"TITAN","05-Sep-2017","28-Sep-2017","614.65","645.5","612.5","642","642.6","642","7985","76271.47","4204500","358500","        638.85"
"TITAN","05-Sep-2017","26-Oct-2017","617.55","645.6","617.55","644.9","644.05","644.9","84","804.83","69000","36000","        638.85"
"TITAN","05-Sep-2017","30-Nov-2017","0","0","0","626.85","0","648.4","0","0","0","0","        638.85"
"TITAN","06-Sep-2017","28-Sep-2017","639.5","652.7","638.4","643.8","645.65","643.8","5819","56544.96","4300500","96000","        640.80"
"TITAN","06-Sep-2017","26-Oct-2017","643.55","654.5","643.55","646.75","647","646.75","43","419.65","75000","6000","        640.80"
"TITAN","06-Sep-2017","30-Nov-2017","0","0","0","626.85","0","650.3","0","0","0","0","        640.80"
"TITAN","07-Sep-2017","28-Sep-2017","643.4","648.15","632.6","640.65","641.2","640.65","2373","22732.51","4510500","210000","        637.00"
"TITAN","07-Sep-2017","26-Oct-2017","650.45","650.45","636.5","643.2","644.35","643.2","44","423.17","66000","-9000","        637.00"
"TITAN","07-Sep-2017","30-Nov-2017","0","0","0","626.85","0","646.3","0","0","0","0","        637.00"
"TITAN","08-Sep-2017","28-Sep-2017","645","647.9","633.65","635.95","634.6","635.95","3088","29697.04","4513500","3000","        633.40"
"TITAN","08-Sep-2017","26-Oct-2017","646.2","648.85","637.05","638.55","637.05","638.55","31","298.79","72000","6000","        633.40"
"TITAN","08-Sep-2017","30-Nov-2017","0","0","0","626.85","0","642.55","0","0","0","0","        633.40"
"TITAN","11-Sep-2017","28-Sep-2017","635.5","639.5","634.4","636.4","638.1","636.4","998","9539.5","4452000","-61500","        632.95"
"TITAN","11-Sep-2017","26-Oct-2017","641.55","641.55","639.05","639.15","639.1","639.15","11","105.55","75000","3000","        632.95"
"TITAN","11-Sep-2017","30-Nov-2017","641","641","640.9","640.9","640.9","641.75","2","19.23","3000","3000","        632.95"
