"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ULTRACEMCO","01-Nov-2017","30-Nov-2017","4428.05","4477.1","4425.55","4447.45","4456","4447.45","1104","9833.62","1325400","-200","       4426.30"
"ULTRACEMCO","01-Nov-2017","28-Dec-2017","4486.4","4486.4","4463.25","4463.25","4463.25","4470.55","6","53.62","6400","-600","       4426.30"
"ULTRACEMCO","01-Nov-2017","25-Jan-2018","0","0","0","4555.35","0","4492.45","0","0","0","0","       4426.30"
"ULTRACEMCO","02-Nov-2017","30-Nov-2017","4451.15","4460","4403.6","4419.6","4413.4","4419.6","841","7450.81","1346400","21000","       4399.15"
"ULTRACEMCO","02-Nov-2017","28-Dec-2017","4460","4460","4440.55","4440.55","4440.55","4442.45","4","35.63","6200","-200","       4399.15"
"ULTRACEMCO","02-Nov-2017","25-Jan-2018","0","0","0","4555.35","0","4464.25","0","0","0","0","       4399.15"
"ULTRACEMCO","03-Nov-2017","30-Nov-2017","4399.4","4439.8","4375","4401.35","4409.95","4401.35","1179","10376.13","1334200","-12200","       4375.10"
"ULTRACEMCO","03-Nov-2017","28-Dec-2017","4401.05","4409.5","4395","4409.5","4409.5","4417.3","7","61.61","6600","400","       4375.10"
"ULTRACEMCO","03-Nov-2017","25-Jan-2018","0","0","0","4555.35","0","4438.95","0","0","0","0","       4375.10"
"ULTRACEMCO","06-Nov-2017","30-Nov-2017","4405.5","4474.7","4383.75","4444","4430","4444","1262","11221.08","1326400","-7800","       4427.75"
"ULTRACEMCO","06-Nov-2017","28-Dec-2017","4405","4405","4405","4405","4405","4468.15","1","8.81","6800","200","       4427.75"
"ULTRACEMCO","06-Nov-2017","25-Jan-2018","0","0","0","4555.35","0","4490","0","0","0","0","       4427.75"
"ULTRACEMCO","07-Nov-2017","30-Nov-2017","4438.25","4472.85","4377","4397.35","4408","4397.35","1567","13865.85","1296600","-29800","       4373.45"
"ULTRACEMCO","07-Nov-2017","28-Dec-2017","4444.15","4444.15","4400.1","4415.1","4400.1","4415.1","10","88.51","7200","400","       4373.45"
"ULTRACEMCO","07-Nov-2017","25-Jan-2018","0","0","0","4555.35","0","4434.2","0","0","0","0","       4373.45"
"ULTRACEMCO","08-Nov-2017","30-Nov-2017","4438.95","4444","4355.1","4390.85","4389","4390.85","906","7961.37","1297600","1000","       4370.60"
"ULTRACEMCO","08-Nov-2017","28-Dec-2017","4420.45","4420.45","4383","4402.1","4402.1","4402.1","5","44.08","6600","-600","       4370.60"
"ULTRACEMCO","08-Nov-2017","25-Jan-2018","0","0","0","4555.35","0","4430.5","0","0","0","0","       4370.60"
"ULTRACEMCO","09-Nov-2017","30-Nov-2017","4429.05","4429.05","4360","4380.1","4386","4380.1","925","8120.57","1313200","15600","       4363.35"
"ULTRACEMCO","09-Nov-2017","28-Dec-2017","4393.35","4400.4","4393.35","4400.4","4400.4","4400.9","3","26.37","7000","400","       4363.35"
"ULTRACEMCO","09-Nov-2017","25-Jan-2018","0","0","0","4555.35","0","4422.5","0","0","0","0","       4363.35"
"ULTRACEMCO","10-Nov-2017","30-Nov-2017","4366.15","4490","4350","4461.35","4483","4461.35","2452","21779.99","1330600","17400","       4450.85"
"ULTRACEMCO","10-Nov-2017","28-Dec-2017","4423.6","4505","4423.6","4500.3","4505","4500.3","34","303.89","7800","800","       4450.85"
