"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"UNIPHOS","01-Jan-2009","29-Jan-2009","109","109.9","106.35","109.35","109.45","109.35","18","27.38","75600","7000","        108.55"
"UNIPHOS","01-Jan-2009","26-Feb-2009","0","0","0","83.4","0","110.1","0","0","0","0","        108.55"
"UNIPHOS","01-Jan-2009","26-Mar-2009","0","0","0","112.65","0","110.85","0","0","0","0","        108.55"
"UNIPHOS","02-Jan-2009","29-Jan-2009","111","117.65","110.55","116.1","116.35","116.1","79","126.64","82600","7000","        116.25"
"UNIPHOS","02-Jan-2009","26-Feb-2009","113","119.95","113","115.05","115.05","117.85","3","4.87","0","0","        116.25"
"UNIPHOS","02-Jan-2009","26-Mar-2009","0","0","0","112.65","0","118.65","0","0","0","0","        116.25"
"UNIPHOS","05-Jan-2009","29-Jan-2009","117.65","124","114.85","118.75","118","118.75","71","119.22","61600","-21000","        118.90"
"UNIPHOS","05-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","120.3","0","0","0","0","        118.90"
"UNIPHOS","05-Jan-2009","26-Mar-2009","0","0","0","112.65","0","121.05","0","0","0","0","        118.90"
"UNIPHOS","06-Jan-2009","29-Jan-2009","118","118","114.35","115.7","115.75","115.7","35","56.68","65800","4200","        115.85"
"UNIPHOS","06-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","117.15","0","0","0","0","        115.85"
"UNIPHOS","06-Jan-2009","26-Mar-2009","0","0","0","112.65","0","117.85","0","0","0","0","        115.85"
"UNIPHOS","07-Jan-2009","29-Jan-2009","119.95","120.9","103.25","108.75","108.1","108.75","76","119.92","64400","-1400","        109.80"
"UNIPHOS","07-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","111","0","0","0","0","        109.80"
"UNIPHOS","07-Jan-2009","26-Mar-2009","0","0","0","112.65","0","111.65","0","0","0","0","        109.80"
"UNIPHOS","09-Jan-2009","29-Jan-2009","103","110","102","107.2","105.5","107.2","24","35.21","57400","-7000","        106.35"
"UNIPHOS","09-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","107.5","0","0","0","0","        106.35"
"UNIPHOS","09-Jan-2009","26-Mar-2009","0","0","0","112.65","0","108.15","0","0","0","0","        106.35"
"UNIPHOS","12-Jan-2009","29-Jan-2009","104.7","109.7","103.2","105.1","104.4","105.1","28","40.92","40600","-16800","        106.05"
"UNIPHOS","12-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","107.1","0","0","0","0","        106.05"
"UNIPHOS","12-Jan-2009","26-Mar-2009","0","0","0","112.65","0","107.8","0","0","0","0","        106.05"
"UNIPHOS","13-Jan-2009","29-Jan-2009","107","110","106","108.1","107","108.1","19","28.82","37800","-2800","        110.00"
"UNIPHOS","13-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","111.1","0","0","0","0","        110.00"
"UNIPHOS","13-Jan-2009","26-Mar-2009","0","0","0","112.65","0","111.75","0","0","0","0","        110.00"
"UNIPHOS","14-Jan-2009","29-Jan-2009","106.55","110","106.5","108.4","108.4","108.4","10","15.12","46200","8400","        108.05"
"UNIPHOS","14-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","109.1","0","0","0","0","        108.05"
"UNIPHOS","14-Jan-2009","26-Mar-2009","0","0","0","112.65","0","109.75","0","0","0","0","        108.05"
"UNIPHOS","15-Jan-2009","29-Jan-2009","104","113","102","104.5","105","104.5","85","128.06","53200","7000","        104.50"
"UNIPHOS","15-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","105.5","0","0","0","0","        104.50"
"UNIPHOS","15-Jan-2009","26-Mar-2009","0","0","0","112.65","0","106.15","0","0","0","0","        104.50"
"UNIPHOS","16-Jan-2009","29-Jan-2009","106.15","106.65","103.3","104.45","104.9","104.45","18","26.59","58800","5600","        104.00"
"UNIPHOS","16-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","104.95","0","0","0","0","        104.00"
"UNIPHOS","16-Jan-2009","26-Mar-2009","0","0","0","112.65","0","105.6","0","0","0","0","        104.00"
"UNIPHOS","19-Jan-2009","29-Jan-2009","106.5","106.5","101.55","101.8","101.55","101.8","17","24.7","65800","7000","        102.00"
"UNIPHOS","19-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","102.85","0","0","0","0","        102.00"
"UNIPHOS","19-Jan-2009","26-Mar-2009","0","0","0","112.65","0","103.5","0","0","0","0","        102.00"
"UNIPHOS","20-Jan-2009","29-Jan-2009","103","104.4","98.75","100.5","99","100.5","37","52.87","77000","11200","        100.35"
"UNIPHOS","20-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","101.2","0","0","0","0","        100.35"
"UNIPHOS","20-Jan-2009","26-Mar-2009","0","0","0","112.65","0","101.8","0","0","0","0","        100.35"
"UNIPHOS","21-Jan-2009","29-Jan-2009","101.3","105","100.25","103.5","103.3","103.5","38","54.95","67200","-9800","        104.35"
"UNIPHOS","21-Jan-2009","26-Feb-2009","0","0","0","115.05","115.05","105.2","0","0","0","0","        104.35"
"UNIPHOS","21-Jan-2009","26-Mar-2009","0","0","0","112.65","0","105.85","0","0","0","0","        104.35"
"UNIPHOS","22-Jan-2009","29-Jan-2009","103.5","106","92.35","94.4","95.95","94.4","48","65.19","67200","0","         94.55"
"UNIPHOS","22-Jan-2009","26-Feb-2009","104.6","104.6","93","94.9","95.8","94.9","10","13.69","11200","11200","         94.55"
"UNIPHOS","22-Jan-2009","26-Mar-2009","0","0","0","112.65","0","95.85","0","0","0","0","         94.55"
"UNIPHOS","23-Jan-2009","29-Jan-2009","91","91","86.5","89.15","89.5","89.15","12","15.01","63000","-4200","         89.70"
"UNIPHOS","23-Jan-2009","26-Feb-2009","91.05","91.05","90.5","91","91","91","5","6.36","18200","7000","         89.70"
"UNIPHOS","23-Jan-2009","26-Mar-2009","0","0","0","112.65","0","90.95","0","0","0","0","         89.70"
"UNIPHOS","27-Jan-2009","29-Jan-2009","90.45","93.45","89.6","91.5","92","91.5","21","26.9","56000","-7000","         91.50"
"UNIPHOS","27-Jan-2009","26-Feb-2009","0","0","0","91","91","92","0","0","18200","0","         91.50"
"UNIPHOS","27-Jan-2009","26-Mar-2009","0","0","0","112.65","0","92.7","0","0","0","0","         91.50"
"UNIPHOS","28-Jan-2009","29-Jan-2009","93.1","95.6","92.3","94.55","94.4","94.55","58","76.39","44800","-11200","         94.15"
"UNIPHOS","28-Jan-2009","26-Feb-2009","93.7","95.35","92.5","93.9","93.9","93.9","21","27.73","33600","15400","         94.15"
"UNIPHOS","28-Jan-2009","26-Mar-2009","0","0","0","112.65","0","95.35","0","0","0","0","         94.15"
"UNIPHOS","29-Jan-2009","29-Jan-2009","97","97","91.05","91.55","91.55","92.3","32","41.58","14000","-30800","         92.30"
"UNIPHOS","29-Jan-2009","26-Feb-2009","95.6","95.6","92.25","92.7","92.3","92.7","28","36.64","67200","33600","         92.30"
"UNIPHOS","29-Jan-2009","26-Mar-2009","0","0","0","112.65","0","93.45","0","0","0","0","         92.30"
"UNIPHOS","30-Jan-2009","26-Feb-2009","91.5","95","89.1","93.6","95","93.6","39","50.35","58800","-8400","         93.95"
"UNIPHOS","30-Jan-2009","26-Mar-2009","0","0","0","112.65","0","95.1","0","0","0","0","         93.95"
"UNIPHOS","30-Jan-2009","30-Apr-2009","0","0","0","94.2","0","95.85","0","0","0","0","         93.95"
"UNIPHOS","02-Feb-2009","26-Feb-2009","94.9","101.15","94.9","97.4","95","97.4","56","76.56","74200","15400","         96.10"
"UNIPHOS","02-Feb-2009","26-Mar-2009","0","0","0","112.65","0","97.2","0","0","0","0","         96.10"
"UNIPHOS","02-Feb-2009","30-Apr-2009","0","0","0","94.2","0","97.95","0","0","0","0","         96.10"
"UNIPHOS","03-Feb-2009","26-Feb-2009","98.3","98.55","95.25","96.15","95.75","96.15","31","42.19","54600","-19600","         96.65"
"UNIPHOS","03-Feb-2009","26-Mar-2009","0","0","0","112.65","0","97.75","0","0","0","0","         96.65"
"UNIPHOS","03-Feb-2009","30-Apr-2009","0","0","0","94.2","0","98.45","0","0","0","0","         96.65"
