"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"UNIPHOS","03-Nov-2008","27-Nov-2008","93","99.75","92.05","95.85","96.5","95.85","53","71.45","105000","18200","         95.45"
"UNIPHOS","03-Nov-2008","25-Dec-2008","0","0","0","323.7","0","97.05","0","0","0","0","         95.45"
"UNIPHOS","03-Nov-2008","29-Jan-2009","0","0","0","87.15","0","98.2","0","0","0","0","         95.45"
"UNIPHOS","04-Nov-2008","27-Nov-2008","92","98.7","91.05","97.5","97.7","97.5","39","52.47","109200","4200","         96.70"
"UNIPHOS","04-Nov-2008","25-Dec-2008","0","0","0","323.7","0","98.3","0","0","0","0","         96.70"
"UNIPHOS","04-Nov-2008","29-Jan-2009","0","0","0","87.15","0","99.45","0","0","0","0","         96.70"
"UNIPHOS","05-Nov-2008","27-Nov-2008","98.9","111","98.9","104","104.9","104","78","114.08","78400","-30800","        107.25"
"UNIPHOS","05-Nov-2008","25-Dec-2008","0","0","0","323.7","0","109","0","0","0","0","        107.25"
"UNIPHOS","05-Nov-2008","29-Jan-2009","0","0","0","87.15","0","110.3","0","0","0","0","        107.25"
"UNIPHOS","06-Nov-2008","27-Nov-2008","97.7","100","92","97.35","97","97.35","48","65.03","102200","23800","         96.90"
"UNIPHOS","06-Nov-2008","25-Dec-2008","0","0","0","323.7","0","98.4","0","0","0","0","         96.90"
"UNIPHOS","06-Nov-2008","29-Jan-2009","0","0","0","87.15","0","99.55","0","0","0","0","         96.90"
"UNIPHOS","07-Nov-2008","27-Nov-2008","99.55","101.4","97.75","100.45","101","100.45","33","46.01","95200","-7000","        100.80"
"UNIPHOS","07-Nov-2008","25-Dec-2008","0","0","0","323.7","0","102.3","0","0","0","0","        100.80"
"UNIPHOS","07-Nov-2008","29-Jan-2009","0","0","0","87.15","0","103.45","0","0","0","0","        100.80"
"UNIPHOS","10-Nov-2008","27-Nov-2008","101.5","105.7","99.7","104.3","104.55","104.3","42","60.67","75600","-19600","        106.00"
"UNIPHOS","10-Nov-2008","25-Dec-2008","0","0","0","323.7","0","107.5","0","0","0","0","        106.00"
"UNIPHOS","10-Nov-2008","29-Jan-2009","0","0","0","87.15","0","108.7","0","0","0","0","        106.00"
