"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"UNIPHOS","01-Sep-2009","24-Sep-2009","170.4","174.3","163.6","166.4","166.1","166.4","735","1746.45","1292200","-100800","        167.75"
"UNIPHOS","01-Sep-2009","29-Oct-2009","172.95","172.95","165.25","165.25","165.25","169","11","25.97","11200","8400","        167.75"
"UNIPHOS","01-Sep-2009","26-Nov-2009","0","0","0","169.7","0","169.6","0","0","0","0","        167.75"
"UNIPHOS","02-Sep-2009","24-Sep-2009","166.4","169","163.4","165.05","165.75","165.05","378","875.21","1418200","126000","        165.90"
"UNIPHOS","02-Sep-2009","29-Oct-2009","167","167","155.9","165.35","165.35","167.1","8","18.43","19600","8400","        165.90"
"UNIPHOS","02-Sep-2009","26-Nov-2009","0","0","0","169.7","0","167.7","0","0","0","0","        165.90"
"UNIPHOS","03-Sep-2009","24-Sep-2009","168.2","168.35","164.8","166.55","167.15","166.55","233","543.81","1384600","-33600","        166.25"
"UNIPHOS","03-Sep-2009","29-Oct-2009","166","168","166","168","168","167.45","2","4.68","21000","1400","        166.25"
"UNIPHOS","03-Sep-2009","26-Nov-2009","0","0","0","169.7","0","168.05","0","0","0","0","        166.25"
"UNIPHOS","04-Sep-2009","24-Sep-2009","167.5","170","164.55","167.95","168","167.95","294","688.55","1443400","58800","        166.90"
"UNIPHOS","04-Sep-2009","29-Oct-2009","0","0","0","168","168","168.1","0","0","21000","0","        166.90"
"UNIPHOS","04-Sep-2009","26-Nov-2009","0","0","0","169.7","0","168.65","0","0","0","0","        166.90"
"UNIPHOS","07-Sep-2009","24-Sep-2009","169.1","171","166.4","167.7","168","167.7","370","873.53","1565200","121800","        166.55"
"UNIPHOS","07-Sep-2009","29-Oct-2009","168","168","168","168","168","167.65","1","2.35","22400","1400","        166.55"
"UNIPHOS","07-Sep-2009","26-Nov-2009","0","0","0","169.7","0","168.25","0","0","0","0","        166.55"
"UNIPHOS","08-Sep-2009","24-Sep-2009","170","170","163.75","164.5","164.8","164.5","325","760.15","1547000","-18200","        163.45"
"UNIPHOS","08-Sep-2009","29-Oct-2009","169.4","169.4","164.55","164.55","164.55","164.55","16","37.62","36400","14000","        163.45"
"UNIPHOS","08-Sep-2009","26-Nov-2009","0","0","0","169.7","0","165.1","0","0","0","0","        163.45"
"UNIPHOS","09-Sep-2009","24-Sep-2009","165","168.1","160","165.5","165.55","165.5","370","859.86","1570800","23800","        164.60"
"UNIPHOS","09-Sep-2009","29-Oct-2009","165","167","165","167","167","165.65","14","32.59","49000","12600","        164.60"
"UNIPHOS","09-Sep-2009","26-Nov-2009","0","0","0","169.7","0","166.25","0","0","0","0","        164.60"
"UNIPHOS","10-Sep-2009","24-Sep-2009","167.65","174.4","165","171.55","172.5","171.55","1091","2608.89","1545600","-25200","        170.65"
"UNIPHOS","10-Sep-2009","29-Oct-2009","172.95","172.95","172.95","172.95","172.95","171.75","1","2.42","50400","1400","        170.65"
"UNIPHOS","10-Sep-2009","26-Nov-2009","0","0","0","169.7","0","172.35","0","0","0","0","        170.65"
"UNIPHOS","11-Sep-2009","24-Sep-2009","173.75","175.1","167.55","169.8","169","169.8","548","1312.66","1568000","22400","        169.15"
"UNIPHOS","11-Sep-2009","29-Oct-2009","172.5","172.5","172.5","172.5","172.5","170.2","1","2.42","49000","-1400","        169.15"
"UNIPHOS","11-Sep-2009","26-Nov-2009","0","0","0","169.7","0","170.8","0","0","0","0","        169.15"
