"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SESAGOA","01-Jan-2013","31-Jan-2013","197.95","201.7","197.75","200.65","200.95","200.65","1731","6927.92","7932000","210000","        198.60"
"SESAGOA","01-Jan-2013","28-Feb-2013","199.35","201.8","199.3","201.15","200.85","201.15","31","124.67","330000","8000","        198.60"
"SESAGOA","01-Jan-2013","28-Mar-2013","201.75","201.75","201.75","201.75","201.75","202.8","3","12.11","6000","6000","        198.60"
"SESAGOA","02-Jan-2013","31-Jan-2013","202.15","206.35","201.75","204.15","203.7","204.15","3192","13033.63","7948000","16000","        202.90"
"SESAGOA","02-Jan-2013","28-Feb-2013","202.75","206.75","202.75","204.45","204.05","204.45","126","517.16","496000","166000","        202.90"
"SESAGOA","02-Jan-2013","28-Mar-2013","205.15","205.2","205.15","205.2","205.2","207.15","2","8.21","6000","0","        202.90"
"SESAGOA","03-Jan-2013","31-Jan-2013","206","206.65","203.5","205.05","204","205.05","2276","9343.11","7948000","0","        204.40"
"SESAGOA","03-Jan-2013","28-Feb-2013","205.5","206.9","204.75","205.5","204.9","205.5","185","761.94","736000","240000","        204.40"
"SESAGOA","03-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","208.65","0","0","6000","0","        204.40"
"SESAGOA","04-Jan-2013","31-Jan-2013","204.15","204.45","199.65","202.1","202.2","202.1","1812","7304.46","7716000","-232000","        201.70"
"SESAGOA","04-Jan-2013","28-Feb-2013","203.7","203.7","200.55","202.65","202.65","202.65","50","201.8","738000","2000","        201.70"
"SESAGOA","04-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","205.85","0","0","6000","0","        201.70"
"SESAGOA","07-Jan-2013","31-Jan-2013","202.45","206.15","200.4","203.65","202.2","203.65","2886","11756.8","7986000","270000","        202.65"
"SESAGOA","07-Jan-2013","28-Feb-2013","202.95","206","200.85","203.1","202.05","203.1","273","1110.42","1032000","294000","        202.65"
"SESAGOA","07-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","206.6","0","0","6000","0","        202.65"
"SESAGOA","08-Jan-2013","31-Jan-2013","204.25","204.4","198.15","200.65","200.5","200.65","2104","8433.94","8020000","34000","        199.70"
"SESAGOA","08-Jan-2013","28-Feb-2013","202.95","202.95","198","200.4","200.25","200.4","114","456.53","1034000","2000","        199.70"
"SESAGOA","08-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","203.55","0","0","6000","0","        199.70"
"SESAGOA","09-Jan-2013","31-Jan-2013","200.75","202.6","196.75","197.45","197.25","197.45","1895","7566.72","7900000","-120000","        196.85"
"SESAGOA","09-Jan-2013","28-Feb-2013","200.2","201.9","197","197.55","197.2","197.55","197","789.62","1236000","202000","        196.85"
"SESAGOA","09-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","200.6","0","0","6000","0","        196.85"
"SESAGOA","10-Jan-2013","31-Jan-2013","198.75","199.3","193.8","194.65","194.35","194.65","1976","7752.67","7972000","72000","        193.30"
"SESAGOA","10-Jan-2013","28-Feb-2013","199.25","199.25","194.25","195.05","195.55","195.05","87","341.94","1242000","6000","        193.30"
"SESAGOA","10-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","196.9","0","0","6000","0","        193.30"
"SESAGOA","11-Jan-2013","31-Jan-2013","195","199","193.85","195.55","194.8","195.55","2889","11359.97","7950000","-22000","        194.40"
"SESAGOA","11-Jan-2013","28-Feb-2013","196","199.4","194.8","196.55","195.5","196.55","120","473.5","1290000","48000","        194.40"
"SESAGOA","11-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","198","0","0","6000","0","        194.40"
"SESAGOA","14-Jan-2013","31-Jan-2013","195.8","198.75","194","198.25","198.45","198.25","1432","5624.92","7954000","4000","        196.85"
"SESAGOA","14-Jan-2013","28-Feb-2013","196.4","199.3","195","198.95","199.2","198.95","132","518.3","1296000","6000","        196.85"
"SESAGOA","14-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","200.35","0","0","6000","0","        196.85"
"SESAGOA","15-Jan-2013","31-Jan-2013","198.55","198.55","193.5","194.9","194.4","194.9","1612","6302.49","8260000","306000","        194.00"
"SESAGOA","15-Jan-2013","28-Feb-2013","197","198.35","194.4","195.55","195.3","195.55","86","337.09","1328000","32000","        194.00"
"SESAGOA","15-Jan-2013","28-Mar-2013","0","0","0","205.2","205.2","197.4","0","0","6000","0","        194.00"
"SESAGOA","16-Jan-2013","31-Jan-2013","194.15","197.55","191","191.7","191.15","191.7","2815","10954.79","9140000","880000","        190.60"
"SESAGOA","16-Jan-2013","28-Feb-2013","194.7","198.65","192.05","192.45","192.05","192.45","480","1882.84","1654000","326000","        190.60"
"SESAGOA","16-Jan-2013","28-Mar-2013","196.6","196.6","196.6","196.6","196.6","193.9","1","3.93","6000","0","        190.60"
"SESAGOA","17-Jan-2013","31-Jan-2013","190.95","192.95","188.15","190.55","190.35","190.55","2773","10556.24","9422000","282000","        189.65"
"SESAGOA","17-Jan-2013","28-Feb-2013","192.55","193.8","189.2","191.3","191.2","191.3","503","1919.14","2180000","526000","        189.65"
"SESAGOA","17-Jan-2013","28-Mar-2013","191.2","191.2","191.2","191.2","191.2","192.85","1","3.82","8000","2000","        189.65"
"SESAGOA","18-Jan-2013","31-Jan-2013","191.55","192.65","186.45","187.95","187.65","187.95","1889","7151.31","9502000","80000","        187.15"
"SESAGOA","18-Jan-2013","28-Feb-2013","192.45","192.75","187.2","188.8","188.1","188.8","190","722.67","2372000","192000","        187.15"
"SESAGOA","18-Jan-2013","28-Mar-2013","0","0","0","191.2","191.2","190.3","0","0","8000","0","        187.15"
"SESAGOA","21-Jan-2013","31-Jan-2013","188.95","190","186.7","187.75","187.75","187.75","1334","5017.74","9500000","-2000","        186.85"
"SESAGOA","21-Jan-2013","28-Feb-2013","189.6","190.65","187.45","188.75","189","188.75","101","382.24","2408000","36000","        186.85"
"SESAGOA","21-Jan-2013","28-Mar-2013","0","0","0","191.2","191.2","189.9","0","0","8000","0","        186.85"
"SESAGOA","22-Jan-2013","31-Jan-2013","187.9","189.25","184.9","185.55","185.5","185.55","1481","5536.4","9462000","-38000","        185.05"
"SESAGOA","22-Jan-2013","28-Feb-2013","188.65","190","186.1","186.55","186.5","186.55","124","465.95","2466000","58000","        185.05"
"SESAGOA","22-Jan-2013","28-Mar-2013","188","188","188","188","188","188.05","1","3.76","8000","0","        185.05"
"SESAGOA","23-Jan-2013","31-Jan-2013","186","187.2","182.5","185.3","185.8","185.3","1630","6043.89","9420000","-42000","        184.65"
"SESAGOA","23-Jan-2013","28-Feb-2013","187.75","188.2","183.6","186.35","186.75","186.35","312","1164.19","2682000","216000","        184.65"
"SESAGOA","23-Jan-2013","28-Mar-2013","0","0","0","188","188","187.6","0","0","8000","0","        184.65"
"SESAGOA","24-Jan-2013","31-Jan-2013","184.4","184.55","177.05","178.25","177.7","178.25","2141","7718.02","9346000","-74000","        178.20"
"SESAGOA","24-Jan-2013","28-Feb-2013","184.3","184.7","178.5","179.05","178.5","179.05","388","1406.82","2884000","202000","        178.20"
"SESAGOA","24-Jan-2013","28-Mar-2013","182.45","182.45","180.7","180.7","180.7","180.7","3","10.91","10000","2000","        178.20"
"SESAGOA","25-Jan-2013","31-Jan-2013","174.9","184.25","174.2","183.35","183.95","183.35","2947","10583.2","8510000","-836000","        183.20"
"SESAGOA","25-Jan-2013","28-Feb-2013","176.1","185","175.5","184.4","184.5","184.4","649","2347.35","3300000","416000","        183.20"
"SESAGOA","25-Jan-2013","28-Mar-2013","184.1","186.9","183","185.75","185.5","185.75","40","148.12","50000","40000","        183.20"
"SESAGOA","28-Jan-2013","31-Jan-2013","183.2","186.3","181.7","183.3","183","183.3","2222","8162.09","7950000","-560000","        183.05"
"SESAGOA","28-Jan-2013","28-Feb-2013","184.45","187.45","182.85","184.25","184.05","184.25","994","3672.01","4388000","1088000","        183.05"
"SESAGOA","28-Jan-2013","28-Mar-2013","184","187.9","183.95","186.95","186.95","185.7","61","227.47","80000","30000","        183.05"
"SESAGOA","29-Jan-2013","31-Jan-2013","183.45","186.8","182.1","183.2","182.6","183.2","2530","9344.74","6390000","-1560000","        183.35"
"SESAGOA","29-Jan-2013","28-Feb-2013","184.95","187.95","183.25","184.5","183.3","184.5","1296","4822.79","5558000","1170000","        183.35"
"SESAGOA","29-Jan-2013","28-Mar-2013","185.75","188.65","184.5","184.95","184.5","184.95","15","56","90000","10000","        183.35"
"SESAGOA","30-Jan-2013","31-Jan-2013","183.8","188.3","183.25","186.65","186.65","186.65","2385","8875.78","4708000","-1682000","        186.80"
"SESAGOA","30-Jan-2013","28-Feb-2013","185.15","189.6","184.65","187.9","188.2","187.9","1650","6178.85","7030000","1472000","        186.80"
"SESAGOA","30-Jan-2013","28-Mar-2013","187.55","190","187.55","190","190","189.35","9","33.93","90000","0","        186.80"
"SESAGOA","31-Jan-2013","31-Jan-2013","185.9","187","181.95","185.85","186.5","186.55","3101","11406.73","1952000","-2756000","        186.55"
"SESAGOA","31-Jan-2013","28-Feb-2013","186.15","188.3","183.2","187.05","187.85","187.05","3111","11529.12","9584000","2554000","        186.55"
