"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"WIPRO","02-Jul-2012","26-Jul-2012","406.15","406.4","401.65","403.8","403.5","403.8","881","1777.41","2110000","111500","        400.25"
"WIPRO","02-Jul-2012","30-Aug-2012","407.5","407.7","405.3","406.1","405.5","406.1","12","24.37","12500","3500","        400.25"
"WIPRO","02-Jul-2012","27-Sep-2012","0","0","0","408.3","0","409.35","0","0","0","0","        400.25"
"WIPRO","03-Jul-2012","26-Jul-2012","406.15","407.8","400.85","403.9","403.1","403.9","1631","3300.43","2277500","167500","        400.50"
"WIPRO","03-Jul-2012","30-Aug-2012","410.5","410.5","404.25","406.5","406","406.5","14","28.55","17500","5000","        400.50"
"WIPRO","03-Jul-2012","27-Sep-2012","0","0","0","408.3","0","409.5","0","0","0","0","        400.50"
"WIPRO","04-Jul-2012","26-Jul-2012","404.45","404.45","395","397.95","398.2","397.95","1588","3159.58","2532500","255000","        394.75"
"WIPRO","04-Jul-2012","30-Aug-2012","406.5","406.5","398.85","400.75","401.5","400.75","54","108.17","39500","22000","        394.75"
"WIPRO","04-Jul-2012","27-Sep-2012","0","0","0","408.3","0","403.5","0","0","0","0","        394.75"
"WIPRO","05-Jul-2012","26-Jul-2012","396.6","399.5","393.25","398.5","398.85","398.5","1456","2888.46","2637500","105000","        395.65"
"WIPRO","05-Jul-2012","30-Aug-2012","397.95","402.5","397","402.15","402.4","402.15","28","56.04","45500","6000","        395.65"
"WIPRO","05-Jul-2012","27-Sep-2012","0","0","0","408.3","0","404.35","0","0","0","0","        395.65"
"WIPRO","06-Jul-2012","26-Jul-2012","396","397.7","390","394.1","394.25","394.1","1925","3780.46","2764000","126500","        392.15"
"WIPRO","06-Jul-2012","30-Aug-2012","399.35","400.9","394.95","397.2","397.5","397.2","60","118.83","57500","12000","        392.15"
"WIPRO","06-Jul-2012","27-Sep-2012","0","0","0","408.3","0","400.65","0","0","0","0","        392.15"
"WIPRO","09-Jul-2012","26-Jul-2012","392.65","393.95","386","388.4","387.85","388.4","1898","3692.22","3013000","249000","        385.90"
"WIPRO","09-Jul-2012","30-Aug-2012","395","396.45","390.15","391.6","391.3","391.6","96","188.36","80000","22500","        385.90"
"WIPRO","09-Jul-2012","27-Sep-2012","0","0","0","408.3","0","393.95","0","0","0","0","        385.90"
"WIPRO","10-Jul-2012","26-Jul-2012","386.7","391.8","385.3","387","386.95","387","1866","3619.59","3240500","227500","        384.50"
"WIPRO","10-Jul-2012","30-Aug-2012","393.15","394.1","388.1","390.5","390.2","390.5","77","150.41","104500","24500","        384.50"
"WIPRO","10-Jul-2012","27-Sep-2012","0","0","0","408.3","0","392.4","0","0","0","0","        384.50"
"WIPRO","11-Jul-2012","26-Jul-2012","386.25","386.65","373.75","376.9","377.7","376.9","5795","10968.6","4003500","763000","        374.30"
"WIPRO","11-Jul-2012","30-Aug-2012","388.15","389.25","376.9","379.9","381.2","379.9","366","696","220000","115500","        374.30"
"WIPRO","11-Jul-2012","27-Sep-2012","0","0","0","408.3","0","381.9","0","0","0","0","        374.30"
"WIPRO","12-Jul-2012","26-Jul-2012","368.25","370.4","357.2","361.25","361","361.25","7775","14082.98","4768500","765000","        359.25"
"WIPRO","12-Jul-2012","30-Aug-2012","373","373.1","360.6","364.3","363.85","364.3","436","794.56","296000","76000","        359.25"
"WIPRO","12-Jul-2012","27-Sep-2012","369.1","369.1","363.25","366.05","366","366.05","68","124.23","34000","34000","        359.25"
