"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"WIPRO","01-Mar-2013","28-Mar-2013","425.15","427.9","420","422.9","423.55","422.9","1541","6540.68","2629000","33000","        421.70"
"WIPRO","01-Mar-2013","25-Apr-2013","429.2","429.2","426.05","426.05","426.05","427.85","7","29.91","16000","2000","        421.70"
"WIPRO","01-Mar-2013","30-May-2013","0","0","0","426.55","0","431.8","0","0","0","0","        421.70"
"WIPRO","04-Mar-2013","28-Mar-2013","424","426","419.05","420.7","420.95","420.7","1124","4742.15","2741000","112000","        419.50"
"WIPRO","04-Mar-2013","25-Apr-2013","426.05","426.8","421.05","422.65","422.65","422.65","21","88.98","24000","8000","        419.50"
"WIPRO","04-Mar-2013","30-May-2013","0","0","0","426.55","0","429","0","0","0","0","        419.50"
"WIPRO","05-Mar-2013","28-Mar-2013","422.5","435.95","419.7","434.75","434.5","434.75","2072","8911.05","3029000","288000","        433.05"
"WIPRO","05-Mar-2013","25-Apr-2013","424.95","437.25","424.95","436.45","436.9","436.45","63","273.12","67000","43000","        433.05"
"WIPRO","05-Mar-2013","30-May-2013","0","0","0","426.55","0","443.15","0","0","0","0","        433.05"
"WIPRO","06-Mar-2013","28-Mar-2013","436","446.95","435.8","443.9","444.85","443.9","1817","8043.54","3188000","159000","        441.90"
"WIPRO","06-Mar-2013","25-Apr-2013","440.45","448.25","440","446","446","446","35","155.47","84000","17000","        441.90"
"WIPRO","06-Mar-2013","30-May-2013","443","445","443","445","445","451.85","2","8.88","2000","2000","        441.90"
"WIPRO","07-Mar-2013","28-Mar-2013","445.1","453.3","443.1","451.45","452.15","451.45","2355","10613.66","3512000","324000","        449.35"
"WIPRO","07-Mar-2013","25-Apr-2013","450.45","454","449.3","453.55","454","453.55","20","90.43","86000","2000","        449.35"
"WIPRO","07-Mar-2013","30-May-2013","0","0","0","445","445","459.35","0","0","2000","0","        449.35"
"WIPRO","08-Mar-2013","28-Mar-2013","449.65","456.5","445.4","446.15","445.6","446.15","2657","11951.28","3364000","-148000","        445.35"
"WIPRO","08-Mar-2013","25-Apr-2013","456.1","457.8","443.55","447.5","448","447.5","61","274.85","96000","10000","        445.35"
"WIPRO","08-Mar-2013","30-May-2013","0","0","0","445","445","455.05","0","0","2000","0","        445.35"
"WIPRO","11-Mar-2013","28-Mar-2013","445.3","450.4","440.3","442","441.4","442","1536","6841.09","3395000","31000","        439.55"
"WIPRO","11-Mar-2013","25-Apr-2013","447.6","451.75","443.9","445.25","445.3","445.25","21","93.89","101000","5000","        439.55"
"WIPRO","11-Mar-2013","30-May-2013","0","0","0","445","445","448.95","0","0","2000","0","        439.55"
