"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"WIPRO","03-Nov-2009","26-Nov-2009","605","608","576.6","582.15","576.6","582.15","2817","10025.55","2094000","-59400","        581.40"
"WIPRO","03-Nov-2009","31-Dec-2009","594.75","594.75","587","587","587","585.6","2","7.09","1200","0","        581.40"
"WIPRO","03-Nov-2009","28-Jan-2010","0","0","0","631.7","0","587.6","0","0","0","0","        581.40"
"WIPRO","04-Nov-2009","26-Nov-2009","586","606.95","582.15","597.45","597.75","597.45","1936","6924.23","2044800","-49200","        597.65"
"WIPRO","04-Nov-2009","31-Dec-2009","589.65","605","589.65","605","605","601.85","5","18.02","3000","1800","        597.65"
"WIPRO","04-Nov-2009","28-Jan-2010","612.8","612.8","612.8","612.8","612.8","603.9","3","11.03","1800","1800","        597.65"
"WIPRO","05-Nov-2009","26-Nov-2009","595.2","602.15","577.45","599.35","600.2","599.35","2490","8773.93","2014200","-30600","        599.90"
"WIPRO","05-Nov-2009","31-Dec-2009","590","600","580","599.35","600","599.35","14","49.55","6000","3000","        599.90"
"WIPRO","05-Nov-2009","28-Jan-2010","0","0","0","612.8","612.8","606.25","0","0","1800","0","        599.90"
"WIPRO","06-Nov-2009","26-Nov-2009","608","611.8","594.1","597.9","599","597.9","2397","8657.04","1941000","-73200","        598.45"
"WIPRO","06-Nov-2009","31-Dec-2009","602.55","605.9","602.55","605.85","605.85","602.5","4","14.52","7200","1200","        598.45"
"WIPRO","06-Nov-2009","28-Jan-2010","0","0","0","612.8","612.8","604.55","0","0","1800","0","        598.45"
"WIPRO","09-Nov-2009","26-Nov-2009","601","606.5","594.1","604.45","604.7","604.45","1596","5753.32","1937400","-3600","        603.10"
"WIPRO","09-Nov-2009","31-Dec-2009","598.15","603.25","597.9","601.5","601.5","607","8","28.87","11400","4200","        603.10"
"WIPRO","09-Nov-2009","28-Jan-2010","0","0","0","612.8","612.8","609.15","0","0","1800","0","        603.10"
"WIPRO","10-Nov-2009","26-Nov-2009","607.95","610.7","592.2","594.95","594.75","594.95","2175","7882.33","1917600","-19800","        593.70"
"WIPRO","10-Nov-2009","31-Dec-2009","605.2","605.35","592.75","593.6","594.4","593.6","9","32.52","12600","1200","        593.70"
"WIPRO","10-Nov-2009","28-Jan-2010","604.1","612","604","604","604","599.5","6","21.8","2400","600","        593.70"
