"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"WIPRO","01-Sep-2009","24-Sep-2009","555","564.75","551","559.25","559.25","559.25","2149","7191.05","2589600","-64800","        559.05"
"WIPRO","01-Sep-2009","29-Oct-2009","558","561.7","553.05","561.65","561.7","561.65","9","30.08","7200","-1800","        559.05"
"WIPRO","01-Sep-2009","26-Nov-2009","0","0","0","575.15","0","565.1","0","0","0","0","        559.05"
"WIPRO","02-Sep-2009","24-Sep-2009","552.3","566.45","552.3","556.85","555.8","556.85","2082","6993.42","2628000","38400","        554.35"
"WIPRO","02-Sep-2009","29-Oct-2009","562","562","557","557","557","557","4","13.44","9000","1800","        554.35"
"WIPRO","02-Sep-2009","26-Nov-2009","0","0","0","575.15","0","560.3","0","0","0","0","        554.35"
"WIPRO","03-Sep-2009","24-Sep-2009","560","560","545","550.95","552.25","550.95","1825","6050.94","2586600","-41400","        551.60"
"WIPRO","03-Sep-2009","29-Oct-2009","553.6","560","552","554.95","554.95","554.95","7","23.34","9600","600","        551.60"
"WIPRO","03-Sep-2009","26-Nov-2009","0","0","0","575.15","0","557.45","0","0","0","0","        551.60"
"WIPRO","04-Sep-2009","24-Sep-2009","552.2","558.65","548.1","555.35","554.9","555.35","1306","4340.47","2620200","33600","        552.30"
"WIPRO","04-Sep-2009","29-Oct-2009","559","559","559","559","559","556.15","1","3.35","9600","0","        552.30"
"WIPRO","04-Sep-2009","26-Nov-2009","0","0","0","575.15","0","558.15","0","0","0","0","        552.30"
"WIPRO","07-Sep-2009","24-Sep-2009","557","564.85","554.05","556.7","556","556.7","2488","8340.26","2786400","166200","        554.35"
"WIPRO","07-Sep-2009","29-Oct-2009","561.7","565","556","557.3","556.65","557.3","24","80.68","19200","9600","        554.35"
"WIPRO","07-Sep-2009","26-Nov-2009","0","0","0","575.15","0","560","0","0","0","0","        554.35"
"WIPRO","08-Sep-2009","24-Sep-2009","557","560.3","552.05","553.3","554.2","553.3","1601","5333.91","2735400","-51000","        550.70"
"WIPRO","08-Sep-2009","29-Oct-2009","556.5","556.5","555.45","555.45","555.45","555.45","3","10.01","18600","-600","        550.70"
"WIPRO","08-Sep-2009","26-Nov-2009","0","0","0","575.15","0","556.2","0","0","0","0","        550.70"
"WIPRO","09-Sep-2009","24-Sep-2009","550.35","552.75","540","545.3","545.6","545.3","1787","5848.48","2842800","107400","        542.55"
"WIPRO","09-Sep-2009","29-Oct-2009","551.45","552","541.95","547.9","547.9","547.9","20","65.6","18000","-600","        542.55"
"WIPRO","09-Sep-2009","26-Nov-2009","0","0","0","575.15","0","547.9","0","0","0","0","        542.55"
"WIPRO","10-Sep-2009","24-Sep-2009","549.5","553","540.35","545.15","544.65","545.15","1576","5172.92","2772600","-70200","        543.55"
"WIPRO","10-Sep-2009","29-Oct-2009","553.45","553.45","545","546.8","547.85","546.8","8","26.29","21000","3000","        543.55"
"WIPRO","10-Sep-2009","26-Nov-2009","0","0","0","575.15","0","548.95","0","0","0","0","        543.55"
"WIPRO","11-Sep-2009","24-Sep-2009","546.15","559.95","546","555.05","558","555.05","2589","8607.97","2712000","-60600","        550.95"
"WIPRO","11-Sep-2009","29-Oct-2009","560","560","553.75","553.75","553.75","553.75","2","6.68","21600","600","        550.95"
"WIPRO","11-Sep-2009","26-Nov-2009","0","0","0","575.15","0","556.35","0","0","0","0","        550.95"
"WIPRO","14-Sep-2009","24-Sep-2009","550.55","564.35","550.55","559.05","560","559.05","1861","6250.84","2663400","-48600","        557.45"
"WIPRO","14-Sep-2009","29-Oct-2009","562.5","564","560","560.45","560","560.45","15","50.52","24600","3000","        557.45"
"WIPRO","14-Sep-2009","26-Nov-2009","0","0","0","575.15","0","562.6","0","0","0","0","        557.45"
"WIPRO","15-Sep-2009","24-Sep-2009","563.7","567","559.05","562.3","560.6","562.3","1495","5049.8","2598000","-65400","        559.45"
"WIPRO","15-Sep-2009","29-Oct-2009","562","566.3","556.05","564.3","564.7","564.3","21","71.01","27600","3000","        559.45"
"WIPRO","15-Sep-2009","26-Nov-2009","0","0","0","575.15","0","564.5","0","0","0","0","        559.45"
"WIPRO","16-Sep-2009","24-Sep-2009","564","565.4","554.1","557.1","557.7","557.1","1585","5295.57","2515200","-82800","        554.90"
"WIPRO","16-Sep-2009","29-Oct-2009","560","560","555.9","558.25","558","558.25","41","137.06","37200","9600","        554.90"
"WIPRO","16-Sep-2009","26-Nov-2009","0","0","0","575.15","0","559.9","0","0","0","0","        554.90"
"WIPRO","17-Sep-2009","24-Sep-2009","559.05","577.4","558.2","568.4","560.5","568.4","2914","9944.48","2575200","60000","        566.25"
"WIPRO","17-Sep-2009","29-Oct-2009","564","577","563.9","568.9","564.5","568.9","166","567.01","69000","31800","        566.25"
"WIPRO","17-Sep-2009","26-Nov-2009","0","0","0","575.15","0","571.3","0","0","0","0","        566.25"
"WIPRO","18-Sep-2009","24-Sep-2009","564","574.4","564","570.3","570.1","570.3","2140","7326.97","2417400","-157800","        569.15"
"WIPRO","18-Sep-2009","29-Oct-2009","570.75","575.5","566.5","570.75","571.95","570.75","479","1642.78","239400","170400","        569.15"
"WIPRO","18-Sep-2009","26-Nov-2009","0","0","0","575.15","0","574.1","0","0","0","0","        569.15"
"WIPRO","22-Sep-2009","24-Sep-2009","569.1","581","568.35","577.3","576","577.3","2548","8802.33","2091600","-325800","        577.05"
"WIPRO","22-Sep-2009","29-Oct-2009","571.95","582.35","571.7","578.85","578","578.85","1200","4156.06","679800","440400","        577.05"
"WIPRO","22-Sep-2009","26-Nov-2009","0","0","0","575.15","0","581.85","0","0","0","0","        577.05"
"WIPRO","23-Sep-2009","24-Sep-2009","578","582","561.25","565.75","567","565.75","2936","10098.43","1267200","-824400","        566.85"
"WIPRO","23-Sep-2009","29-Oct-2009","577.7","583.85","564.55","568.6","569.6","568.6","1712","5915.19","1243200","563400","        566.85"
"WIPRO","23-Sep-2009","26-Nov-2009","0","0","0","575.15","0","571.5","0","0","0","0","        566.85"
"WIPRO","24-Sep-2009","24-Sep-2009","568.3","586.5","559.1","580.8","580.8","580.8","2326","7962.98","1002600","-264600","        580.80"
"WIPRO","24-Sep-2009","29-Oct-2009","565","584.6","560.4","580.45","582.3","580.45","2381","8186.74","1624200","381000","        580.80"
"WIPRO","24-Sep-2009","26-Nov-2009","571.2","571.2","571.2","571.2","571.2","585.5","1","3.43","600","600","        580.80"
"WIPRO","25-Sep-2009","29-Oct-2009","572","584.4","566.15","567.95","566.75","567.95","1457","5015.37","1578600","-45600","        566.35"
"WIPRO","25-Sep-2009","26-Nov-2009","578.9","579.55","568.2","568.2","568.2","568.2","68","234.92","41400","40800","        566.35"
"WIPRO","25-Sep-2009","31-Dec-2009","0","0","0","588.1","0","573.4","0","0","0","0","        566.35"
"WIPRO","29-Sep-2009","29-Oct-2009","571","589","571","582.2","582.4","582.2","2387","8346.93","1573200","-5400","        582.05"
"WIPRO","29-Sep-2009","26-Nov-2009","593","593","576.75","582.85","582.4","582.85","18","62.95","49200","7800","        582.05"
"WIPRO","29-Sep-2009","31-Dec-2009","0","0","0","588.1","0","589.05","0","0","0","0","        582.05"
"WIPRO","30-Sep-2009","29-Oct-2009","584","606.9","583.5","602.2","603","602.2","3162","11318.07","1780200","207000","        602.10"
"WIPRO","30-Sep-2009","26-Nov-2009","592.2","605.75","592.2","605.2","605.2","606.55","16","57.61","52200","3000","        602.10"
"WIPRO","30-Sep-2009","31-Dec-2009","0","0","0","588.1","0","609.25","0","0","0","0","        602.10"
"WIPRO","01-Oct-2009","29-Oct-2009","598.2","614.75","592.55","606.8","606","606.8","2907","10582.15","1954200","174000","        608.05"
"WIPRO","01-Oct-2009","26-Nov-2009","595.7","613.65","593","608","608","608","34","124.25","66000","13800","        608.05"
"WIPRO","01-Oct-2009","31-Dec-2009","0","0","0","588.1","0","615.1","0","0","0","0","        608.05"
"WIPRO","05-Oct-2009","29-Oct-2009","598","615.95","598","610.2","610","610.2","2347","8591.17","1957800","3600","        608.55"
"WIPRO","05-Oct-2009","26-Nov-2009","613","615.65","605.55","607.9","607.9","607.9","31","113.55","59400","-6600","        608.55"
"WIPRO","05-Oct-2009","31-Dec-2009","0","0","0","588.1","0","615.2","0","0","0","0","        608.55"
"WIPRO","06-Oct-2009","29-Oct-2009","613.5","621.25","594.8","601.95","598","601.95","3112","11324.26","1949400","-8400","        599.55"
"WIPRO","06-Oct-2009","26-Nov-2009","618","618","597.1","602.45","597.1","602.45","23","83.73","61800","2400","        599.55"
"WIPRO","06-Oct-2009","31-Dec-2009","0","0","0","588.1","0","606","0","0","0","0","        599.55"
"WIPRO","07-Oct-2009","29-Oct-2009","604","604.6","573.15","574.8","574","574.8","3086","10828.29","1924200","-25200","        572.20"
"WIPRO","07-Oct-2009","26-Nov-2009","598","598","574.15","576.8","576.45","576.8","17","59.52","64800","3000","        572.20"
"WIPRO","07-Oct-2009","31-Dec-2009","0","0","0","588.1","0","578.3","0","0","0","0","        572.20"
"WIPRO","08-Oct-2009","29-Oct-2009","574","580.6","562.5","567.15","566.4","567.15","2731","9355.75","1979400","55200","        565.15"
"WIPRO","08-Oct-2009","26-Nov-2009","577.4","578.6","558.1","569.75","569.75","568.65","18","61.62","65400","600","        565.15"
"WIPRO","08-Oct-2009","31-Dec-2009","0","0","0","588.1","0","571.2","0","0","0","0","        565.15"
"WIPRO","09-Oct-2009","29-Oct-2009","571.95","577.85","550.5","553.5","555","553.5","3474","11675.13","1984800","5400","        551.60"
"WIPRO","09-Oct-2009","26-Nov-2009","570","570","555.05","555.05","555.05","555.05","16","53.72","66600","1200","        551.60"
"WIPRO","09-Oct-2009","31-Dec-2009","0","0","0","588.1","0","557.35","0","0","0","0","        551.60"
"WIPRO","12-Oct-2009","29-Oct-2009","555.1","578","555","575.05","578","575.05","2225","7571.74","1969800","-15000","        573.50"
"WIPRO","12-Oct-2009","26-Nov-2009","563.5","575.9","560.1","575.45","574.65","575.45","26","88.5","63600","-3000","        573.50"
"WIPRO","12-Oct-2009","31-Dec-2009","0","0","0","588.1","0","579.15","0","0","0","0","        573.50"
"WIPRO","14-Oct-2009","29-Oct-2009","575.65","589.45","575.65","582.95","581.9","582.95","1762","6167.52","1949400","-20400","        581.70"
"WIPRO","14-Oct-2009","26-Nov-2009","589.15","589.15","580.8","587.5","587.5","584.8","4","14.05","63000","-600","        581.70"
"WIPRO","14-Oct-2009","31-Dec-2009","0","0","0","588.1","0","587.35","0","0","0","0","        581.70"
"WIPRO","15-Oct-2009","29-Oct-2009","586.15","588.8","566.25","574.95","576.1","574.95","2009","6914.85","1943400","-6000","        574.95"
"WIPRO","15-Oct-2009","26-Nov-2009","573.5","593.05","569.8","574.8","574.8","574.8","23","78.97","67800","4800","        574.95"
"WIPRO","15-Oct-2009","31-Dec-2009","0","0","0","588.1","0","580.4","0","0","0","0","        574.95"
"WIPRO","16-Oct-2009","29-Oct-2009","574.5","584.9","571.3","574.6","576","574.6","1198","4144.94","1960800","17400","        572.40"
"WIPRO","16-Oct-2009","26-Nov-2009","582.1","582.15","573.95","575.45","575.7","575.45","18","62.36","74400","6600","        572.40"
"WIPRO","16-Oct-2009","31-Dec-2009","0","0","0","588.1","0","577.9","0","0","0","0","        572.40"
"WIPRO","17-Oct-2009","29-Oct-2009","577.2","577.2","570.6","573.55","573.1","573.55","256","881.93","1951800","-9000","        573.75"
"WIPRO","17-Oct-2009","26-Nov-2009","573.75","573.75","573.75","573.75","573.75","573.75","1","3.44","74400","0","        573.75"
"WIPRO","17-Oct-2009","31-Dec-2009","0","0","0","588.1","0","579.2","0","0","0","0","        573.75"
"WIPRO","20-Oct-2009","29-Oct-2009","578.95","597.45","577.1","584.25","585","584.25","2190","7740.23","1983000","31200","        584.00"
"WIPRO","20-Oct-2009","26-Nov-2009","584.35","598.45","584.35","584.75","584.75","584.75","41","145.51","78000","3600","        584.00"
"WIPRO","20-Oct-2009","31-Dec-2009","0","0","0","588.1","0","589.4","0","0","0","0","        584.00"
"WIPRO","21-Oct-2009","29-Oct-2009","586.5","600.9","585.5","588.6","587.9","588.6","1971","7019.75","1988400","5400","        586.55"
"WIPRO","21-Oct-2009","26-Nov-2009","591.2","599.65","589.15","590.15","591","590.15","63","224.51","98400","20400","        586.55"
"WIPRO","21-Oct-2009","31-Dec-2009","0","0","0","588.1","0","591.75","0","0","0","0","        586.55"
"WIPRO","22-Oct-2009","29-Oct-2009","589","595.5","575.3","579.2","581","579.2","1652","5795.34","2023800","35400","        577.05"
"WIPRO","22-Oct-2009","26-Nov-2009","593.55","597.8","577","582.35","583.6","582.35","111","389.22","126000","27600","        577.05"
"WIPRO","22-Oct-2009","31-Dec-2009","0","0","0","588.1","0","582.1","0","0","0","0","        577.05"
"WIPRO","23-Oct-2009","29-Oct-2009","583.5","595.35","582.8","591.1","592.4","591.1","1668","5902.72","1977600","-46200","        588.80"
"WIPRO","23-Oct-2009","26-Nov-2009","594.9","596.5","586","592.75","594","592.75","144","510.96","156000","30000","        588.80"
"WIPRO","23-Oct-2009","31-Dec-2009","0","0","0","588.1","0","593.85","0","0","0","0","        588.80"
"WIPRO","26-Oct-2009","29-Oct-2009","592.65","602.7","590.2","593.55","592.5","593.55","2240","8018.29","1777200","-200400","        591.40"
"WIPRO","26-Oct-2009","26-Nov-2009","594.45","605","588","594.65","594.45","594.65","742","2663.3","457800","301800","        591.40"
"WIPRO","26-Oct-2009","31-Dec-2009","0","0","0","588.1","0","596.35","0","0","0","0","        591.40"
"WIPRO","27-Oct-2009","29-Oct-2009","601","618","595","606.5","606.8","606.5","3302","12093.62","1527600","-249600","        605.65"
"WIPRO","27-Oct-2009","26-Nov-2009","600.2","620","600","607.8","605","607.8","1564","5742.05","743400","285600","        605.65"
"WIPRO","27-Oct-2009","31-Dec-2009","0","0","0","588.1","0","610.65","0","0","0","0","        605.65"
"WIPRO","28-Oct-2009","29-Oct-2009","608","630.9","605.95","625.65","626.9","625.65","3589","13369.6","1052400","-475200","        625.70"
"WIPRO","28-Oct-2009","26-Nov-2009","609.8","629.45","608.5","626.15","627.5","626.15","2329","8695.77","1211400","468000","        625.70"
"WIPRO","28-Oct-2009","31-Dec-2009","0","0","0","588.1","0","630.7","0","0","0","0","        625.70"
