"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ZEEL","02-Jan-2012","25-Jan-2012","118.5","119","116.7","117.6","118.35","117.6","134","314.81","5456000","18000","        116.80"
"ZEEL","02-Jan-2012","23-Feb-2012","0","0","0","118.8","118.8","118.45","1","2.38","10000","2000","        116.80"
"ZEEL","02-Jan-2012","29-Mar-2012","0","0","0","120.8","0","119.6","0","0","0","0","        116.80"
"ZEEL","03-Jan-2012","25-Jan-2012","118","121.85","118","119.2","119.4","119.2","327","783.08","5570000","114000","        118.10"
"ZEEL","03-Jan-2012","23-Feb-2012","116.55","123.3","116.55","119.65","123.3","119.65","3","7.19","8000","-2000","        118.10"
"ZEEL","03-Jan-2012","29-Mar-2012","0","0","0","120.8","0","120.85","0","0","0","0","        118.10"
"ZEEL","04-Jan-2012","25-Jan-2012","118.8","119.65","117.5","117.85","117.75","117.85","105","248.04","5588000","18000","        116.90"
"ZEEL","04-Jan-2012","23-Feb-2012","0","0","0","119.65","123.3","118.5","0","0","8000","0","        116.90"
"ZEEL","04-Jan-2012","29-Mar-2012","0","0","0","120.8","0","119.65","0","0","0","0","        116.90"
"ZEEL","05-Jan-2012","25-Jan-2012","117.05","117.85","115.4","117.45","117.25","117.45","303","708","5496000","-92000","        117.00"
"ZEEL","05-Jan-2012","23-Feb-2012","117.45","117.45","117.45","117.45","117.45","118.55","2","4.72","10000","2000","        117.00"
"ZEEL","05-Jan-2012","29-Mar-2012","0","0","0","120.8","0","119.7","0","0","0","0","        117.00"
"ZEEL","06-Jan-2012","25-Jan-2012","116.5","117.8","114.65","116.7","117","116.7","358","832.58","5508000","12000","        115.95"
"ZEEL","06-Jan-2012","23-Feb-2012","117.55","117.55","117.55","117.55","117.55","117.45","1","2.35","10000","0","        115.95"
"ZEEL","06-Jan-2012","29-Mar-2012","0","0","0","120.8","0","118.6","0","0","0","0","        115.95"
"ZEEL","07-Jan-2012","25-Jan-2012","116.25","117.4","116.25","117","116.7","117","13","30.39","5508000","0","        116.35"
"ZEEL","07-Jan-2012","23-Feb-2012","0","0","0","117.55","117.55","117.85","0","0","10000","0","        116.35"
"ZEEL","07-Jan-2012","29-Mar-2012","0","0","0","120.8","0","118.95","0","0","0","0","        116.35"
"ZEEL","09-Jan-2012","25-Jan-2012","116.5","118","115.6","116.35","116.2","116.35","179","418.04","5582000","74000","        115.70"
"ZEEL","09-Jan-2012","23-Feb-2012","117.65","117.65","117.35","117.35","117.35","117.35","2","4.7","12000","2000","        115.70"
"ZEEL","09-Jan-2012","29-Mar-2012","0","0","0","120.8","0","118.25","0","0","0","0","        115.70"
"ZEEL","10-Jan-2012","25-Jan-2012","117","117.75","116.3","116.8","117","116.8","336","785.54","5572000","-10000","        116.00"
"ZEEL","10-Jan-2012","23-Feb-2012","117.75","117.75","117.5","117.8","117.65","117.8","7","16.48","20000","8000","        116.00"
"ZEEL","10-Jan-2012","29-Mar-2012","0","0","0","120.8","0","118.5","0","0","0","0","        116.00"
"ZEEL","11-Jan-2012","25-Jan-2012","117.1","119.55","116.3","116.65","116.5","116.65","366","864.37","5662000","90000","        115.95"
"ZEEL","11-Jan-2012","23-Feb-2012","0","0","0","117.8","117.65","117.3","0","0","20000","0","        115.95"
"ZEEL","11-Jan-2012","29-Mar-2012","0","0","0","120.8","0","118.4","0","0","0","0","        115.95"
"ZEEL","12-Jan-2012","25-Jan-2012","116.8","122.2","116.15","121.2","121.5","121.2","523","1255.76","5638000","-24000","        120.10"
"ZEEL","12-Jan-2012","23-Feb-2012","120.75","121.9","120.75","121.9","121.9","121.9","4","9.7","28000","8000","        120.10"
"ZEEL","12-Jan-2012","29-Mar-2012","0","0","0","120.8","0","122.6","0","0","0","0","        120.10"
"ZEEL","13-Jan-2012","25-Jan-2012","122","126","120.2","122.6","121.1","122.6","820","2019.71","5684000","46000","        121.90"
"ZEEL","13-Jan-2012","23-Feb-2012","122.95","125.1","121","123","123.45","123","104","259.96","180000","152000","        121.90"
"ZEEL","13-Jan-2012","29-Mar-2012","125.5","126.45","125.5","126.45","126.45","124.4","3","7.55","6000","6000","        121.90"
"ZEEL","16-Jan-2012","25-Jan-2012","121.25","122.95","119.75","120.5","120","120.5","145","350.68","5734000","50000","        120.00"
"ZEEL","16-Jan-2012","23-Feb-2012","122.1","122.1","120.7","121.4","120.7","121.4","11","26.72","184000","4000","        120.00"
"ZEEL","16-Jan-2012","29-Mar-2012","0","0","0","126.45","126.45","122.4","0","0","6000","0","        120.00"
"ZEEL","17-Jan-2012","25-Jan-2012","121","123.75","120.15","120.4","120.4","120.4","228","553.58","5800000","66000","        119.95"
"ZEEL","17-Jan-2012","23-Feb-2012","123.2","123.2","121.7","121.7","121.7","121.2","22","53.92","222000","38000","        119.95"
"ZEEL","17-Jan-2012","29-Mar-2012","0","0","0","126.45","126.45","122.35","0","0","6000","0","        119.95"
