"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ZEEL","01-Jul-2019","25-Jul-2019","335.4","365.95","327.85","358.8","365.1","358.8","19147","85892.89","22218300","326300","        358.35"
"ZEEL","01-Jul-2019","29-Aug-2019","338.5","367.05","330.05","360.65","367","360.65","202","908.93","131300","49400","        358.35"
"ZEEL","01-Jul-2019","26-Sep-2019","334.45","365.2","334.45","365.2","365.2","365.2","5","22.54","3900","3900","        358.35"
"ZEEL","02-Jul-2019","25-Jul-2019","359.75","367.9","350.7","355.25","354.35","355.25","18838","87840.64","22092200","-126100","        356.40"
"ZEEL","02-Jul-2019","29-Aug-2019","363.85","369.15","355.2","356.95","356.75","356.95","147","688.47","120900","-10400","        356.40"
"ZEEL","02-Jul-2019","26-Sep-2019","365.65","365.65","358.6","358.6","358.6","362.15","8","37.52","9100","5200","        356.40"
"ZEEL","03-Jul-2019","25-Jul-2019","352.6","364.2","352.6","359.75","359.55","359.75","9595","44896.35","21972600","-119600","        360.90"
"ZEEL","03-Jul-2019","29-Aug-2019","358.2","365.75","358.15","362","361.85","362","98","461.53","137800","16900","        360.90"
"ZEEL","03-Jul-2019","26-Sep-2019","361","365.5","361","365.5","365.5","366.65","4","18.9","13000","3900","        360.90"
"ZEEL","04-Jul-2019","25-Jul-2019","363.35","365.8","354.3","355.2","355.6","355.2","8942","41907.5","21760700","-211900","        356.45"
"ZEEL","04-Jul-2019","29-Aug-2019","366.25","367","356.95","357.2","357.1","357.2","93","437.76","139100","1300","        356.45"
"ZEEL","04-Jul-2019","26-Sep-2019","363.4","367","363.4","367","367","362.05","2","9.5","15600","2600","        356.45"
"ZEEL","05-Jul-2019","25-Jul-2019","356.1","358.55","342.5","344.6","346.55","344.6","5043","23005","21343400","-417300","        345.90"
"ZEEL","05-Jul-2019","29-Aug-2019","358.5","358.55","344.8","346.65","349.75","346.65","95","434.72","132600","-6500","        345.90"
"ZEEL","05-Jul-2019","26-Sep-2019","0","0","0","367","367","351.2","0","0","15600","0","        345.90"
"ZEEL","08-Jul-2019","25-Jul-2019","345.3","346.5","329.45","332.05","332.75","332.05","6078","26574.96","21470800","127400","        334.65"
"ZEEL","08-Jul-2019","29-Aug-2019","347.1","347.15","331.7","334.1","334.75","334.1","112","492.4","156000","23400","        334.65"
"ZEEL","08-Jul-2019","26-Sep-2019","339.2","339.2","339.2","339.2","339.2","339.65","1","4.41","14300","-1300","        334.65"
"ZEEL","09-Jul-2019","25-Jul-2019","333.3","338.45","324.85","329.7","329.3","329.7","8641","37155.92","22023300","552500","        331.75"
"ZEEL","09-Jul-2019","29-Aug-2019","335","340","327.9","331.45","331.4","331.45","183","794.2","213200","57200","        331.75"
"ZEEL","09-Jul-2019","26-Sep-2019","339","339","338.9","338.9","338.9","336.65","2","8.81","15600","1300","        331.75"
"ZEEL","10-Jul-2019","25-Jul-2019","329.35","338.85","327.8","330.7","331.05","330.7","6407","27720.55","22094800","71500","        332.75"
"ZEEL","10-Jul-2019","29-Aug-2019","334.3","340.2","329.6","332.35","333.15","332.35","280","1214.08","300300","87100","        332.75"
"ZEEL","10-Jul-2019","26-Sep-2019","340","340.45","333.35","333.35","333.35","337.6","3","13.18","15600","0","        332.75"
"ZEEL","11-Jul-2019","25-Jul-2019","333.6","356.25","332.55","352.8","355.25","352.8","10743","48199.74","22106500","11700","        354.80"
"ZEEL","11-Jul-2019","29-Aug-2019","337","358","334.7","355.25","357","355.25","360","1616.46","365300","65000","        354.80"
"ZEEL","11-Jul-2019","26-Sep-2019","342.4","350","342.4","350","350","359.95","4","17.92","19500","3900","        354.80"
"ZEEL","12-Jul-2019","25-Jul-2019","354.45","354.85","345.65","348.4","348.5","348.4","6114","27836.01","21890700","-215800","        350.70"
"ZEEL","12-Jul-2019","29-Aug-2019","352.15","355.65","347.7","350.35","350.05","350.35","262","1200.49","417300","52000","        350.70"
"ZEEL","12-Jul-2019","26-Sep-2019","351.85","351.85","349.85","349.85","349.85","355.7","3","13.67","19500","0","        350.70"
"ZEEL","15-Jul-2019","25-Jul-2019","349.4","351","341.6","347.05","346","347.05","5653","25442.64","23316800","1426100","        345.60"
"ZEEL","15-Jul-2019","29-Aug-2019","349.15","352.35","343.8","348.7","347.9","348.7","502","2271.53","656500","239200","        345.60"
"ZEEL","15-Jul-2019","26-Sep-2019","351.95","351.95","347","350.4","351.2","350.4","8","36.44","22100","2600","        345.60"
"ZEEL","16-Jul-2019","25-Jul-2019","344.7","354","340.55","347.65","347.15","347.65","7026","31746.41","24352900","1036100","        346.25"
"ZEEL","16-Jul-2019","29-Aug-2019","346.9","355.4","342.75","349.9","349.1","349.9","746","3387.6","1007500","351000","        346.25"
"ZEEL","16-Jul-2019","26-Sep-2019","0","0","0","350.4","351.2","350.9","0","0","22100","0","        346.25"
"ZEEL","17-Jul-2019","25-Jul-2019","347.35","356.85","346.35","354.35","356.4","354.35","7054","32394.51","24044800","-308100","        353.25"
"ZEEL","17-Jul-2019","29-Aug-2019","349.95","358.35","348.2","355.7","357.5","355.7","441","2033.5","1043900","36400","        353.25"
"ZEEL","17-Jul-2019","26-Sep-2019","0","0","0","350.4","351.2","357.9","0","0","22100","0","        353.25"
"ZEEL","18-Jul-2019","25-Jul-2019","354","365.85","350.1","360.2","361.05","360.2","11298","52604.1","23739300","-305500","        360.10"
"ZEEL","18-Jul-2019","29-Aug-2019","355","367.55","352.4","362.35","363.05","362.35","1387","6487.87","1664000","620100","        360.10"
"ZEEL","18-Jul-2019","26-Sep-2019","357.9","369.1","355.65","364.65","365.65","364.65","7","32.93","26000","3900","        360.10"
"ZEEL","19-Jul-2019","25-Jul-2019","360.7","364","342.7","352.55","352.8","352.55","12685","58389.72","21721700","-2017600","        352.95"
"ZEEL","19-Jul-2019","29-Aug-2019","363.95","365.75","344.15","353.85","355.4","353.85","2721","12575.04","2815800","1151800","        352.95"
"ZEEL","19-Jul-2019","26-Sep-2019","363.75","365.4","348.05","348.05","348.05","357.45","14","65.55","28600","2600","        352.95"
"ZEEL","22-Jul-2019","25-Jul-2019","350.1","366.85","349.5","364","363.8","364","11006","51751.27","18532800","-3188900","        364.05"
"ZEEL","22-Jul-2019","29-Aug-2019","353.75","368.05","351.65","365.6","365.15","365.6","5132","24243.84","6225700","3409900","        364.05"
"ZEEL","22-Jul-2019","26-Sep-2019","365.25","369.95","365.25","368.1","368.1","368.5","24","114.47","44200","15600","        364.05"
"ZEEL","23-Jul-2019","25-Jul-2019","362.55","367.55","354.3","360.75","360","360.75","12413","57987.77","11013600","-7519200","        360.80"
"ZEEL","23-Jul-2019","29-Aug-2019","365","368.8","355.8","361.95","360.95","361.95","9011","42237.11","13847600","7621900","        360.80"
"ZEEL","23-Jul-2019","26-Sep-2019","362.9","369.95","359.5","364.5","364.5","364.5","20","94.39","53300","9100","        360.80"
"ZEEL","24-Jul-2019","25-Jul-2019","363.5","383.55","358.65","379","377","379","19244","92749.37","4583800","-6429800","        379.60"
"ZEEL","24-Jul-2019","29-Aug-2019","365.1","385.5","360.2","380.95","378","380.95","15323","74332.36","19195800","5348200","        379.60"
"ZEEL","24-Jul-2019","26-Sep-2019","372.1","386.9","362.65","381.55","381","381.55","84","408.35","67600","14300","        379.60"
"ZEEL","25-Jul-2019","25-Jul-2019","375.95","395.05","374.25","389.95","395","391.95","8700","43592.49","373100","-4210700","        391.95"
"ZEEL","25-Jul-2019","29-Aug-2019","377","394.45","375.7","392.35","392.8","392.35","15077","75924.84","21408400","2212600","        391.95"
"ZEEL","25-Jul-2019","26-Sep-2019","388.7","395.9","382.3","395","395.9","395","73","370.68","88400","20800","        391.95"
"ZEEL","26-Jul-2019","29-Aug-2019","391.85","406","390.1","404.7","404.9","404.7","11459","59681.67","19619600","-1788800","        403.90"
"ZEEL","26-Jul-2019","26-Sep-2019","395","407.3","392.3","406.8","407.25","406.8","109","571.27","106600","18200","        403.90"
"ZEEL","26-Jul-2019","31-Oct-2019","0","0","0","399.05","0","411.1","0","0","0","0","        403.90"
"ZEEL","29-Jul-2019","29-Aug-2019","402.5","404.05","385","389.1","389.3","389.1","8057","41064.51","18826600","-793000","        387.15"
"ZEEL","29-Jul-2019","26-Sep-2019","405","405","387.25","394.75","394.75","391.35","116","593.22","119600","13000","        387.15"
"ZEEL","29-Jul-2019","31-Oct-2019","0","0","0","399.05","0","393.8","0","0","0","0","        387.15"
"ZEEL","30-Jul-2019","29-Aug-2019","390.1","393.95","380.45","382.95","385.4","382.95","8124","40943.64","18978700","127400","        381.10"
"ZEEL","30-Jul-2019","26-Sep-2019","393.5","395.15","382.95","384.65","383.45","384.65","247","1251.1","261300","141700","        381.10"
"ZEEL","30-Jul-2019","31-Oct-2019","0","0","0","399.05","0","387.55","0","0","0","0","        381.10"
"ZEEL","31-Jul-2019","29-Aug-2019","382.9","392.75","359.1","363.8","363.45","363.8","18588","89157.04","19964100","959400","        361.60"
"ZEEL","31-Jul-2019","26-Sep-2019","383.8","393.3","361.1","365.55","364.75","365.55","419","2010.66","375700","114400","        361.60"
"ZEEL","31-Jul-2019","31-Oct-2019","378.85","393.3","378.85","381.3","381.3","367.65","3","14.99","2600","2600","        361.60"
"ZEEL","01-Aug-2019","29-Aug-2019","355.9","362.95","336.4","348.3","348.85","348.3","23563","107209.25","20650500","686400","        346.85"
"ZEEL","01-Aug-2019","26-Sep-2019","355","363.65","338.4","350.4","350.95","350.4","312","1426.31","414700","39000","        346.85"
"ZEEL","01-Aug-2019","31-Oct-2019","360","360","342","351.05","351.05","351.05","20","90.8","16900","14300","        346.85"
"ZEEL","02-Aug-2019","29-Aug-2019","346.4","354.55","340.8","342.85","341.75","342.85","8887","40059.75","19887400","-763100","        341.50"
"ZEEL","02-Aug-2019","26-Sep-2019","347.9","354.95","342.5","344.5","342.9","344.5","181","819.26","423800","9100","        341.50"
"ZEEL","02-Aug-2019","31-Oct-2019","348.25","355.5","345.65","345.65","345.65","345.65","6","27.22","20800","3900","        341.50"
"ZEEL","05-Aug-2019","29-Aug-2019","341","342.8","326.3","332.4","332","332.4","9606","41588.28","19914700","27300","        330.95"
"ZEEL","05-Aug-2019","26-Sep-2019","340.15","340.9","329.65","334.3","334.15","334.3","163","708.64","462800","39000","        330.95"
"ZEEL","05-Aug-2019","31-Oct-2019","339.3","339.3","330","335.65","335.65","335.65","8","34.8","27300","6500","        330.95"
"ZEEL","06-Aug-2019","29-Aug-2019","331.85","331.85","306.5","314.35","313.7","314.35","18919","77858.68","21931000","2016300","        312.45"
"ZEEL","06-Aug-2019","26-Sep-2019","334.45","334.45","308.25","316.5","314.95","316.5","319","1316.2","505700","42900","        312.45"
"ZEEL","06-Aug-2019","31-Oct-2019","330","330","312.5","316","316","317.3","23","94.79","36400","9100","        312.45"
"ZEEL","07-Aug-2019","29-Aug-2019","315.05","342.35","315.05","327.65","322.7","327.65","17388","75030.73","20780500","-1150500","        327.90"
"ZEEL","07-Aug-2019","26-Sep-2019","323","342.75","321.6","328.4","322.65","328.4","337","1457.2","470600","-35100","        327.90"
"ZEEL","07-Aug-2019","31-Oct-2019","336","336","336","336","336","332.9","1","4.37","36400","0","        327.90"
"ZEEL","08-Aug-2019","29-Aug-2019","325.05","335.6","320.65","332.7","333.25","332.7","9024","38563.48","20170800","-609700","        331.45"
"ZEEL","08-Aug-2019","26-Sep-2019","328.95","336.55","323.3","334.55","335.7","334.55","180","774.45","473200","2600","        331.45"
"ZEEL","08-Aug-2019","31-Oct-2019","332.9","337","332.1","336.45","337","336.45","4","17.39","36400","0","        331.45"
"ZEEL","09-Aug-2019","29-Aug-2019","332.7","339.25","324.65","328.8","327.6","328.8","6654","28789.76","19341400","-829400","        328.10"
"ZEEL","09-Aug-2019","26-Sep-2019","335.85","340.65","327","330.1","328.2","330.1","117","507.34","491400","18200","        328.10"
"ZEEL","09-Aug-2019","31-Oct-2019","339.15","339.15","330.1","330.3","330.1","330.3","7","30.29","41600","5200","        328.10"
"ZEEL","13-Aug-2019","29-Aug-2019","329.7","338.4","325.45","327.45","329.25","327.45","7919","34188.99","19528600","187200","        327.30"
"ZEEL","13-Aug-2019","26-Sep-2019","328.2","339.15","326.85","328.75","330.8","328.75","373","1612.84","663000","171600","        327.30"
"ZEEL","13-Aug-2019","31-Oct-2019","338","338.7","329.55","330","329.55","330","10","43.52","45500","3900","        327.30"
"ZEEL","14-Aug-2019","29-Aug-2019","331.5","347.9","331.5","341.8","342.3","341.8","9019","40001.98","19154200","-374400","        341.60"
"ZEEL","14-Aug-2019","26-Sep-2019","336.45","348.85","335.45","343.15","343.9","343.15","204","905.88","738400","75400","        341.60"
"ZEEL","14-Aug-2019","31-Oct-2019","340.8","343.45","339","343.45","343.45","346.2","3","13.3","46800","1300","        341.60"
"ZEEL","16-Aug-2019","29-Aug-2019","342.5","347.55","336.25","346.4","346.35","346.4","5180","23082.75","18660200","-494000","        346.60"
