"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ZEEL","03-May-2010","27-May-2010","302.65","305.4","297.2","299.4","299.85","299.4","501","2104.71","3327800","-133000","        298.55"
"ZEEL","03-May-2010","24-Jun-2010","300.2","300.2","296.5","296.5","296.5","300.75","4","16.69","85400","-1400","        298.55"
"ZEEL","03-May-2010","29-Jul-2010","0","0","0","302.65","0","302.2","0","0","0","0","        298.55"
"ZEEL","04-May-2010","27-May-2010","300","301.05","290","290.6","290.5","290.6","925","3798.46","3336200","8400","        289.65"
"ZEEL","04-May-2010","24-Jun-2010","289.7","296.35","289.7","290.2","290.25","290.2","5","20.46","88200","2800","        289.65"
"ZEEL","04-May-2010","29-Jul-2010","0","0","0","302.65","0","293.1","0","0","0","0","        289.65"
"ZEEL","05-May-2010","27-May-2010","283.25","295.7","283.25","294.65","294.4","294.65","638","2590.79","3271800","-64400","        293.55"
"ZEEL","05-May-2010","24-Jun-2010","285","285","285","285","285","295.6","1","3.99","89600","1400","        293.55"
"ZEEL","05-May-2010","29-Jul-2010","0","0","0","302.65","0","297","0","0","0","0","        293.55"
"ZEEL","06-May-2010","27-May-2010","290","293.3","285.5","287.25","287.45","287.25","440","1778.15","3238200","-33600","        286.35"
"ZEEL","06-May-2010","24-Jun-2010","290.9","290.9","287.1","287.1","287.1","287.1","2","8.09","91000","1400","        286.35"
"ZEEL","06-May-2010","29-Jul-2010","0","0","0","302.65","0","289.65","0","0","0","0","        286.35"
"ZEEL","07-May-2010","27-May-2010","281.6","289.55","277.05","280.1","285.05","280.1","526","2090.2","3182200","-56000","        278.90"
"ZEEL","07-May-2010","24-Jun-2010","285.1","285.1","279.2","279.2","279.2","279.2","2","7.9","91000","0","        278.90"
"ZEEL","07-May-2010","29-Jul-2010","0","0","0","302.65","0","282.1","0","0","0","0","        278.90"
"ZEEL","10-May-2010","27-May-2010","286.5","290.25","282","286.8","288","286.8","656","2628.98","3039400","-142800","        285.45"
"ZEEL","10-May-2010","24-Jun-2010","285.15","286","285","285.2","286","285.2","7","27.95","92400","1400","        285.45"
"ZEEL","10-May-2010","29-Jul-2010","0","0","0","302.65","0","288.6","0","0","0","0","        285.45"
"ZEEL","11-May-2010","27-May-2010","287","287","278.1","279.95","279","279.95","542","2137.86","2902200","-137200","        278.95"
"ZEEL","11-May-2010","24-Jun-2010","281","281","279","280","280","280.65","13","51","100800","8400","        278.95"
"ZEEL","11-May-2010","29-Jul-2010","0","0","0","302.65","0","281.95","0","0","0","0","        278.95"
"ZEEL","12-May-2010","27-May-2010","282","290.25","280.75","288.9","289.5","288.9","816","3269.86","2762200","-140000","        288.60"
"ZEEL","12-May-2010","24-Jun-2010","284","287","284","287","287","287","5","20.05","99400","-1400","        288.60"
"ZEEL","12-May-2010","29-Jul-2010","0","0","0","302.65","0","291.7","0","0","0","0","        288.60"
"ZEEL","13-May-2010","27-May-2010","292","303.9","292","302.25","301","302.25","1173","4927.45","2658600","-103600","        302.65"
"ZEEL","13-May-2010","24-Jun-2010","295","309.05","295","301.2","300","301.2","42","177.08","106400","7000","        302.65"
"ZEEL","13-May-2010","29-Jul-2010","0","0","0","302.65","0","305.9","0","0","0","0","        302.65"
"ZEEL","14-May-2010","27-May-2010","300","307","293.55","295.75","296.3","295.75","1263","5326.38","2660000","1400","        294.70"
"ZEEL","14-May-2010","24-Jun-2010","297.45","306","293.55","294.75","295.8","294.75","31","129.94","113400","7000","        294.70"
"ZEEL","14-May-2010","29-Jul-2010","0","0","0","302.65","0","297.8","0","0","0","0","        294.70"
"ZEEL","17-May-2010","27-May-2010","291.3","307.5","290.3","306.4","307.45","306.4","850","3571.89","2567600","-92400","        306.30"
"ZEEL","17-May-2010","24-Jun-2010","292.8","305.1","291.05","304.9","305","304.9","34","142.37","120400","7000","        306.30"
"ZEEL","17-May-2010","29-Jul-2010","0","0","0","302.65","0","309.4","0","0","0","0","        306.30"
"ZEEL","18-May-2010","27-May-2010","305.1","307.95","295.5","296.6","297","296.6","734","3084.23","2711800","144200","        295.35"
"ZEEL","18-May-2010","24-Jun-2010","306.7","306.7","295","295.95","296","295.95","27","113.44","120400","0","        295.35"
"ZEEL","18-May-2010","29-Jul-2010","0","0","0","302.65","0","298.3","0","0","0","0","        295.35"
"ZEEL","19-May-2010","27-May-2010","294","302.45","284.75","285.95","286.05","285.95","1000","4085.6","2580200","-131600","        285.45"
"ZEEL","19-May-2010","24-Jun-2010","300.45","300.45","285","285.5","285.45","285.5","76","307.93","154000","33600","        285.45"
"ZEEL","19-May-2010","29-Jul-2010","0","0","0","302.65","0","288.3","0","0","0","0","        285.45"
"ZEEL","20-May-2010","27-May-2010","288.5","297.1","288.5","295.2","296","295.2","724","2977.7","2476600","-103600","        295.25"
"ZEEL","20-May-2010","24-Jun-2010","290.8","296.05","290.65","295.05","295.7","295.05","30","123.39","159600","5600","        295.25"
"ZEEL","20-May-2010","29-Jul-2010","0","0","0","302.65","0","298.15","0","0","0","0","        295.25"
"ZEEL","21-May-2010","27-May-2010","289","293.35","285.05","288.8","292.95","288.8","706","2849.82","2396800","-79800","        287.60"
"ZEEL","21-May-2010","24-Jun-2010","286.4","292.3","285.7","289","290","289","98","395.79","215600","56000","        287.60"
"ZEEL","21-May-2010","29-Jul-2010","0","0","0","302.65","0","290.35","0","0","0","0","        287.60"
"ZEEL","24-May-2010","27-May-2010","294.55","295.9","280.6","282.05","282.2","282.05","660","2654.8","2221800","-175000","        280.95"
"ZEEL","24-May-2010","24-Jun-2010","293.4","293.5","281.6","282.8","283","282.8","253","1023.18","471800","256200","        280.95"
"ZEEL","24-May-2010","29-Jul-2010","0","0","0","302.65","0","283.55","0","0","0","0","        280.95"
"ZEEL","25-May-2010","27-May-2010","279.5","281.7","273.7","276.8","276.95","276.8","872","3384.3","1850800","-371000","        276.25"
"ZEEL","25-May-2010","24-Jun-2010","280","282","272.25","277.9","276.65","277.9","561","2181.38","978600","506800","        276.25"
"ZEEL","25-May-2010","29-Jul-2010","0","0","0","302.65","0","278.8","0","0","0","0","        276.25"
"ZEEL","26-May-2010","27-May-2010","281.85","283","273.45","277.1","276.25","277.1","877","3403.3","1374800","-476000","        275.75"
"ZEEL","26-May-2010","24-Jun-2010","282.5","283.95","274.25","278.3","277.4","278.3","755","2941.82","1611400","632800","        275.75"
"ZEEL","26-May-2010","29-Jul-2010","0","0","0","302.65","0","278.3","0","0","0","0","        275.75"
"ZEEL","27-May-2010","27-May-2010","276","280.4","270","277.2","277.2","277.35","1257","4845.15","862400","-512400","        277.35"
"ZEEL","27-May-2010","24-Jun-2010","277","281.25","271.05","278.3","278.2","278.3","1131","4381.18","2013200","401800","        277.35"
"ZEEL","27-May-2010","29-Jul-2010","0","0","0","302.65","0","279.85","0","0","0","0","        277.35"
"ZEEL","28-May-2010","24-Jun-2010","281.3","286.4","275.8","283.9","283.55","283.9","755","2969.97","2037000","23800","        283.05"
"ZEEL","28-May-2010","29-Jul-2010","281","281","281","281","281","285.6","1","2.81","1000","1000","        283.05"
"ZEEL","28-May-2010","26-Aug-2010","0","0","0","280.95","0","286.7","0","0","0","0","        283.05"
"ZEEL","31-May-2010","24-Jun-2010","283.55","287.9","278.25","284.05","283.8","284.05","520","2058.3","2080400","43400","        282.80"
"ZEEL","31-May-2010","29-Jul-2010","0","0","0","281","281","285.25","0","0","1000","0","        282.80"
"ZEEL","31-May-2010","26-Aug-2010","0","0","0","280.95","0","286.45","0","0","0","0","        282.80"
"ZEEL","01-Jun-2010","24-Jun-2010","282.6","285.9","275.3","276.9","276.3","276.9","578","2267.98","2129400","49000","        275.55"
"ZEEL","01-Jun-2010","29-Jul-2010","0","0","0","281","281","278","0","0","1000","0","        275.55"
"ZEEL","01-Jun-2010","26-Aug-2010","0","0","0","280.95","0","279.2","0","0","0","0","        275.55"
"ZEEL","02-Jun-2010","24-Jun-2010","278","281.5","275","277.4","278","277.4","484","1887.3","2273600","144200","        276.10"
"ZEEL","02-Jun-2010","29-Jul-2010","0","0","0","281","281","278.55","0","0","1000","0","        276.10"
"ZEEL","02-Jun-2010","26-Aug-2010","0","0","0","280.95","0","279.7","0","0","0","0","        276.10"
"ZEEL","03-Jun-2010","24-Jun-2010","279.5","293.55","278.5","292.55","292.95","292.55","1362","5470.4","2396800","123200","        291.90"
"ZEEL","03-Jun-2010","29-Jul-2010","289","289","287","288.5","288.5","294.4","3","8.65","3000","2000","        291.90"
"ZEEL","03-Jun-2010","26-Aug-2010","0","0","0","280.95","0","295.65","0","0","0","0","        291.90"
"ZEEL","04-Jun-2010","24-Jun-2010","290.5","298.75","288.1","297.85","297.75","297.85","840","3461.79","2286200","-110600","        297.30"
"ZEEL","04-Jun-2010","29-Jul-2010","298.95","300","298.95","299.4","299.95","299.4","5","14.97","6000","3000","        297.30"
"ZEEL","04-Jun-2010","26-Aug-2010","0","0","0","280.95","0","301.15","0","0","0","0","        297.30"
"ZEEL","07-Jun-2010","24-Jun-2010","292.1","294","288.25","290.05","289.6","290.05","866","3523.96","2109800","-176400","        289.60"
"ZEEL","07-Jun-2010","29-Jul-2010","291","291.65","291","291.35","291.35","291.35","5","14.56","9000","3000","        289.60"
"ZEEL","07-Jun-2010","26-Aug-2010","0","0","0","280.95","0","293.2","0","0","0","0","        289.60"
"ZEEL","08-Jun-2010","24-Jun-2010","290.5","295.65","282.5","284","284.1","284","658","2670.08","2108400","-1400","        283.65"
"ZEEL","08-Jun-2010","29-Jul-2010","284.5","284.5","284.5","284.5","284.5","284.5","1","2.85","10000","1000","        283.65"
"ZEEL","08-Jun-2010","26-Aug-2010","0","0","0","280.95","0","287.15","0","0","0","0","        283.65"
"ZEEL","09-Jun-2010","24-Jun-2010","286.95","287.6","281.1","284.25","283.4","284.25","321","1279.38","2143400","35000","        282.75"
"ZEEL","09-Jun-2010","29-Jul-2010","286.6","286.6","286.6","286.6","286.6","285.15","1","2.87","10000","0","        282.75"
"ZEEL","09-Jun-2010","26-Aug-2010","0","0","0","280.95","0","286.5","0","0","0","0","        282.75"
"ZEEL","10-Jun-2010","24-Jun-2010","284","292.35","284","290.85","292.3","290.85","767","3096.19","2231600","88200","        289.30"
"ZEEL","10-Jun-2010","29-Jul-2010","286","288.3","286","288.3","288.3","288.3","2","5.74","10000","0","        289.30"
"ZEEL","10-Jun-2010","26-Aug-2010","0","0","0","280.95","0","293.1","0","0","0","0","        289.30"
"ZEEL","11-Jun-2010","24-Jun-2010","293","297.1","288.15","290.65","288.15","290.65","807","3316.7","2192400","-39200","        290.75"
"ZEEL","11-Jun-2010","29-Jul-2010","294.35","296","294.35","296","296","293.05","2","5.9","10000","0","        290.75"
"ZEEL","11-Jun-2010","26-Aug-2010","0","0","0","280.95","0","294.4","0","0","0","0","        290.75"
"ZEEL","14-Jun-2010","24-Jun-2010","292","298.75","289.25","297.65","297.2","297.65","719","2971.38","2137800","-54600","        297.45"
"ZEEL","14-Jun-2010","29-Jul-2010","295.65","299","289.05","298.05","297.05","298.05","15","44.26","11000","1000","        297.45"
"ZEEL","14-Jun-2010","26-Aug-2010","0","0","0","280.95","0","301.1","0","0","0","0","        297.45"
"ZEEL","15-Jun-2010","24-Jun-2010","296.3","296.3","291.2","292.35","292.6","292.35","684","2802.8","2023000","-114800","        291.40"
"ZEEL","15-Jun-2010","29-Jul-2010","294.75","295.4","292.5","295.4","295.4","295.4","17","49.95","22000","11000","        291.40"
"ZEEL","15-Jun-2010","26-Aug-2010","0","0","0","280.95","0","295","0","0","0","0","        291.40"
"ZEEL","16-Jun-2010","24-Jun-2010","294.4","301.1","293.5","299.35","299.5","299.35","1116","4646.22","1877400","-145600","        299.20"
"ZEEL","16-Jun-2010","29-Jul-2010","294","299","293.9","298.2","298.25","298.2","28","83.06","34000","12000","        299.20"
"ZEEL","16-Jun-2010","26-Aug-2010","0","0","0","280.95","0","302.85","0","0","0","0","        299.20"
"ZEEL","17-Jun-2010","24-Jun-2010","301.95","304.6","298.4","301.45","301.1","301.45","742","3137.35","1925000","47600","        300.70"
"ZEEL","17-Jun-2010","29-Jul-2010","303.75","303.75","299.5","302.5","303","302.5","45","136.01","57000","23000","        300.70"
"ZEEL","17-Jun-2010","26-Aug-2010","0","0","0","280.95","0","304.35","0","0","0","0","        300.70"
"ZEEL","18-Jun-2010","24-Jun-2010","303","303.6","293.9","295.95","297.4","295.95","591","2471.97","1689800","-235200","        294.90"
"ZEEL","18-Jun-2010","29-Jul-2010","303.5","303.5","294.05","295.4","297","295.4","155","462.64","185000","128000","        294.90"
"ZEEL","18-Jun-2010","26-Aug-2010","0","0","0","280.95","0","298.45","0","0","0","0","        294.90"
"ZEEL","21-Jun-2010","24-Jun-2010","299.6","302","292","293.75","293.7","293.75","873","3620.63","1745800","56000","        293.00"
"ZEEL","21-Jun-2010","29-Jul-2010","301.4","301.4","293.4","295.45","294.7","295.45","381","1130.5","480000","295000","        293.00"
"ZEEL","21-Jun-2010","26-Aug-2010","0","0","0","280.95","0","296.45","0","0","0","0","        293.00"
"ZEEL","22-Jun-2010","24-Jun-2010","292","293.8","286.3","290.5","289.2","290.5","940","3803.63","1496600","-249200","        290.95"
"ZEEL","22-Jun-2010","29-Jul-2010","293.1","294.3","287.5","291.15","290.75","291.15","589","1706.55","791000","311000","        290.95"
