"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ZEEL","01-Sep-2016","29-Sep-2016","545.3","546","535.2","536.9","538.2","536.9","3007","21089.62","9967100","-269100","        535.40"
"ZEEL","01-Sep-2016","27-Oct-2016","547.5","547.5","539","539","539","539","19","133.99","105300","5200","        535.40"
"ZEEL","01-Sep-2016","24-Nov-2016","0","0","0","519.7","0","544.05","0","0","0","0","        535.40"
"ZEEL","02-Sep-2016","29-Sep-2016","538.4","539.75","532.5","535.65","536","535.65","1367","9522.04","9739600","-227500","        533.45"
"ZEEL","02-Sep-2016","27-Oct-2016","540","540","537","538.5","537","538.5","6","41.94","102700","-2600","        533.45"
"ZEEL","02-Sep-2016","24-Nov-2016","0","0","0","519.7","0","541.95","0","0","0","0","        533.45"
"ZEEL","06-Sep-2016","29-Sep-2016","538.15","542.3","533.8","539.35","538.9","539.35","1858","13029.09","9426300","-313300","        538.25"
"ZEEL","06-Sep-2016","27-Oct-2016","540.2","547","539.5","542","542","542","15","105.85","98800","-3900","        538.25"
"ZEEL","06-Sep-2016","24-Nov-2016","0","0","0","519.7","0","546.45","0","0","0","0","        538.25"
"ZEEL","07-Sep-2016","29-Sep-2016","536.95","540.8","532.4","537.5","538","537.5","2463","17167.89","9348300","-78000","        535.15"
"ZEEL","07-Sep-2016","27-Oct-2016","537","543.5","537","540","540","540","36","252.62","98800","0","        535.15"
"ZEEL","07-Sep-2016","24-Nov-2016","0","0","0","519.7","0","543.2","0","0","0","0","        535.15"
"ZEEL","08-Sep-2016","29-Sep-2016","538.15","543.65","535.9","539.65","539.5","539.65","1903","13340.82","9392500","44200","        538.70"
"ZEEL","08-Sep-2016","27-Oct-2016","541.95","541.95","541.95","541.95","541.95","541.95","2","14.06","97500","-1300","        538.70"
"ZEEL","08-Sep-2016","24-Nov-2016","0","0","0","519.7","0","546.7","0","0","0","0","        538.70"
"ZEEL","09-Sep-2016","29-Sep-2016","540.9","540.9","534.05","535.65","535.65","535.65","1426","9947.43","9382100","-10400","        533.40"
"ZEEL","09-Sep-2016","27-Oct-2016","540.7","540.7","538.2","538.2","538.2","538.2","5","35.05","98800","1300","        533.40"
"ZEEL","09-Sep-2016","24-Nov-2016","0","0","0","519.7","0","541.2","0","0","0","0","        533.40"
"ZEEL","12-Sep-2016","29-Sep-2016","530","531.5","514.3","518.05","518.4","518.05","2378","16092.01","9304100","-78000","        515.55"
"ZEEL","12-Sep-2016","27-Oct-2016","534","534","518.4","521.3","521.4","521.3","74","502.21","145600","46800","        515.55"
"ZEEL","12-Sep-2016","24-Nov-2016","0","0","0","519.7","0","522.75","0","0","0","0","        515.55"
"ZEEL","14-Sep-2016","29-Sep-2016","516.4","522","509.6","520.25","522","520.25","2630","17626.81","9505600","201500","        518.15"
"ZEEL","14-Sep-2016","27-Oct-2016","516","525.5","514","524.35","525.5","524.35","22","147.87","149500","3900","        518.15"
"ZEEL","14-Sep-2016","24-Nov-2016","0","0","0","519.7","0","525.2","0","0","0","0","        518.15"
"ZEEL","15-Sep-2016","29-Sep-2016","521.05","537.5","515","533.25","533.1","533.25","5210","35869.02","9623900","118300","        530.85"
